"","label"
"CHD8",1
"SHANK3",1
"SCN2A",1
"ADNP",1
"KDM5B",1
"SYNGAP1",NA
"POGZ",1
"PTEN",1
"NF1",1
"MECP2",1
"GIGYF1",1
"FOXP1",1
"DYRK1A",1
"TBR1",1
"SLC6A1",1
"ARID1B",1
"DNMT3A",1
"DEAF1",1
"DYNC1H1",1
"BRSK2",NA
"CSDE1",NA
"CUL3",1
"CNOT3",1
"KCNB1",NA
"KMT2C",1
"TRIP12",1
"SKI",NA
"MED13",NA
"CHD2",1
"HNRNPD",NA
"DDX3X",1
"EHMT1",NA
"ARHGEF9",1
"STXBP1",1
"KMT5B",1
"MBD5",NA
"LMTK3",NA
"GRIN2B",1
"SETD5",1
"MYT1L",1
"DSCAM",1
"KDM6B",1
"PLEKHG6",NA
"PRR14L",NA
"ASXL3",1
"IRF2BPL",NA
"TCF20",1
"CTCF",1
"MED13L",1
"TMC4",NA
"NRXN1",1
"ACTB",NA
"RELN",NA
"RORB",1
"SON",NA
"MYO5A",NA
"BDP1",NA
"CLCN4",1
"ASH1L",1
"TCF4",1
"NFE2L3",NA
"ANK2",1
"PSMD12",NA
"ANKRD11",1
"AP1G1",NA
"PCDH19",NA
"TLK2",1
"TBL1XR1",1
"ZNF292",NA
"SRPRA",NA
"MEF2C",NA
"C1orf185",NA
"DHFR2",NA
"NR3C2",NA
"CUX2",NA
"SIN3A",NA
"FBN1",NA
"MAVS",NA
"ANP32A",NA
"EP300",NA
"CERS4",NA
"PFN2",NA
"FANCE",NA
"PSMD11",NA
"EIF4G2",NA
"DSCAML1",NA
"CELF6",NA
"FOXP2",NA
"DMWD",NA
"SATB2",NA
"ECPAS",NA
"BCL11A",NA
"EFR3A",NA
"FRMD7",NA
"SOX11",NA
"WAC",1
"TNFRSF8",NA
"APBB1",NA
"PSMC5",NA
"HECW2",NA
"CDK13",NA
"G3BP1",NA
"TAF4",NA
"INTS7",NA
"CNNM2",NA
"CLTC",NA
"PCDHGA8",NA
"ZMYND11",NA
"CRISPLD1",NA
"PER2",NA
"RIPOR3",NA
"BTRC",NA
"SPAST",NA
"TKT",NA
"ACE",NA
"ANO9",NA
"ZBTB14",NA
"EMSY",NA
"DCUN1D3",NA
"DLG4",NA
"TGM6",NA
"FSIP2",NA
"STARD10",NA
"TPST2",NA
"HNRNPUL2",NA
"MSL2",NA
"DBF4",NA
"NCKAP1L",NA
"PPM1M",NA
"PUF60",NA
"ADPGK",NA
"TNPO3",NA
"CD163L1",NA
"DACT1",NA
"CBL",NA
"KMT2A",1
"TTC12",NA
"ICE1",NA
"RIPK1",NA
"CYP17A1",NA
"KCNMA1",NA
"SCNN1D",NA
"SMARCC2",1
"FARP2",NA
"RPS6KA3",NA
"CASZ1",NA
"MEIS2",NA
"ZNF638",NA
"HHAT",NA
"PCDHA8",NA
"TCERG1",NA
"TLR3",NA
"PBX1",NA
"CORO2B",NA
"HBD",NA
"JARID2",NA
"PHF3",1
"MAST1",NA
"EBF1",NA
"NUAK1",NA
"DHX57",0
"GRIK3",NA
"GRIN1",NA
"SCARA3",NA
"DIP2A",NA
"PSD3",NA
"BRF1",NA
"TSC1",NA
"RALGAPB",NA
"RIF1",NA
"VWA7",NA
"NAA15",1
"GABRG2",NA
"PPP2R5D",1
"UNC80",NA
"BDKRB2",NA
"ARHGEF7",NA
"MIB1",NA
"YWHAZ",NA
"HNRNPU",NA
"TRIP11",NA
"MKX",NA
"GABBR2",NA
"ARF1",NA
"KCNT1",NA
