"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"SCN2A",233,264,88,46,65,23,45,20,26,38,37,47,19,1,30,9,11,5,1,5,8,1,5,4,17,16,5,38,6,22,2,1,9,31,0,2,0,1,15,1,0,0,0,7,11,7,0,4,4,2,0,1,14,12,3,6,1,4,7,2,0,5,0,7,2,3,1,8,12,6,7,1,1,4,5,2,2,6,0,8,0,1
"CHD8",234,169,50,64,30,40,31,43,30,23,22,35,15,10,21,6,5,3,4,4,1,3,5,4,33,33,29,13,16,10,9,5,7,14,15,17,5,10,8,8,4,5,8,9,10,8,2,10,10,3,4,6,9,4,5,3,3,12,9,3,4,6,6,2,2,3,3,6,7,3,7,3,6,4,1,3,3,5,3,1,9,3
"ADNP",452,249,83,104,68,59,55,65,56,57,41,43,32,24,25,20,13,8,10,9,11,8,8,5,40,44,36,26,25,18,25,16,15,24,17,19,13,16,11,16,23,5,17,17,11,16,12,10,9,9,15,8,13,6,8,12,8,7,6,10,9,8,11,4,1,9,2,6,6,7,8,10,9,5,5,5,3,6,5,1,0,0
"SHANK3",72,121,20,10,12,5,8,9,11,3,15,16,1,0,8,2,3,0,0,0,5,0,1,3,10,9,8,11,5,1,1,1,0,11,3,1,0,26,6,3,3,1,2,2,1,1,1,1,3,17,0,2,5,5,1,0,1,6,1,1,1,2,0,0,0,2,0,0,0,0,3,0,4,0,1,1,2,1,1,3,1,0
"PTEN",399,264,101,106,70,54,42,47,58,57,52,55,38,29,30,20,14,6,9,13,11,6,8,4,89,26,20,16,51,10,5,4,9,18,6,8,6,9,7,6,5,3,9,9,4,7,0,8,5,10,3,4,6,5,5,4,5,4,7,4,2,4,1,3,0,3,1,3,2,1,10,5,2,4,1,2,2,4,2,4,0,3
"SYNGAP1",116,146,36,31,20,23,11,30,8,11,25,26,7,8,16,5,4,1,3,4,2,2,3,2,14,7,10,6,6,1,1,2,5,4,0,1,1,5,2,3,1,0,0,2,2,0,2,2,3,2,0,0,2,1,1,0,1,0,3,0,0,1,0,2,0,4,0,1,2,2,1,0,2,1,0,1,1,0,0,1,0,0
"MECP2",239,168,69,59,35,37,17,40,32,34,27,31,23,19,20,19,12,7,4,10,5,3,6,3,26,35,31,15,13,9,9,9,10,13,9,13,5,11,8,11,10,8,13,3,4,14,5,12,12,6,6,5,7,8,9,7,8,9,11,3,8,7,5,4,1,3,1,3,8,4,4,2,3,5,1,5,2,2,2,3,0,1
"KDM5B",413,234,94,90,69,80,60,61,49,58,38,41,42,35,22,30,6,14,12,14,10,7,9,3,41,38,29,19,14,24,23,10,11,23,17,20,12,18,6,14,17,4,9,15,16,16,7,11,6,6,7,10,15,6,9,6,3,9,8,4,8,11,9,6,2,4,3,6,8,7,8,6,4,8,4,5,9,8,3,2,0,1
"FOXP1",285,234,65,72,60,31,28,57,30,25,45,49,15,32,25,15,12,6,7,1,6,2,5,6,81,42,23,13,35,17,27,18,15,20,22,16,11,29,8,26,23,9,7,10,11,9,8,9,15,15,15,4,7,8,13,2,8,5,7,6,11,4,4,5,4,13,3,4,6,5,6,4,11,6,1,5,3,4,5,3,0,0
"ARID1B",359,214,81,71,59,43,36,50,39,30,37,37,19,13,18,19,11,7,2,8,11,5,9,6,22,32,37,18,19,26,20,14,17,22,20,15,9,13,12,13,15,7,8,15,15,13,7,15,8,7,8,6,13,8,5,5,4,11,5,5,5,4,4,7,2,2,7,4,9,6,6,4,10,5,6,5,6,8,2,3,0,0
