"","real.log.BF"
"SCN2A",-5.99383371538708
"CHD8",20.3257978636379
"ADNP",-3.7736565748604
"SHANK3",-6.13232634457418
"PTEN",-0.415761386716741
"SYNGAP1",-10.3948738447109
"MECP2",-5.10856172041742
"KDM5B",-3.25540608394897
"FOXP1",-4.03160278635127
"ARID1B",-6.44130416476245
"POGZ",-2.94804714691066
"ASH1L",21.8690165200909
"KMT5B",-8.261481476705
"SLC6A1",-4.94789161725251
"GIGYF1",-7.00587890386146
"DYRK1A",-5.84824451678987
"CHD2",0.961720255624575
"ASXL3",3.73247543063916
"TAOK1",14.0949050309825
"DNMT3A",-6.582747446732
"GRIN2B",-5.72033353412641
"BRSK2",-4.89423901590614
"KMT2A",-9.63284200373437
"NF1",-8.714323934387
"STXBP1",-4.8730101684508
"CUL3",-5.04729884884952
"MED13L",-1.79091713064314
"ANK2",-7.76576291356869
"MYT1L",-0.483296018358862
"RORB",-5.61170769242629
"TBL1XR1",-0.781552581140022
"TBR1",-9.62334773495017
"DYNC1H1",-8.65790046058537
"WAC",11.8395584877132
"PHF21A",-4.7299304400818
"KDM6B",-6.68873631330164
"DDX3X",-3.81159665103174
"CTNNB1",-4.07161668951337
"MED13",-1.97769691936162
"ANKRD11",-5.41359791273037
"CTCF",-2.49843614399899
"RFX3",-4.32347231556422
"ARHGEF9",-5.04106087569539
"SHANK2",-4.01012457694755
"DEAF1",-5.49776914177207
"SMARCC2",6.28093070865916
"TLK2",-6.00237367125195
"TCF20",-5.52446135243635
"CNOT3",-5.88786063632527
"SYNCRIP",-2.08636438781003
"SETD5",-4.0283028818202
"NAA15",-5.15150047422053
"SCN1A",-9.65505742723725
"EHMT1",-7.4984174805192
"TCF4",-3.33799700500321
"SRPRA",-5.99837036393064
"MARK2",-6.02939496080669
"KMT2C",6.16309724907065
"MBD5",-4.03689336232924
"NRXN1",-3.01574520078926
"IRF2BPL",0.245588619382638
"PHIP",-5.92556189072271
"NFE2L3",-6.44284575462806
"SKI",-7.18527760803364
"PSMD12",-6.25703918641212
"KCNB1",-7.72996202112216
"CSDE1",11.7054738147721
"TSC1",-6.68329400005159
"DMWD",-6.35885178278249
"CLCN4",-6.50364550044414
"MEIS2",-8.31805847762931
"PBX1",0.566799448086772
"HNRNPD",-3.79824230575891
"BCL11A",-2.27423403585064
"TCF7L2",-7.87867500195028
"WDFY3",-9.46026175077873
"PHF3",-7.79849945293159
"SETBP1",-5.83153186893325
"TGM1",-9.51130181983477
"EBF3",-2.82665669538561
"PPP2R5D",-4.63034620710383
"TAF4",-5.462320906846
"KCNQ2",-9.83099529926209
"CAPRIN1",-3.92675938695697
"DSCAM",-4.76417100744556
"GABBR2",-5.40795056537165
"PRKG2",-7.92789672944281
"UBN2",-3.16227031610306
"MEF2C",-7.19017515626422
"TRIP12",12.058061854709
"EP300",37.1501824398447
"NR3C2",-9.34926577351571
"ARHGEF18",-5.42342483745381
"TNPO3",-7.17112875289418
"SMAD6",-7.29887051143574
"AMOT",-5.85023870489268
"AUTS2",-2.99894302483563
"NCKAP1",-3.89812155393548
"DLG4",3.09711593727956
"ECPAS",-10.8133963463365
"PRKAR1B",-5.88820827902733
"FUBP3",-4.54286595435238
"GRIA2",-3.62771406140814
"CCDC40",-3.26641959128168
"GABRA1",-4.5309382993921
"TSC2",-9.91548441070916
"C1orf185",-6.08287840234752
"METTL23",-8.23493092879852
"HNRNPUL2",-4.63508754848595
"PAX5",-2.16200803332799
"ATF4",-1.30124506195089
"RERE",-4.30366854959546
"DHFR2",-6.28267610770435
"TMC4",-4.9073247591308
"FXYD5",-7.06867340278325
"EBAG9",-1.697578351008
"ITGB5",-5.87864851068156
"INTS2",-6.18508894445768
"RAI1",-1.80707376381393
"FOXG1",-10.7856997146828
"PLEKHG6",-3.79019665551313
"MAVS",-3.98370564303441
"C1QC",-10.0952354958706
"TMEM116",-6.63589578391848
"SIN3A",-6.85181537679704
"ANP32A",-3.66194976473521
"PRR14L",-2.07663552983376
"CSNK2B",-10.4367799210911
"PMM2",-7.54980982361556
"PFN2",-3.27739136326607
"LMTK3",-5.36023875480382
"SPRY2",-4.46090139658527
"CMPK2",-3.73716647862647
"IQSEC2",-8.69616955977033
"RIPK1",-7.63432909394752
"TPK1",-7.00788136008979
"CASZ1",-8.61960496294029
"ZBTB45",-6.230015350181
"NUDT17",-6.58336672963282
"FANCE",-4.94177631959798
"ZNF396",-4.08734888623239
"NR4A2",-1.26974084606285
"TBCEL",-6.49244887233732
"ADAM21",-6.95836721292703
"TCF3",-7.41014882239522
"AAAS",-7.80900070192813
"CELF6",-5.07451737812983
"INSC",-6.94766553117406
"ZMYND8",-5.53832185674565
"CLTC",-6.33845037970636
"TCHHL1",-4.24395936305371
"CTDSPL2",-5.65585249935257
"ZNF292",2.26891639577042
"KCNQ3",-5.75584581835765
"RALGAPB",-5.13862170913541
"SRCAP",-12.2008694343327
"RAB11FIP4",-3.55132564066386
"ZNF865",-5.94662649653715
"CASKIN1",-7.07674484419793
"RANBP17",-7.77202482231173
"FBN1",-10.1074835075926
"ACTB",-2.8062015893468
"CNNM2",-7.55283883771769
"TSHZ1",-4.39042959177467
"UPF3B",-1.96750749591207
"PHF2",-5.12269043717456
"FMR1",-3.60199734684421
"MIB1",2.03104438973616
"FADS1",-5.545002449291
"FRMD7",-7.49550707382711
"LDB1",-6.35422118809478
"PCDH19",-6.53136824685086
"EIF3G",-6.92577396221784
"MYO1E",-11.0921233814995
"ZFAND5",2.07828716704672
"CFAP410",-6.38222837603887
"BICRA",-7.35335250966688
"MYBL2",-8.10930011427936
"KIAA1958",4.1691589199562
"GABRG2",-2.77642460562194
"SKIDA1",-5.12760876350881
"PSMA3",-5.35400126674531
"TTC37",-3.00625984264529
"PCYT1A",-7.99635017490632
"AP1G1",-5.18710942433208
"FEZF2",-7.34902136690521
"FGF19",-6.51926683287435
"MSL3",-3.45238110651174
"SON",11.8091161272034
"DNAJC5",-4.43374466535644
"FBXO22",-4.82918993385576
"TNFRSF8",-7.47708370396835
