"","pi"
"SCN2A",0.449812973710488
"CHD8",0.289581078337402
"ADNP",0.282811310247714
"SHANK3",0.049166414275436
"PTEN",0.478954034888383
"SYNGAP1",0.00218342603272139
"MECP2",0.0728289754727852
"KDM5B",0.361651165635417
"FOXP1",0.284385553108485
"ARID1B",0.199036087727813
"POGZ",0.223880831425937
"ASH1L",0.245128454873121
"KMT5B",0.00350135298559515
"SLC6A1",0.128531845255529
"GIGYF1",0.119581522617769
"DYRK1A",0.0417508963222892
"CHD2",0.259719688893122
"ASXL3",0.353312440737622
"TAOK1",0.377669385823816
"DNMT3A",0.138854204848604
"GRIN2B",0.00857422567069418
"BRSK2",0.0895847853896174
"KMT2A",0.499282095019854
"NF1",0.0917098433101681
"STXBP1",0.206455261071054
"CUL3",0.148584938459971
"MED13L",0.169337890326913
"ANK2",0.484434173649028
"MYT1L",0.392610517947816
"RORB",0.00806178357241384
"TBL1XR1",0.199318312864221
"TBR1",0.00208004548431524
"DYNC1H1",0.467549380569037
"WAC",0.342388518303029
"PHF21A",0.0621159073111502
"KDM6B",0.134997664335645
"DDX3X",0.178335060671152
"CTNNB1",0.25046145119478
"MED13",0.392959083466857
"ANKRD11",0.402468688287962
"CTCF",0.383039286103298
"RFX3",0.194766575379398
"ARHGEF9",0.063007707811348
"SHANK2",0.358276187052352
"DEAF1",0.0279185690274812
"SMARCC2",0.328490736204284
"TLK2",0.0863827508621018
"TCF20",0.15567940401351
"CNOT3",0.00377214650945041
"SYNCRIP",0.486692455845804
"SETD5",0.107898952596065
"NAA15",0.0695878298354767
"SCN1A",0.11465479844285
"EHMT1",0.088027837607416
"TCF4",0.392751991026548
"SRPRA",0.00350135298559515
"MARK2",0.00124206563392599
"KMT2C",0.417180388343392
"MBD5",0.0163831929632801
"NRXN1",0.42942878843329
"IRF2BPL",0.352009892195317
"PHIP",0.46783149090762
"NFE2L3",0.00668296266301033
"SKI",0.0427181175837342
"PSMD12",0.0105706485817338
"KCNB1",0.0210810246251427
"CSDE1",0.447309434660027
"TSC1",0.0882582014827054
"DMWD",0.00735301172712661
"CLCN4",0.0680647165468586
"MEIS2",0.00201163394995462
"PBX1",0.509751714431778
"HNRNPD",0.114611673028551
"BCL11A",0.354086327952232
"TCF7L2",0.0103388927112441
"WDFY3",0.386929769918237
"PHF3",0.024715777113505
"SETBP1",0.139847847306303
"TGM1",0.00373814988829369
"EBF3",0.418942419263465
"PPP2R5D",0.00792071211831777
"TAF4",0.0345708726712364
"KCNQ2",0.00248643336394057
"CAPRIN1",0.139989491238414
"DSCAM",0.0283497860444012
"GABBR2",0.262917256403408
"PRKG2",0.00405307727684885
"UBN2",0.295715415330193
"MEF2C",0.00694625399086566
"TRIP12",0.270836908355252
"EP300",0.205147414084761
"NR3C2",0.00485597632565051
"ARHGEF18",0.0169311717169895
"TNPO3",0.0455046051285704
"SMAD6",0.0033910985084691
"AMOT",0.00614188623326774
"AUTS2",0.419457914382013
"NCKAP1",0.391239343489464
"DLG4",0.443456732908276
"ECPAS",0.00350135298559515
"PRKAR1B",0.0342625148224341
"FUBP3",0.0695190497398
"GRIA2",0.477368374832778
"CCDC40",0.00331234674175985
"GABRA1",0.077137891873155
"TSC2",0.0181765139359045
"C1orf185",0.00350135298559515
"METTL23",0.000437678975436092
"HNRNPUL2",0.178164474245753
"PAX5",0.169306579752539
"ATF4",0.318545040152895
"RERE",0.24483990376053
"DHFR2",0.00350135298559515
"TMC4",0.00468009112677754
"FXYD5",0.00164120346034555
"EBAG9",0.0227608809330532
"ITGB5",0.00194119642730753
"INTS2",0.0581180301026552
"RAI1",0.252946032341396
"FOXG1",0.000191585090165887
"PLEKHG6",0.00325460718533333
"MAVS",0.0415194020772305
"C1QC",0.000114567142862258
"TMEM116",0.00323732822110537
"SIN3A",0.012100733992056
"ANP32A",0.0622138464529947
"PRR14L",0.0182210084982801
"CSNK2B",8.36508700059761e-05
"PMM2",0.00276995561132877
"PFN2",0.107772691750472
"LMTK3",0.0105931018260645
"SPRY2",0.0334351994273272
"CMPK2",0.00476821199552323
"IQSEC2",0.00572345013873178
"RIPK1",0.0029750197005864
"TPK1",0.00264823048247069
"CASZ1",0.00945850799596582
"ZBTB45",0.001025842690934
"NUDT17",0.00430785278132777
"FANCE",0.0221786915636973
"ZNF396",0.00789461278633004
"NR4A2",0.506056182090974
"TBCEL",0.00557120793840379
"ADAM21",0.00351021267690024
"TCF3",0.0117817087499989
"AAAS",0.00150021132505175
"CELF6",0.0239720135724599
"INSC",0.00367601275069011
"ZMYND8",0.212827546121699
"CLTC",0.314864242052334
"TCHHL1",0.00351909378984691
"CTDSPL2",0.0148746954642176
"ZNF292",0.49617937093261
"KCNQ3",0.0120032297269456
"RALGAPB",0.0325426297976661
"SRCAP",0.0468661236134032
"RAB11FIP4",0.117806623539458
"ZNF865",0.0115619602472693
"CASKIN1",0.0418282689411249
"RANBP17",0.00182919107980491
"FBN1",0.0145270687799928
"ACTB",0.49147964343662
"CNNM2",0.0214146539280049
"TSHZ1",0.060597788881838
"UPF3B",0.103170329704984
"PHF2",0.0270621181983256
"FMR1",0.127679943772132
"MIB1",0.403635322859733
"FADS1",0.022969079186638
"FRMD7",0.00351021267690024
"LDB1",0.0114804630264344
"PCDH19",0.0410661447292561
"EIF3G",0.00199173169662914
"MYO1E",0.00311190463153727
"ZFAND5",0.256738854609581
"CFAP410",0.00350135298559515
"BICRA",0.00350135298559515
"MYBL2",0.00178800201463727
"KIAA1958",0.0138940461960316
"GABRG2",0.116174041270253
"SKIDA1",0.039090449274353
"PSMA3",0.0105987894236715
"TTC37",0.250482884384019
"PCYT1A",0.0024833485789732
"AP1G1",0.153199935007198
"FEZF2",0.00152830429007517
"FGF19",0.00356636345241428
"MSL3",0.0112247950542946
"SON",0.492831740632259
"DNAJC5",0.0285671068096967
"FBXO22",0.0192200226567302
"TNFRSF8",0.00385170036093447
"HDAC11",0.00928779268809754
"SSR2",0.0100205418547112
"ACTG1",0.511839615395411
"PNN",0.303585843239077
"RUNX1T1",0.51081628894973
"APBB1",0.018733783419224
"CERS4",0.00166247345709257
"CELF4",0.520284069273792
"ZBTB14",0.00377619154647728
"ATAT1",5.67173664466203e-05
"RBBP5",0.00649695197009317
"G3BP1",0.00853788324089026
"WNT7B",0.00155063716076791
"BDP1",0.334731744561594
