"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba"
"ADNP",0.829357798165138,0.619402985074627,0.477011494252874,0.845528455284553,0.576271186440678,0.634408602150538,0.611111111111111,0.773809523809524,0.674698795180723,0.695121951219512,0.569444444444444,0.682539682539683,0.507936507936508,0.48,0.625,0.571428571428571,0.52,0.363636363636364,0.625,0.6,0.785714285714286,0.666666666666667,0.727272727272727,0.5,0.347826086956522,0.44,0.45,0.351351351351351,0.352112676056338,0.276923076923077,0.43859649122807,0.296296296296296,0.3125,0.521739130434783,0.369565217391304,0.441860465116279,0.302325581395349,0.372093023255814,0.282051282051282,0.432432432432432,0.676470588235294,0.151515151515152,0.53125,0.566666666666667,0.379310344827586,0.551724137931034,0.444444444444444,0.384615384615385,0.36,0.375,0.652173913043478,0.363636363636364,0.619047619047619,0.285714285714286,0.380952380952381,0.571428571428571,0.4,0.368421052631579,0.333333333333333,0.555555555555556,0.5,0.444444444444444,0.647058823529412,0.235294117647059,0.0588235294117647,0.529411764705882,0.125,0.375,0.375,0.466666666666667,0.615384615384615,0.769230769230769,0.692307692307692,0.384615384615385,0.416666666666667,0.416666666666667,0.25,0.6,0.5,0.1
"ANK2",0.842201834862385,0.91044776119403,0.758620689655172,0.886178861788618,0.88135593220339,0.537634408602151,0.755555555555556,0.654761904761905,0.783132530120482,0.792682926829268,0.847222222222222,0.984126984126984,0.619047619047619,0.24,0.9,0.314285714285714,0.8,0.636363636363636,0.5,0.4,0.857142857142857,0.666666666666667,0.818181818181818,0.7,0.217391304347826,0.55,0.5125,0.554054054054054,0.154929577464789,0.461538461538462,0.12280701754386,0.240740740740741,0.291666666666667,0.760869565217391,0.173913043478261,0.627906976744186,0.209302325581395,0.116279069767442,0.358974358974359,0.162162162162162,0.117647058823529,0.121212121212121,0.125,0.833333333333333,0.620689655172414,0.620689655172414,0.222222222222222,0.615384615384615,0.56,0.333333333333333,0.304347826086957,0.818181818181818,0.80952380952381,0.523809523809524,0.476190476190476,0.285714285714286,0.35,0.684210526315789,0.833333333333333,0.277777777777778,0.277777777777778,0.777777777777778,0.294117647058824,0.647058823529412,0.411764705882353,0.294117647058824,0.375,0.5625,0.9375,0.8,0.846153846153846,0.692307692307692,0.461538461538462,0.384615384615385,0.666666666666667,0.666666666666667,1,0.7,0.7,0.4
"ANKRD11",0.642201834862385,0.639303482587065,0.53448275862069,0.67479674796748,0.533898305084746,0.67741935483871,0.422222222222222,0.666666666666667,0.433734939759036,0.536585365853659,0.486111111111111,0.698412698412698,0.412698412698413,0.6,0.725,0.6,0.44,0.318181818181818,0.3125,0.6,0.857142857142857,0.5,1,0.8,0.643478260869565,0.69,0.5625,0.5,0.619718309859155,0.4,0.421052631578947,0.407407407407407,0.520833333333333,0.608695652173913,0.434782608695652,0.511627906976744,0.488372093023256,0.511627906976744,0.538461538461538,0.648648648648649,0.705882352941177,0.272727272727273,0.5625,0.466666666666667,0.517241379310345,0.724137931034483,0.333333333333333,0.538461538461538,0.56,0.708333333333333,0.478260869565217,0.363636363636364,0.666666666666667,0.285714285714286,0.380952380952381,0.619047619047619,0.65,0.631578947368421,0.555555555555556,0.611111111111111,0.555555555555556,0.444444444444444,0.529411764705882,0.470588235294118,0.470588235294118,0.529411764705882,0.4375,0.3125,0.5625,0.6,0.692307692307692,0.384615384615385,0.615384615384615,0.615384615384615,0.5,0.333333333333333,0.75,0.7,0.3,0.5
"ARID1B",0.658715596330275,0.532338308457711,0.46551724137931,0.577235772357724,0.5,0.462365591397849,0.4,0.595238095238095,0.469879518072289,0.365853658536585,0.513888888888889,0.587301587301587,0.301587301587302,0.26,0.45,0.542857142857143,0.44,0.318181818181818,0.125,0.533333333333333,0.785714285714286,0.416666666666667,0.818181818181818,0.6,0.191304347826087,0.32,0.4625,0.243243243243243,0.267605633802817,0.4,0.350877192982456,0.259259259259259,0.354166666666667,0.478260869565217,0.434782608695652,0.348837209302326,0.209302325581395,0.302325581395349,0.307692307692308,0.351351351351351,0.441176470588235,0.212121212121212,0.25,0.5,0.517241379310345,0.448275862068966,0.259259259259259,0.576923076923077,0.32,0.291666666666667,0.347826086956522,0.272727272727273,0.619047619047619,0.380952380952381,0.238095238095238,0.238095238095238,0.2,0.578947368421053,0.277777777777778,0.277777777777778,0.277777777777778,0.222222222222222,0.235294117647059,0.411764705882353,0.117647058823529,0.117647058823529,0.4375,0.25,0.5625,0.4,0.461538461538462,0.307692307692308,0.769230769230769,0.384615384615385,0.5,0.416666666666667,0.5,0.8,0.2,0.3
"ASH1L",0.587155963302752,0.626865671641791,0.517241379310345,0.642276422764228,0.483050847457627,0.505376344086022,0.477777777777778,0.571428571428571,0.506024096385542,0.536585365853659,0.611111111111111,0.634920634920635,0.428571428571429,0.46,0.675,0.542857142857143,0.64,0.318181818181818,0.5625,0.4,0.785714285714286,0.833333333333333,0.909090909090909,0.7,0.556521739130435,0.64,0.5125,0.459459459459459,0.450704225352113,0.384615384615385,0.43859649122807,0.333333333333333,0.333333333333333,0.521739130434783,0.478260869565217,0.418604651162791,0.325581395348837,0.441860465116279,0.435897435897436,0.540540540540541,0.294117647058824,0.181818181818182,0.4375,0.5,0.448275862068966,0.551724137931034,0.37037037037037,0.615384615384615,0.52,0.583333333333333,0.347826086956522,0.318181818181818,0.428571428571429,0.380952380952381,0.619047619047619,0.523809523809524,0.55,0.421052631578947,0.611111111111111,0.166666666666667,0.611111111111111,0.666666666666667,0.235294117647059,0.352941176470588,0.117647058823529,0.529411764705882,0.25,0.5,0.5,0.333333333333333,0.538461538461538,0.461538461538462,0.615384615384615,0.461538461538462,0.416666666666667,0.25,0.416666666666667,0.7,0.4,0.7
"ASXL3",0.401834862385321,0.380597014925373,0.183908045977011,0.341463414634146,0.194915254237288,0.236559139784946,0.166666666666667,0.154761904761905,0.289156626506024,0.25609756097561,0.180555555555556,0.285714285714286,0.126984126984127,0.02,0.35,0.257142857142857,0.16,0.181818181818182,0.0625,0.4,0.357142857142857,0,0.363636363636364,0.1,0.0608695652173913,0.07,0.0125,0.121621621621622,0.0563380281690141,0.123076923076923,0.0526315789473684,0.0925925925925926,0.0416666666666667,0.326086956521739,0.108695652173913,0.255813953488372,0.0465116279069767,0,0.153846153846154,0.108108108108108,0.0588235294117647,0.0303030303030303,0.125,0.3,0.172413793103448,0.379310344827586,0,0.230769230769231,0.04,0,0.0869565217391304,0.272727272727273,0.380952380952381,0.285714285714286,0.0952380952380952,0.0952380952380952,0,0.210526315789474,0.222222222222222,0.111111111111111,0.0555555555555556,0.0555555555555556,0.0588235294117647,0,0.176470588235294,0.0588235294117647,0.0625,0.125,0.4375,0.2,0.538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.333333333333333,0.25,0.5,0.3,0.2
"BCL11A",0.990825688073395,0.888059701492537,0.816091954022989,0.967479674796748,0.855932203389831,1,0.955555555555556,0.976190476190476,0.951807228915663,0.975609756097561,0.625,0.80952380952381,0.984126984126984,0.98,0.725,1,0.52,0.954545454545455,1,1,0.928571428571429,1,0.818181818181818,0.8,0.269565217391304,0.15,0.2125,0.283783783783784,0.183098591549296,0.323076923076923,0.192982456140351,0.185185185185185,0.145833333333333,0.543478260869565,0.195652173913043,0.558139534883721,0.255813953488372,0.0930232558139535,0.153846153846154,0.189189189189189,0.264705882352941,0.0606060606060606,0.3125,0.533333333333333,0.586206896551724,0.275862068965517,0.111111111111111,0.230769230769231,0.12,0.0416666666666667,0.173913043478261,0.5,0.380952380952381,0.238095238095238,0.19047619047619,0.142857142857143,0.1,0.684210526315789,0.277777777777778,0.388888888888889,0.444444444444444,0.111111111111111,0.294117647058824,0.117647058823529,0.352941176470588,0.352941176470588,0.125,0.25,0.375,0.533333333333333,0.846153846153846,0.615384615384615,0.538461538461538,0.307692307692308,0.5,0.0833333333333333,0.583333333333333,0.6,0.3,0.3
"CHD2",0.612844036697248,0.562189054726368,0.586206896551724,0.658536585365854,0.457627118644068,0.634408602150538,0.555555555555556,0.738095238095238,0.566265060240964,0.646341463414634,0.638888888888889,0.73015873015873,0.53968253968254,0.58,0.725,0.457142857142857,0.68,0.272727272727273,0.6875,0.6,0.714285714285714,0.5,0.727272727272727,0.7,0.582608695652174,0.62,0.6,0.594594594594595,0.464788732394366,0.4,0.456140350877193,0.277777777777778,0.541666666666667,0.5,0.456521739130435,0.627906976744186,0.348837209302326,0.581395348837209,0.538461538461538,0.540540540540541,0.5,0.484848484848485,0.3125,0.466666666666667,0.517241379310345,0.655172413793103,0.518518518518518,0.576923076923077,0.64,0.708333333333333,0.391304347826087,0.227272727272727,0.857142857142857,0.666666666666667,0.571428571428571,0.285714285714286,0.65,0.684210526315789,0.555555555555556,0.444444444444444,0.833333333333333,0.666666666666667,0.647058823529412,0.294117647058824,0.235294117647059,0.764705882352941,0.375,0.4375,0.5,0.6,0.538461538461538,0.538461538461538,0.615384615384615,0.538461538461538,0.416666666666667,0.416666666666667,0.5,0.7,0.4,0.7
"CHD8",0.429357798165138,0.420398009950249,0.28735632183908,0.520325203252033,0.254237288135593,0.43010752688172,0.344444444444444,0.511904761904762,0.36144578313253,0.280487804878049,0.305555555555556,0.555555555555556,0.238095238095238,0.2,0.525,0.171428571428571,0.2,0.136363636363636,0.25,0.266666666666667,0.0714285714285714,0.25,0.454545454545455,0.4,0.28695652173913,0.33,0.3625,0.175675675675676,0.225352112676056,0.153846153846154,0.157894736842105,0.0925925925925926,0.145833333333333,0.304347826086957,0.326086956521739,0.395348837209302,0.116279069767442,0.232558139534884,0.205128205128205,0.216216216216216,0.117647058823529,0.151515151515152,0.25,0.3,0.344827586206897,0.275862068965517,0.0740740740740741,0.384615384615385,0.4,0.125,0.173913043478261,0.272727272727273,0.428571428571429,0.19047619047619,0.238095238095238,0.142857142857143,0.15,0.631578947368421,0.5,0.166666666666667,0.222222222222222,0.333333333333333,0.352941176470588,0.117647058823529,0.117647058823529,0.176470588235294,0.1875,0.375,0.4375,0.2,0.538461538461538,0.230769230769231,0.461538461538462,0.307692307692308,0.0833333333333333,0.25,0.25,0.5,0.3,0.1
"CNOT3",0.218348623853211,0.169154228855721,0.126436781609195,0.333333333333333,0.161016949152542,0.21505376344086,0.177777777777778,0.226190476190476,0.216867469879518,0.109756097560976,0.194444444444444,0.253968253968254,0.111111111111111,0.3,0.15,0.257142857142857,0.32,0.136363636363636,0.3125,0.266666666666667,0.0714285714285714,0.333333333333333,0.181818181818182,0.1,0.0521739130434783,0.07,0.0875,0.0540540540540541,0.028169014084507,0.0307692307692308,0.0350877192982456,0.0555555555555556,0.104166666666667,0.0217391304347826,0.0869565217391304,0,0.0465116279069767,0.0465116279069767,0,0.0540540540540541,0.0294117647058824,0.121212121212121,0,0.0333333333333333,0.0344827586206897,0.0344827586206897,0.0740740740740741,0.0384615384615385,0.12,0,0.0869565217391304,0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.1,0.105263157894737,0.111111111111111,0.0555555555555556,0,0.111111111111111,0,0,0.0588235294117647,0.117647058823529,0.0625,0.125,0,0.0666666666666667,0.0769230769230769,0.0769230769230769,0,0,0.0833333333333333,0,0,0,0,0
