"","X","time"
"1","GW16.Neurons",16
"2","GW26.GABAergic.neurons",26
"3","GW23.GABAergic.neurons",23
"4","GW16.Stem.cells",16
"5","GW26.Neurons",26
"6","GW10.Neurons",10
"7","GW23.Neurons",23
"8","GW10.Stem.cells",10
"9","GW16.GABAergic.neurons",16
"10","GW19.Neurons",19
"11","GW26.OPC",26
"12","GW26.Astrocytes",26
"13","GW12.Neurons",12
"14","GW09.Stem.cells",9
"15","GW26.Microglia",26
"16","GW09.Neurons",9
"17","GW23.OPC",23
"18","GW19.GABAergic.neurons",19
"19","GW13.Neurons",13
"20","GW08.Neurons",8
"21","GW16.OPC",16
"22","GW12.Stem.cells",12
"23","GW16.Microglia",16
"24","GW23.Microglia",23
"25","week_10.hPeric",10
"26","week_10.hRgl2a",10
"27","week_11.hRgl2a",11
"28","week_10.Unk",10
"29","week_11.hPeric",11
"30","week_9.Unk",9
"31","week_6.hProgFPM",6
"32","week_8.Unk",8
"33","week_11.hRgl2b",11
"34","week_9.hGaba",9
"35","week_6.hProgBP",6
"36","week_8.hNbM",8
"37","week_8.hNProg",8
"38","week_11.hEndo",11
"39","week_11.Unk",11
"40","week_6.hProgM",6
"41","week_6.hProgFPL",6
"42","week_6.Unk",6
"43","week_8.hProgBP",8
"44","week_8.hNbML1",8
"45","week_9.hNbML5",9
"46","week_8.hOMTN",8
"47","week_6.hNProg",6
"48","week_6.hOMTN",6
"49","week_11.hRgl3",11
"50","week_10.hEndo",10
"51","week_8.hProgFPM",8
"52","week_8.hRN",8
"53","week_9.hOMTN",9
"54","week_10.hDA2",10
"55","week_10.hRgl3",10
"56","week_11.hOPC",11
"57","week_11.hRgl2c",11
"58","week_10.hNbM",10
"59","week_10.hDA1",10
"60","week_9.hProgBP",9
"61","week_8.hProgM",8
"62","week_10.hRgl2b",10
"63","week_7.hRgl2a",7
"64","week_7.hOMTN",7
"65","week_7.Unk",7
"66","week_10.hRgl1",10
"67","week_7.hProgBP",7
"68","week_10.hDA0",10
"69","week_9.hNbGaba",9
"70","week_9.hDA0",9
"71","week_9.hDA1",9
"72","week_9.hNProg",9
"73","week_8.hProgFPL",8
"74","week_9.hRgl2a",9
"75","week_9.hDA2",9
"76","week_6.hNbML1",6
"77","week_9.hNbM",9
"78","week_9.hNbML1",9
"79","week_6.hNbM",6
"80","week_10.hGaba",10
