"","label"
"SCN2A",NA
"CHD8",NA
"ADNP",NA
"SHANK3",NA
"PTEN",1
"SYNGAP1",NA
"MECP2",NA
"KDM5B",NA
"FOXP1",NA
"ARID1B",NA
"POGZ",NA
"ASH1L",NA
"KMT5B",NA
"SLC6A1",NA
"GIGYF1",NA
"DYRK1A",NA
"CHD2",NA
"ASXL3",NA
"TAOK1",NA
"DNMT3A",NA
"GRIN2B",NA
"BRSK2",NA
"KMT2A",NA
"NF1",NA
"STXBP1",NA
"CUL3",NA
"MED13L",NA
"ANK2",NA
"MYT1L",NA
"RORB",NA
"TBL1XR1",NA
"TBR1",NA
"DYNC1H1",NA
"WAC",NA
"PHF21A",NA
"KDM6B",NA
"DDX3X",NA
"CTNNB1",NA
"MED13",NA
"ANKRD11",NA
"CTCF",NA
"RFX3",NA
"ARHGEF9",NA
"SHANK2",NA
"DEAF1",NA
"SMARCC2",NA
"TLK2",NA
"TCF20",NA
"CNOT3",NA
"SYNCRIP",1
"SETD5",NA
"NAA15",NA
"SCN1A",NA
"EHMT1",NA
"TCF4",NA
"SRPRA",NA
"MARK2",NA
"KMT2C",NA
"MBD5",NA
"NRXN1",NA
"IRF2BPL",NA
"PHIP",NA
"NFE2L3",NA
"SKI",NA
"PSMD12",NA
"KCNB1",NA
"CSDE1",NA
"TSC1",NA
"DMWD",NA
"CLCN4",NA
"MEIS2",NA
"PBX1",1
"HNRNPD",NA
"BCL11A",NA
"TCF7L2",NA
"WDFY3",NA
"PHF3",NA
"SETBP1",NA
"TGM1",NA
"EBF3",NA
"PPP2R5D",NA
"TAF4",NA
"KCNQ2",NA
"CAPRIN1",NA
"DSCAM",NA
"GABBR2",NA
"PRKG2",NA
"UBN2",NA
"MEF2C",NA
"TRIP12",NA
"EP300",NA
"NR3C2",NA
"ARHGEF18",NA
"TNPO3",NA
"SMAD6",NA
"AMOT",NA
"AUTS2",NA
"NCKAP1",NA
"DLG4",NA
"ECPAS",NA
"PRKAR1B",NA
"FUBP3",NA
"GRIA2",1
"CCDC40",NA
"GABRA1",NA
"TSC2",NA
"C1orf185",NA
"METTL23",NA
"HNRNPUL2",NA
"PAX5",NA
"ATF4",NA
"RERE",NA
"DHFR2",NA
"TMC4",NA
"FXYD5",NA
"EBAG9",NA
"ITGB5",NA
"INTS2",NA
"RAI1",NA
"FOXG1",0
"PLEKHG6",NA
"MAVS",NA
"C1QC",0
"TMEM116",NA
"SIN3A",NA
"ANP32A",NA
"PRR14L",NA
"CSNK2B",0
"PMM2",NA
"PFN2",NA
"LMTK3",NA
"SPRY2",NA
"CMPK2",NA
"IQSEC2",NA
"RIPK1",NA
"TPK1",NA
"CASZ1",NA
"ZBTB45",NA
"NUDT17",NA
"FANCE",NA
"ZNF396",NA
"NR4A2",1
"TBCEL",NA
"ADAM21",NA
"TCF3",NA
"AAAS",NA
"CELF6",NA
"INSC",NA
"ZMYND8",NA
"CLTC",NA
"TCHHL1",NA
"CTDSPL2",NA
"ZNF292",1
"KCNQ3",NA
"RALGAPB",NA
"SRCAP",NA
"RAB11FIP4",NA
"ZNF865",NA
"CASKIN1",NA
"RANBP17",NA
"FBN1",NA
"ACTB",NA
"CNNM2",NA
"TSHZ1",NA
"UPF3B",NA
"PHF2",NA
"FMR1",NA
"MIB1",NA
"FADS1",NA
"FRMD7",NA
"LDB1",NA
"PCDH19",NA
"EIF3G",NA
"MYO1E",NA
"ZFAND5",NA
"CFAP410",NA
"BICRA",NA
"MYBL2",NA
"KIAA1958",NA
"GABRG2",NA
"SKIDA1",NA
"PSMA3",NA
"TTC37",NA
"PCYT1A",NA
"AP1G1",NA
"FEZF2",NA
"FGF19",NA
"MSL3",NA
"SON",1
"DNAJC5",NA
"FBXO22",NA
"TNFRSF8",NA
"HDAC11",NA
"SSR2",NA
"ACTG1",1
"PNN",NA
"RUNX1T1",1
"APBB1",NA
"CERS4",NA
"CELF4",NA
"ZBTB14",NA
"ATAT1",0
"RBBP5",NA
"G3BP1",NA
"WNT7B",NA
"BDP1",NA
"RNF217",NA
"CBX4",NA
"NME8",NA
"DCUN1D3",NA
"ENC1",1
"UBB",1
"NEO1",NA
