"","real.log.BF"
"SCN2A",-6.33961204748534
"CHD8",28.9914270621437
"ADNP",-3.7736565748604
"SHANK3",-3.4988118243511
"PTEN",1.43801166506257
"SYNGAP1",-10.3948738447109
"MECP2",-5.10856172041742
"KDM5B",-5.77784609813987
"FOXP1",-4.03160278635127
"ARID1B",-6.44130416476245
"POGZ",-4.80523002622811
"ASH1L",2.19145361481615
"KMT5B",-8.261481476705
"SLC6A1",-4.94789161725251
"GIGYF1",-7.00587890386146
"DYRK1A",-5.84824451678987
"CHD2",2.69818443378604
"ASXL3",-1.61981113503864
"TAOK1",20.518608918055
"DNMT3A",-6.582747446732
"GRIN2B",1.95786569570622
"BRSK2",-4.89423901590614
"KMT2A",-5.93959340081562
"NF1",-7.65292044579655
"STXBP1",-3.34398744042525
"CUL3",-3.42206252574551
"MED13L",18.7997978445629
"ANK2",-8.91811775304659
"MYT1L",-2.30756448114302
"RORB",-7.29928565269155
"TBL1XR1",-3.51065297649523
"TBR1",-9.62334773495017
"DYNC1H1",-6.5085701726238
"WAC",-2.4796848011441
"PHF21A",-4.7299304400818
"KDM6B",-2.43476251304553
"DDX3X",-2.04755545889202
"CTNNB1",-4.07161668951337
"MED13",-7.16966026249405
"ANKRD11",-5.41359791273037
"CTCF",-2.49843614399899
"RFX3",-4.32347231556422
"ARHGEF9",-5.04106087569539
"SHANK2",-2.2272623834024
"DEAF1",-5.49776914177207
"SMARCC2",5.26075145591606
"TLK2",-6.00237367125195
"TCF20",-5.52446135243635
"CNOT3",-7.70646779856752
"SYNCRIP",2.44133350519973
"SETD5",-8.08389929029936
"NAA15",-2.45448322347676
"SCN1A",-7.11667803078359
"EHMT1",-4.87593109764101
"TCF4",-1.56859725060126
"SRPRA",-7.71124295859218
"MARK2",-9.6356627565431
"KMT2C",13.1248695327271
"MBD5",-6.6957817474143
"NRXN1",-7.16158422521323
"IRF2BPL",-2.48720280570423
"PHIP",-5.92556189072271
"NFE2L3",-6.44284575462806
"SKI",-4.45058837600879
"PSMD12",-6.25703918641212
"KCNB1",-6.2535117776097
"CSDE1",17.5605171523317
"TSC1",-6.68329400005159
"DMWD",-6.35885178278249
"CLCN4",-5.11069364481888
"MEIS2",-8.31805847762931
"PBX1",6.19168630010133
"HNRNPD",-1.05730891016255
"BCL11A",-2.27423403585064
"TCF7L2",-9.3077697557597
"WDFY3",-9.46026175077873
"PHF3",-7.79849945293159
"SETBP1",-3.18298195368885
"TGM1",-9.51130181983477
"EBF3",-2.82665669538561
"PPP2R5D",-7.34570767350313
"TAF4",-3.6259923506158
"KCNQ2",-9.83099529926209
"CAPRIN1",-3.92675938695697
"DSCAM",-8.22239059637788
"GABBR2",-5.40795056537165
"PRKG2",-7.92789672944281
"UBN2",-3.16227031610306
"MEF2C",-7.19017515626422
"TRIP12",4.80099324517883
"EP300",52.2372781660239
"NR3C2",-9.34926577351571
"ARHGEF18",-7.15595030738895
"TNPO3",-7.17112875289418
"SMAD6",-7.29887051143574
