,Timepoint:Cell_type
week_10:hPeric,115
week_10:hRgl2a,100
week_11:hRgl2a,80
week_10:Unk,74
week_11:hPeric,71
week_9:Unk,65
week_6:hProgFPM,57
week_8:Unk,54
week_11:hRgl2b,48
week_9:hGaba,46
week_6:hProgBP,46
week_8:hNbM,43
week_8:hNProg,43
week_11:hEndo,43
week_11:Unk,39
week_6:hProgM,37
week_6:hProgFPL,34
week_6:Unk,33
week_8:hProgBP,32
week_8:hNbML1,30
week_9:hNbML5,29
week_8:hOMTN,29
week_6:hNProg,27
week_6:hOMTN,26
week_11:hRgl3,25
week_10:hEndo,24
week_8:hProgFPM,23
week_8:hRN,22
week_9:hOMTN,21
week_10:hDA2,21
week_10:hRgl3,21
week_11:hOPC,21
week_11:hRgl2c,20
week_10:hNbM,19
week_10:hDA1,18
week_9:hProgBP,18
week_8:hProgM,18
week_10:hRgl2b,18
week_7:hRgl2a,17
week_7:hOMTN,17
week_7:Unk,17
week_10:hRgl1,17
week_7:hProgBP,16
week_10:hDA0,16
week_9:hNbGaba,16
week_9:hDA0,15
week_9:hDA1,13
week_9:hNProg,13
week_8:hProgFPL,13
week_9:hRgl2a,13
week_9:hDA2,12
week_6:hNbML1,12
week_9:hNbM,12
week_9:hNbML1,10
week_6:hNbM,10
week_10:hGaba,10
