"","genes","HGNC","conditions","group","labels"
"1","ADNP","ADNP","SPARK.risk","SPARK.risk.sfari","ADNP"
"2","ANK2","ANK2","SPARK.risk","SPARK.risk.sfari","ANK2"
"3","ANKRD11","ANKRD11","SPARK.risk","SPARK.risk.sfari","ANKRD11"
"4","ARID1B","ARID1B","SPARK.risk","SPARK.risk.sfari","ARID1B"
"5","ASH1L","ASH1L","SPARK.risk","SPARK.risk.sfari","ASH1L"
"6","ASXL3","ASXL3","SPARK.risk","SPARK.risk.sfari","ASXL3"
"7","BCL11A","BCL11A","SPARK.risk","SPARK.risk.sfari","BCL11A"
"8","CHD2","CHD2","SPARK.risk","SPARK.risk.sfari","CHD2"
"9","CHD8","CHD8","SPARK.risk","SPARK.risk.sfari","CHD8"
"10","CNOT3","CNOT3","SPARK.risk","SPARK.risk.sfari","CNOT3"
"11","CUL3","CUL3","SPARK.risk","SPARK.risk.sfari","CUL3"
"12","DDX3X","DDX3X","SPARK.risk","SPARK.risk.sfari","DDX3X"
"13","DEAF1","DEAF1","SPARK.risk","SPARK.risk.sfari","DEAF1"
"14","DSCAM","DSCAM","SPARK.risk","SPARK.risk.sfari","DSCAM"
"15","DYRK1A","DYRK1A","SPARK.risk","SPARK.risk.sfari","DYRK1A"
"16","FOXP1","FOXP1","SPARK.risk","SPARK.risk.sfari","FOXP1"
"17","GRIN2B","GRIN2B","SPARK.risk","SPARK.risk.sfari","GRIN2B"
"18","IRF2BPL","IRF2BPL","SPARK.risk","SPARK.risk.sfari","IRF2BPL"
"19","KDM5B","KDM5B","SPARK.risk","SPARK.risk.sfari","KDM5B"
"20","KMT2A","KMT2A","SPARK.risk","SPARK.risk.sfari","KMT2A"
"21","KMT2C","KMT2C","SPARK.risk","SPARK.risk.sfari","KMT2C"
"22","MECP2","MECP2","SPARK.risk","SPARK.risk.sfari","MECP2"
"23","MED13","MED13","SPARK.risk","SPARK.risk.sfari","MED13"
"24","MED13L","MED13L","SPARK.risk","SPARK.risk.sfari","MED13L"
"25","MYT1L","MYT1L","SPARK.risk","SPARK.risk.sfari","MYT1L"
"26","NAA15","NAA15","SPARK.risk","SPARK.risk.sfari","NAA15"
"27","NCKAP1","NCKAP1","SPARK.risk","SPARK.risk.sfari","NCKAP1"
"28","NRXN1","NRXN1","SPARK.risk","SPARK.risk.sfari","NRXN1"
"29","PHF3","PHF3","SPARK.risk","SPARK.risk.sfari","PHF3"
"30","POGZ","POGZ","SPARK.risk","SPARK.risk.sfari","POGZ"
"31","PTEN","PTEN","SPARK.risk","SPARK.risk.sfari","PTEN"
"32","SCN2A","SCN2A","SPARK.risk","SPARK.risk.sfari","SCN2A"
"33","SETD5","SETD5","SPARK.risk","SPARK.risk.sfari","SETD5"
"34","SHANK2","SHANK2","SPARK.risk","SPARK.risk.sfari","SHANK2"
"35","SHANK3","SHANK3","SPARK.risk","SPARK.risk.sfari","SHANK3"
"36","SLC6A1","SLC6A1","SPARK.risk","SPARK.risk.sfari","SLC6A1"
"37","SMARCC2","SMARCC2","SPARK.risk","SPARK.risk.sfari","SMARCC2"
"38","TBL1XR1","TBL1XR1","SPARK.risk","SPARK.risk.sfari","TBL1XR1"
"39","TBR1","TBR1","SPARK.risk","SPARK.risk.sfari","TBR1"
