,week_10:hPeric,week_10:hRgl2a,week_11:hRgl2a,week_10:Unk,week_11:hPeric,week_9:Unk,week_6:hProgFPM,week_8:Unk,week_11:hRgl2b,week_9:hGaba,week_6:hProgBP,week_8:hNbM,week_8:hNProg,week_11:hEndo,week_11:Unk,week_6:hProgM,week_6:hProgFPL,week_6:Unk,week_8:hProgBP,week_8:hNbML1,week_9:hNbML5,week_8:hOMTN,week_6:hNProg,week_6:hOMTN,week_11:hRgl3,week_10:hEndo,week_8:hProgFPM,week_8:hRN,week_9:hOMTN,week_10:hDA2,week_10:hRgl3,week_11:hOPC,week_11:hRgl2c,week_10:hNbM,week_10:hDA1,week_9:hProgBP,week_8:hProgM,week_10:hRgl2b,week_7:hRgl2a,week_7:hOMTN,week_7:Unk,week_10:hRgl1,week_7:hProgBP,week_10:hDA0,week_9:hNbGaba,week_9:hDA0,week_9:hDA1,week_9:hNProg,week_8:hProgFPL,week_9:hRgl2a,week_9:hDA2,week_6:hNbML1,week_9:hNbM,week_9:hNbML1,week_6:hNbM,week_10:hGaba
DDX11L1,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WASH7P_p1,6,9,9,5,6,4,4,1,6,5,4,2,1,4,7,4,1,1,3,3,2,2,2,3,3,1,1,5,2,1,0,1,2,3,2,0,0,1,0,1,1,1,0,2,1,0,5,0,0,1,1,0,0,1,0,0
LINC01002_loc4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC100133331_loc1,0,6,10,2,3,2,1,0,5,5,6,0,1,1,2,3,2,0,1,0,1,2,1,4,1,2,0,0,4,0,0,3,1,2,1,3,0,1,1,1,0,1,0,1,3,0,1,0,0,0,0,0,0,2,1,1
LOC100132287_loc2,1,2,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,19,5,3,6,10,0,0,0,3,2,0,0,1,2,3,0,0,0,1,0,0,0,0,0,3,2,1,1,0,1,2,2,2,0,2,0,0,2,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MIR6723,57,20,15,15,15,7,8,2,11,3,13,7,1,7,13,6,9,4,2,2,0,4,3,4,13,6,1,3,0,2,5,5,6,3,5,2,1,4,1,3,2,5,1,2,2,1,2,1,2,0,2,0,1,0,1,4
LOC100133331_loc2,1,4,3,2,2,3,1,0,4,7,4,2,2,0,1,1,1,1,4,0,2,2,0,3,3,1,1,1,1,1,0,2,0,1,0,1,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC100288069_p1,3,2,1,0,1,2,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
LINC00115,1,2,3,2,4,0,1,0,4,1,2,1,3,3,3,1,1,1,0,1,0,2,1,3,2,0,0,0,0,1,2,4,1,2,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0
LINC01128,15,7,7,6,15,3,2,3,7,7,6,1,4,5,5,5,2,3,4,2,5,5,1,5,5,4,1,0,5,0,0,1,3,5,1,2,0,1,1,2,0,1,3,1,2,1,3,1,2,0,1,1,4,1,0,0
FAM41C,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
SAMD11,0,1,0,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0,1,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
NOC2L,12,7,9,3,6,2,2,3,2,3,4,3,2,4,5,2,4,7,4,2,2,3,0,3,3,2,4,4,3,2,3,5,1,3,1,3,3,0,1,1,2,0,1,1,2,2,3,0,1,0,0,0,3,1,0,0
KLHL17,4,2,2,1,1,1,3,1,0,1,0,0,1,0,1,0,3,2,2,3,1,2,0,3,0,0,1,0,0,2,2,1,3,3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,2
PLEKHN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PERM1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HES4,24,29,35,5,26,4,4,2,10,3,8,4,3,12,4,4,4,0,7,2,2,3,2,2,14,4,4,1,1,2,5,2,3,1,1,6,1,3,0,0,1,2,1,0,0,1,1,3,3,1,0,0,1,0,0,1
ISG15,48,14,4,2,35,0,2,3,3,1,3,2,0,12,2,2,2,0,2,1,1,2,1,0,1,5,1,0,1,2,1,4,1,2,0,1,3,4,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0
AGRN,108,84,72,32,70,25,13,16,31,19,15,16,11,35,20,16,19,10,11,9,12,17,9,16,23,20,5,7,14,7,15,17,16,8,6,10,6,8,11,9,4,10,5,7,2,3,5,6,7,12,7,5,6,8,2,4
C1orf159,6,9,9,7,5,0,3,5,6,1,4,1,3,1,4,4,4,2,2,1,1,2,2,0,4,0,1,2,0,1,4,3,2,2,1,1,1,0,0,0,0,1,0,3,4,1,1,1,0,2,0,2,0,1,0,0
SDF4,22,28,30,7,21,3,9,3,11,7,9,3,4,10,6,6,8,1,2,3,2,1,3,9,8,5,2,2,3,2,5,4,5,5,3,3,2,2,1,2,1,3,1,1,0,3,1,1,1,2,0,2,0,1,1,2
B3GALT6,12,10,10,7,14,6,3,4,5,11,3,1,1,5,2,3,7,1,1,2,2,5,1,3,4,2,2,2,6,4,1,4,6,1,4,3,0,2,1,0,0,2,0,0,1,1,1,2,1,1,0,0,0,1,0,1
UBE2J2,10,13,16,6,3,5,4,5,6,4,5,4,5,6,4,2,3,0,4,3,0,1,2,2,4,0,3,0,4,1,3,2,4,2,1,4,2,3,2,1,0,0,0,1,3,0,1,0,1,2,1,1,1,3,0,0
SCNN1D,11,15,8,3,11,3,5,3,2,3,4,1,1,2,2,2,2,1,1,3,0,1,1,0,7,0,0,1,1,2,0,2,1,2,2,1,0,3,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
ACAP3,8,9,4,16,9,3,6,0,5,2,4,6,1,6,11,4,0,1,2,6,2,2,0,3,2,2,2,2,4,2,4,2,1,4,1,2,2,6,0,3,1,1,1,3,0,2,1,2,1,0,0,1,0,1,1,3
PUSL1,1,3,1,2,4,0,2,0,1,2,1,0,2,2,1,1,2,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0
CPSF3L,18,17,12,11,7,4,9,7,6,8,9,7,4,5,9,10,6,2,3,3,8,6,3,7,3,4,5,5,6,1,4,2,3,2,4,5,1,1,1,4,0,2,1,2,3,1,3,0,4,5,2,2,2,1,1,2
CPTP,4,5,8,2,3,1,0,0,1,2,1,2,1,2,2,0,1,1,1,0,1,3,0,3,1,0,0,2,1,0,0,2,1,2,0,0,3,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
DVL1,9,11,13,7,3,3,3,2,4,2,3,2,0,2,3,1,3,0,1,1,1,3,0,3,4,1,1,2,1,0,2,2,3,3,3,3,1,2,1,1,0,0,1,1,2,1,1,2,0,0,0,0,1,0,0,3
MXRA8,11,12,16,1,9,0,4,2,6,0,8,1,2,1,1,1,1,2,4,1,1,2,1,1,9,3,0,0,2,0,5,2,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
AURKAIP1,15,15,17,10,16,1,12,12,3,4,9,8,7,5,4,5,12,2,6,3,2,4,7,7,9,5,3,4,4,2,9,3,6,2,5,4,4,2,1,3,0,3,0,5,0,2,0,2,3,0,0,3,1,0,2,2
CCNL2,42,40,40,21,30,24,17,13,22,25,12,14,11,22,13,16,15,4,10,12,12,9,9,13,8,9,5,6,14,9,4,8,7,8,8,9,7,5,3,3,3,5,1,5,5,9,7,4,8,3,4,4,5,8,4,6
LOC148413,3,4,6,1,3,0,2,2,0,0,4,4,0,3,4,1,0,1,5,0,0,3,1,2,1,3,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MRPL20,59,57,33,32,39,10,35,19,18,11,26,19,14,23,12,27,22,14,18,14,9,19,10,22,12,15,11,12,9,12,10,8,10,11,11,4,9,6,8,10,7,11,7,8,3,7,6,3,10,6,2,7,3,4,3,4
ANKRD65,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
