,GW16:Neurons,GW26:GABAergic neurons,GW23:GABAergic neurons,GW16:Stem cells,GW26:Neurons,GW10:Neurons,GW23:Neurons,GW10:Stem cells,GW16:GABAergic neurons,GW19:Neurons,GW26:OPC,GW26:Astrocytes,GW12:Neurons,GW09:Stem cells,GW26:Microglia,GW09:Neurons,GW23:OPC,GW19:GABAergic neurons,GW13:Neurons,GW08:Neurons,GW16:OPC,GW12:Stem cells,GW16:Microglia,GW23:Microglia
A1BG,62,68,17,15,7,15,5,18,8,1,7,9,16,1,5,6,4,3,4,1,1,4,0,0
A1BG-AS1,1,10,3,1,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0
A1CF,12,14,2,3,4,0,1,2,1,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0
A2M,102,113,36,19,18,9,13,12,11,12,24,23,3,7,40,3,7,3,1,5,4,0,11,10
A2M-AS1,12,17,7,1,5,2,1,2,1,1,2,2,1,0,4,0,1,0,0,0,0,0,3,2
A2ML1,12,8,8,3,0,7,1,3,0,2,2,7,1,1,1,0,1,0,0,0,0,0,0,0
A2MP1,7,4,2,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
A3GALT2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A4GALT,1,4,2,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0
A4GNT,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AA06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,371,168,70,92,49,61,45,62,51,37,39,44,35,34,20,18,15,10,11,12,11,8,8,3
AACS,261,151,36,59,24,43,17,38,23,18,28,39,23,17,22,10,4,4,3,9,7,7,5,2
AACSP1,5,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
