"","FDR","real.FDR","num_points","model"
"1",0,0,0,"VBASS"
"2",1e-04,0.000170532060027285,5864,"VBASS"
"3",2e-04,0.000154679040989946,6465,"VBASS"
"4",3e-04,0.000146198830409357,6840,"VBASS"
"5",4e-04,0.000280426247896803,7132,"VBASS"
"6",5e-04,0.000271554650373388,7365,"VBASS"
"7",6e-04,0.000264235698242833,7569,"VBASS"
"8",7e-04,0.000516795865633075,7740,"VBASS"
"9",8e-04,0.000506713959969597,7894,"VBASS"
"10",9e-04,0.000497265042267529,8044,"VBASS"
"11",0.001,0.000489416370977609,8173,"VBASS"
"12",0.0011,0.000482450850319624,8291,"VBASS"
"13",0.0012,0.000594954783436459,8404,"VBASS"
"14",0.0013,0.000587889476778366,8505,"VBASS"
"15",0.0014,0.00069710700592541,8607,"VBASS"
"16",0.0015,0.000689813750287422,8698,"VBASS"
"17",0.0016,0.000683137879995446,8783,"VBASS"
"18",0.0017,0.000789533047597564,8866,"VBASS"
"19",0.0018,0.00100626118067979,8944,"VBASS"
"20",0.0019,0.00110877037365562,9019,"VBASS"
"21",0.002,0.0010998680158381,9092,"VBASS"
"22",0.0021,0.00109134562916076,9163,"VBASS"
"23",0.0022,0.00108342361863489,9230,"VBASS"
"24",0.0023,0.00118317736904378,9297,"VBASS"
"25",0.0024,0.00128205128205128,9360,"VBASS"
"26",0.0025,0.00138033552771289,9418,"VBASS"
"27",0.0026,0.00147710487444609,9478,"VBASS"
"28",0.0027,0.00146812080536913,9536,"VBASS"
"29",0.0028,0.00146031083759257,9587,"VBASS"
"30",0.0029,0.00145198091682224,9642,"VBASS"
"31",0.003,0.00154655119084442,9699,"VBASS"
"32",0.0031,0.00153925089789636,9745,"VBASS"
"33",0.0032,0.00163281967547709,9799,"VBASS"
"34",0.0033,0.00162519045200609,9845,"VBASS"
"35",0.0034,0.00171925566343042,9888,"VBASS"
"36",0.0035,0.00191320108750378,9931,"VBASS"
"37",0.0036,0.00190438007417059,9977,"VBASS"
"38",0.0037,0.00219648562300319,10016,"VBASS"
"39",0.0038,0.00228628230616302,10060,"VBASS"
"40",0.0039,0.0023764729181107,10099,"VBASS"
"41",0.004,0.00236756436815626,10137,"VBASS"
"42",0.0041,0.00285096342902084,10172,"VBASS"
"43",0.0042,0.0029385836027035,10209,"VBASS"
"44",0.0043,0.00302409521022339,10251,"VBASS"
"45",0.0044,0.00320949231666991,10282,"VBASS"
"46",0.0045,0.00339245904817292,10317,"VBASS"
"47",0.0046,0.00338066260987153,10353,"VBASS"
"48",0.0047,0.00346653827636013,10385,"VBASS"
"49",0.0048,0.00355120453018524,10419,"VBASS"
"50",0.0049,0.00373312912797932,10447,"VBASS"
"51",0.005,0.00372279495990836,10476,"VBASS"
"52",0.0051,0.00380481308855702,10513,"VBASS"
"53",0.0052,0.00398406374501992,10542,"VBASS"
"54",0.0053,0.00406850222348377,10569,"VBASS"
"55",0.0054,0.00415055183473257,10601,"VBASS"
"56",0.0055,0.00423489553924337,10626,"VBASS"
"57",0.0056,0.00422257671014357,10657,"VBASS"
"58",0.0057,0.00421269425201273,10682,"VBASS"
"59",0.0058,0.00420011200298675,10714,"VBASS"
"60",0.0059,0.00428185795401657,10743,"VBASS"
