"","Simulated.correlation","Real.correlation","cell_type"
"1",0.284246254170518,0.373103807193272,"GW16.Neurons"
"2",0.312920613527277,0.409873712501377,"GW26.GABAergic.neurons"
"3",0.304488452242438,0.388283093892826,"GW23.GABAergic.neurons"
"4",0.278579698702228,0.347588126727263,"GW16.Stem.cells"
"5",0.312996809124578,0.391916504371429,"GW26.Neurons"
"6",0.282695801364243,0.358208052657015,"GW10.Neurons"
"7",0.282236404895871,0.365885135546659,"GW23.Neurons"
"8",0.275102414065142,0.3415001133609,"GW10.Stem.cells"
"9",0.30975507612904,0.379263302964866,"GW16.GABAergic.neurons"
"10",0.286035316843623,0.358651720823455,"GW19.Neurons"
"11",0.298289332559325,0.373873515951775,"GW26.OPC"
"12",0.300504460998904,0.388605006969352,"GW26.Astrocytes"
"13",0.265738493506595,0.321392067654228,"GW12.Neurons"
"14",0.227500833858888,0.282714067608219,"GW09.Stem.cells"
"15",0.262231174263907,0.310202946068185,"GW26.Microglia"
"16",0.255421588020334,0.329095000207679,"GW09.Neurons"
"17",0.286076984069754,0.351085870882897,"GW23.OPC"
"18",0.321439029974669,0.338270978348112,"GW19.GABAergic.neurons"
"19",0.223167288289667,0.236733599280636,"GW13.Neurons"
"20",0.258313453419382,0.29318259574422,"GW08.Neurons"
"21",0.335129763887057,0.352508175248936,"GW16.OPC"
"22",0.259344658519428,0.249388208744232,"GW12.Stem.cells"
"23",0.262882214575637,0.259877816683506,"GW16.Microglia"
"24",0.226897207816681,0.163911374295594,"GW23.Microglia"
"25",0.32778725878251,0.497237757413981,"week_10.hPeric"
"26",0.32406347610969,0.501359705138077,"week_10.hRgl2a"
"27",0.293026409596059,0.458185345590377,"week_11.hRgl2a"
"29",0.292159767732074,0.444333424097899,"week_11.hPeric"
"31",0.300773768338529,0.41130534086646,"week_6.hProgFPM"
"33",0.334044093906047,0.452163856496272,"week_11.hRgl2b"
"34",0.479831718705159,0.639892995412832,"week_9.hGaba"
"35",0.300894942442704,0.418247449041765,"week_6.hProgBP"
"36",0.381355573704395,0.501284417089628,"week_8.hNbM"
"37",0.341030737567383,0.452133288959677,"week_8.hNProg"
"38",0.264950044266427,0.406288792080018,"week_11.hEndo"
"40",0.295411714928598,0.416579988306466,"week_6.hProgM"
"41",0.287282911597827,0.394201484405876,"week_6.hProgFPL"
"43",0.332633073713498,0.432739410927912,"week_8.hProgBP"
"44",0.406695644445562,0.505354694549445,"week_8.hNbML1"
"45",0.46076911306478,0.564796770003472,"week_9.hNbML5"
"46",0.392522831930568,0.491211175848847,"week_8.hOMTN"
"47",0.337040592150272,0.418957225006329,"week_6.hNProg"
"48",0.365766354166678,0.467316128395258,"week_6.hOMTN"
"49",0.340396724850544,0.455642498698579,"week_11.hRgl3"
"50",0.316329547909413,0.422506760128744,"week_10.hEndo"
"51",0.324306783049232,0.420964347382335,"week_8.hProgFPM"
"52",0.411422851415346,0.493508193423804,"week_8.hRN"
"53",0.448710930676151,0.560781449489406,"week_9.hOMTN"
"54",0.439415200335773,0.518461183966228,"week_10.hDA2"
"55",0.331992187186794,0.465771715557207,"week_10.hRgl3"
"56",0.36993962287549,0.433590306640389,"week_11.hOPC"
"57",0.308636194021243,0.416829522344497,"week_11.hRgl2c"
"58",0.423736426383712,0.5191016279129,"week_10.hNbM"
"59",0.446127362454562,0.547405954718295,"week_10.hDA1"
"60",0.37585476706506,0.445090542179644,"week_9.hProgBP"
"61",0.33164975265744,0.403409700706449,"week_8.hProgM"
"62",0.400940605728241,0.465699150903849,"week_10.hRgl2b"
"63",0.351343245261923,0.430263961015438,"week_7.hRgl2a"
"64",0.428890279874726,0.504553447540921,"week_7.hOMTN"
"66",0.34032805684069,0.455016073662313,"week_10.hRgl1"
"67",0.347441933647024,0.410762640148936,"week_7.hProgBP"
"68",0.420732425827461,0.513394358204378,"week_10.hDA0"
"69",0.454608356440497,0.580948567545453,"week_9.hNbGaba"
"70",0.494623811327752,0.549707016603071,"week_9.hDA0"
"71",0.594469309022353,0.731229111208943,"week_9.hDA1"
"72",0.429788402530325,0.486553290016288,"week_9.hNProg"
"73",0.341820089178849,0.440281650655852,"week_8.hProgFPL"
"74",0.424372482014418,0.493703763416955,"week_9.hRgl2a"
"75",0.484125420644263,0.5385854245633,"week_9.hDA2"
"76",0.365573113403692,0.433942698332404,"week_6.hNbML1"
"77",0.447031665504997,0.531412994991953,"week_9.hNbM"
"78",0.521307870544267,0.561303505623998,"week_9.hNbML1"
"79",0.395261291136317,0.416955609240783,"week_6.hNbM"
"80",0.445395392019128,0.491369838279098,"week_10.hGaba"
