"","V1","cell_type"
"GW10.Neurons",0.437725814135567,"GW10.Neurons"
"GW26.GABAergic.neurons",0.429935515185018,"GW26.GABAergic.neurons"
"GW10.Stem.cells",0.420705933244977,"GW10.Stem.cells"
"GW26.Neurons",0.419545043249437,"GW26.Neurons"
"GW16.GABAergic.neurons",0.416542754014766,"GW16.GABAergic.neurons"
"GW23.GABAergic.neurons",0.415601050753034,"GW23.GABAergic.neurons"
"GW09.Neurons",0.415413870230768,"GW09.Neurons"
"GW19.Neurons",0.409928791744938,"GW19.Neurons"
"GW16.Neurons",0.407265674181713,"GW16.Neurons"
"GW26.OPC",0.404650747979655,"GW26.OPC"
"GW16.Stem.cells",0.404001131233254,"GW16.Stem.cells"
"GW23.Neurons",0.400772399706914,"GW23.Neurons"
"GW16.Microglia",0.392647371081834,"GW16.Microglia"
"GW19.GABAergic.neurons",0.390512448549843,"GW19.GABAergic.neurons"
"GW23.OPC",0.38741787723312,"GW23.OPC"
"GW26.Astrocytes",0.381707436251541,"GW26.Astrocytes"
"GW08.Neurons",0.374255142901735,"GW08.Neurons"
"GW12.Neurons",0.373248674792282,"GW12.Neurons"
"GW09.Stem.cells",0.371448024755972,"GW09.Stem.cells"
"GW16.OPC",0.367009966793881,"GW16.OPC"
"GW26.Microglia",0.361422409427502,"GW26.Microglia"
"GW12.Stem.cells",0.357291798898129,"GW12.Stem.cells"
"GW23.Microglia",0.350904895970231,"GW23.Microglia"
"GW13.Neurons",0.347686381193098,"GW13.Neurons"
