"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba"
"PAX5",0.0073394495412844,0.00746268656716418,0.00574712643678161,0.00813008130081301,0,0,0,0.0119047619047619,0,0,0,0.0158730158730159,0,0,0.05,0,0,0,0,0.0666666666666667,0,0,0,0,0.0869565217391304,0.11,0.0875,0.148648648648649,0.0422535211267606,0.184615384615385,0.175438596491228,0,0.0833333333333333,0.478260869565217,0.173913043478261,0.0232558139534884,0.0697674418604651,0.0232558139534884,0.0512820512820513,0.027027027027027,0.147058823529412,0.0303030303030303,0.15625,0.133333333333333,0.586206896551724,0.172413793103448,0.111111111111111,0.269230769230769,0,0.125,0.130434782608696,0.0454545454545455,0.142857142857143,0,0.142857142857143,0.142857142857143,0.05,0.157894736842105,0.111111111111111,0.444444444444444,0.0555555555555556,0.111111111111111,0,0.117647058823529,0.0588235294117647,0.0588235294117647,0.0625,0.0625,0.375,0.133333333333333,0.230769230769231,0.615384615384615,0.0769230769230769,0.230769230769231,0.25,0.166666666666667,0.583333333333333,0.4,0.1,0.3
"EBF3",0.0403669724770642,0.0298507462686567,0.0229885057471264,0.0731707317073171,0.0169491525423729,0.10752688172043,0,0.0833333333333333,0.0240963855421687,0,0.0138888888888889,0.0476190476190476,0,0.06,0.025,0.0285714285714286,0,0,0,0,0,0,0.0909090909090909,0,0.0782608695652174,0.16,0.0375,0.148648648648649,0.0140845070422535,0.230769230769231,0.0526315789473684,0.0925925925925926,0.0416666666666667,0.478260869565217,0.152173913043478,0.767441860465116,0.302325581395349,0.0465116279069767,0.0512820512820513,0.0810810810810811,0.0294117647058824,0.0606060606060606,0.125,0.6,0.172413793103448,0.241379310344828,0.185185185185185,0.230769230769231,0.04,0.0416666666666667,0.0869565217391304,0.636363636363636,0.142857142857143,0.285714285714286,0.0476190476190476,0,0,0.947368421052632,0.722222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0.117647058823529,0.117647058823529,0.176470588235294,0.117647058823529,0,0.8125,0.5625,0.533333333333333,0.538461538461538,0.384615384615385,0.230769230769231,0.307692307692308,0.25,0.5,0.5,0.8,0.6,0.3
"GRIN2B",0.0275229357798165,0.0970149253731343,0.0459770114942529,0.0487804878048781,0.0338983050847458,0,0.0444444444444444,0.0238095238095238,0.036144578313253,0,0.0416666666666667,0.0158730158730159,0.0158730158730159,0,0.05,0,0.08,0,0,0,0,0,0,0,0.00869565217391304,0,0,0.0540540540540541,0,0,0,0.0185185185185185,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0344827586206897,0,0,0,0,0,0,0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0.166666666666667,0,0,0,0,0
"TBR1",0.273394495412844,0.0796019900497512,0.0689655172413793,0.16260162601626,0.110169491525424,0.43010752688172,0.255555555555556,0.261904761904762,0.0843373493975904,0.170731707317073,0.0416666666666667,0.0476190476190476,0.19047619047619,0.16,0.025,0.685714285714286,0.08,0.0454545454545455,0,0.2,0,0.0833333333333333,0.363636363636364,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASXL3",0.401834862385321,0.380597014925373,0.183908045977011,0.341463414634146,0.194915254237288,0.236559139784946,0.166666666666667,0.154761904761905,0.289156626506024,0.25609756097561,0.180555555555556,0.285714285714286,0.126984126984127,0.02,0.35,0.257142857142857,0.16,0.181818181818182,0.0625,0.4,0.357142857142857,0,0.363636363636364,0.1,0.0608695652173913,0.07,0.0125,0.121621621621622,0.0563380281690141,0.123076923076923,0.0526315789473684,0.0925925925925926,0.0416666666666667,0.326086956521739,0.108695652173913,0.255813953488372,0.0465116279069767,0,0.153846153846154,0.108108108108108,0.0588235294117647,0.0303030303030303,0.125,0.3,0.172413793103448,0.379310344827586,0,0.230769230769231,0.04,0,0.0869565217391304,0.272727272727273,0.380952380952381,0.285714285714286,0.0952380952380952,0.0952380952380952,0,0.210526315789474,0.222222222222222,0.111111111111111,0.0555555555555556,0.0555555555555556,0.0588235294117647,0,0.176470588235294,0.0588235294117647,0.0625,0.125,0.4375,0.2,0.538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.333333333333333,0.25,0.5,0.3,0.2
"IRF2BPL",0.374311926605505,0.395522388059701,0.235632183908046,0.382113821138211,0.211864406779661,0.43010752688172,0.177777777777778,0.404761904761905,0.36144578313253,0.134146341463415,0.347222222222222,0.365079365079365,0.26984126984127,0.22,0.4,0.371428571428571,0.08,0.136363636363636,0.1875,0.266666666666667,0.357142857142857,0.0833333333333333,0.545454545454545,0.3,0.226086956521739,0.48,0.425,0.324324324324324,0.183098591549296,0.2,0.175438596491228,0.0925925925925926,0.3125,0.58695652173913,0.152173913043478,0.0697674418604651,0.116279069767442,0.302325581395349,0.307692307692308,0.405405405405405,0.235294117647059,0.0606060606060606,0.15625,0.166666666666667,0.517241379310345,0.310344827586207,0.0740740740740741,0.423076923076923,0.4,0.25,0.0869565217391304,0.227272727272727,0.476190476190476,0.428571428571429,0.285714285714286,0.333333333333333,0.15,0.263157894736842,0.5,0.388888888888889,0.166666666666667,0.222222222222222,0.470588235294118,0.235294117647059,0.0588235294117647,0.176470588235294,0.25,0.4375,0.625,0.6,0.461538461538462,0.461538461538462,0.461538461538462,0.615384615384615,0.166666666666667,0.25,0.666666666666667,0.5,0.1,0.3
"IQSEC2",0.0660550458715596,0.166666666666667,0.0574712643678161,0.138211382113821,0.0847457627118644,0.032258064516129,0.0444444444444444,0.0476190476190476,0.0481927710843374,0.0487804878048781,0.111111111111111,0.126984126984127,0.0158730158730159,0,0.1,0.0285714285714286,0.04,0.0454545454545455,0,0,0.0714285714285714,0.0833333333333333,0.181818181818182,0.2,0.0608695652173913,0.1,0.1,0.0945945945945946,0.0422535211267606,0.123076923076923,0.0175438596491228,0,0.0416666666666667,0.0434782608695652,0.0217391304347826,0.0232558139534884,0.0232558139534884,0.0697674418604651,0.0256410256410256,0.027027027027027,0.0294117647058824,0,0,0,0.0344827586206897,0.0344827586206897,0,0,0.04,0,0,0,0.0952380952380952,0.142857142857143,0.0952380952380952,0,0,0.0526315789473684,0.111111111111111,0,0,0.111111111111111,0,0.117647058823529,0,0.117647058823529,0,0.1875,0.0625,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.0833333333333333,0,0,0,0,0.1
"SHANK3",0.132110091743119,0.300995024875622,0.114942528735632,0.0813008130081301,0.101694915254237,0.0537634408602151,0.0888888888888889,0.107142857142857,0.132530120481928,0.0365853658536585,0.208333333333333,0.253968253968254,0.0158730158730159,0,0.2,0.0571428571428571,0.12,0,0,0,0.357142857142857,0,0.0909090909090909,0.3,0.0869565217391304,0.09,0.1,0.148648648648649,0.0704225352112676,0.0153846153846154,0.0175438596491228,0.0185185185185185,0,0.239130434782609,0.0652173913043478,0.0232558139534884,0,0.604651162790698,0.153846153846154,0.0810810810810811,0.0882352941176471,0.0303030303030303,0.0625,0.0666666666666667,0.0344827586206897,0.0344827586206897,0.037037037037037,0.0384615384615385,0.12,0.708333333333333,0,0.0909090909090909,0.238095238095238,0.238095238095238,0.0476190476190476,0,0.05,0.315789473684211,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.111111111111111,0,0,0,0.117647058823529,0,0,0,0,0.230769230769231,0,0.307692307692308,0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.1,0.1,0.3
"RORB",0.302752293577982,0.305970149253731,0.114942528735632,0.268292682926829,0.211864406779661,0.118279569892473,0.0777777777777778,0.0833333333333333,0.192771084337349,0.170731707317073,0.222222222222222,0.349206349206349,0.19047619047619,0.02,0.275,0.2,0.16,0.0454545454545455,0.25,0,0.142857142857143,0.0833333333333333,0.272727272727273,0.1,0.00869565217391304,0.08,0.0875,0.0405405405405405,0.028169014084507,0.0923076923076923,0.0526315789473684,0.037037037037037,0,0.0434782608695652,0.0652173913043478,0.0465116279069767,0.0465116279069767,0.0232558139534884,0.0256410256410256,0.027027027027027,0,0.0606060606060606,0.15625,0.0333333333333333,0.103448275862069,0.0689655172413793,0,0.0384615384615385,0,0,0.0434782608695652,0.136363636363636,0.0476190476190476,0,0,0,0,0.0526315789473684,0,0,0.0555555555555556,0.0555555555555556,0,0,0.176470588235294,0.0588235294117647,0.0625,0,0.0625,0,0.0769230769230769,0,0,0.153846153846154,0.0833333333333333,0,0.0833333333333333,0.1,0,0
"DLG4",0.155963302752294,0.228855721393035,0.149425287356322,0.138211382113821,0.152542372881356,0.311827956989247,0.0777777777777778,0.416666666666667,0.144578313253012,0.0853658536585366,0.222222222222222,0.222222222222222,0.158730158730159,0.08,0.15,0.0571428571428571,0.16,0.0909090909090909,0.0625,0.466666666666667,0.0714285714285714,0,0.454545454545455,0.1,0.391304347826087,0.44,0.4,0.486486486486487,0.225352112676056,0.307692307692308,0.263157894736842,0.111111111111111,0.458333333333333,0.456521739130435,0.282608695652174,0.372093023255814,0.209302325581395,0.255813953488372,0.358974358974359,0.405405405405405,0.264705882352941,0.242424242424242,0.1875,0.3,0.275862068965517,0.448275862068966,0.333333333333333,0.846153846153846,0.48,0.166666666666667,0.260869565217391,0.272727272727273,0.666666666666667,0.428571428571429,0.380952380952381,0.333333333333333,0.1,0.473684210526316,0.277777777777778,0.388888888888889,0.166666666666667,0.388888888888889,0.294117647058824,0.470588235294118,0.235294117647059,0.352941176470588,0.3125,0.6875,0.375,0.266666666666667,0.615384615384615,0.461538461538462,0.307692307692308,0.230769230769231,0.25,0.666666666666667,0.5,0.4,0.5,0.5
