"","PC0","PC1","PC2","training.label","louvain.clust","k.means.clust","log_pi","posterior.label"
"SCN2A",-1.09266709985564,-0.156188790525888,1.66324198982141,NA,"0","2",-2.9266453,"both"
"CHD8",-1.1647247366789,0.395140160502087,0.492196801850888,NA,"0","2",-3.131384,"both"
"ADNP",-3.03965159722554,0.262379138697184,0.0762686799870954,"ASD-Risk","0","1",-3.0158916,NA
"SHANK3",0.438619093074749,0.261939221467306,0.211554976576833,"ASD-Risk","0","1",-2.7966561,NA
"PTEN",-2.06112184590536,-0.861178801185235,0.312264558889231,"ASD-Risk","0","2",-2.9824755,NA
"SYNGAP1",0.310158531145807,-0.299774228312868,0.114172162626475,"ASD-Risk","0","1",-3.2132785,NA
"MECP2",-1.52195657485035,0.215974044460468,0.167883710876687,"ASD-Risk","0","1",-3.0092378,NA
"KDM5B",-2.92274271366121,-0.0384891363983739,0.507972124813319,"ASD-Risk","0","2",-3.0529833,NA
"FOXP1",-2.27811069427525,0.738689208696997,-0.236972339671246,"ASD-Risk","0","3",-3.1898077,NA
"ARID1B",-2.25056196557467,0.357379781779972,0.62509072872145,NA,"0","2",-3.2247548,"both"
"POGZ",-3.1214773514553,0.271217675741971,0.250191972687421,NA,"0","1",-3.2035732,"both"
"ASH1L",-3.04498037228665,0.509365317347426,0.340021663293759,NA,"0","2",-3.1831326,"both"
"KMT5B",-2.3730770704392,0.0823564849620149,0.771026146873441,NA,"0","2",-3.0755503,"both"
"SLC6A1",-0.548245303034922,-0.105531802426541,0.447869962218415,"ASD-Risk","0","2",-3.0031447,NA
"GIGYF1",-1.0462682863719,-0.427941190444858,0.382907547874087,"ASD-Risk","0","2",-3.1365416,NA
"DYRK1A",-1.33420869652395,0.268906211794501,0.150949125851741,"ASD-Risk","0","1",-3.1874058,NA
"CHD2",-3.53000184232797,0.874127546130915,0.308998298474399,NA,"0","2",-3.1033154,"both"
"ASXL3",-0.207564199645188,0.109231258301959,0.780972131365577,"ASD-Risk","0","2",-2.6687477,NA
"TAOK1",-3.40430225830595,0.707394734529286,0.482824177870215,"ASD-Risk","0","2",-3.1079884,NA
"DNMT3A",-1.16735905443676,0.356008743434217,0.0285409367263154,"ASD-Risk","0","1",-2.8628361,NA
"GRIN2B",1.23675435302747,0.144625168392625,0.110963253832038,"ASD-Risk","0","1",-2.465862,NA
"BRSK2",-0.813528474541885,0.330319318765114,0.267187674045662,NA,"0","1",-3.0828424,"both"
"KMT2A",-4.16835176856228,0.99303195771129,0.866516553310662,"ASD-Risk","0","2",-3.0947495,NA
"NF1",-1.70628614317116,0.612822107517079,0.11672643525029,"ASD-Risk","0","1",-3.1164308,NA
"STXBP1",-2.49650312498612,-1.29583852067465,1.02113564036944,"ASD-Risk","0","2",-3.175355,NA
"CUL3",-1.32117576263899,0.32757653923201,0.29364834840393,"ASD-Risk","0","2",-3.0783439,NA
"MED13L",-1.38950800597744,0.0105328675527061,0.405899537231863,"ASD-Risk","0","2",-3.031915,NA
"ANK2",-3.58733213872321,0.197152719222542,1.81894261934075,"ASD-Risk","0","2",-3.1254704,NA
"MYT1L",-2.92214485858824,-1.02256866481858,1.80042565231357,"ASD-Risk","0","2",-3.1942704,NA
"RORB",0.552248819857537,-0.233579770393842,0.125091903930003,"ASD-Risk","0","1",-2.8138738,NA
"TBL1XR1",-3.59895782352717,0.369304114746456,0.223016884697968,NA,"0","1",-3.2345834,"both"
"TBR1",0.798903178669734,-0.405163688973327,-0.100530207388411,"ASD-Risk","0","1",-2.564305,NA
"DYNC1H1",-4.94384217840778,0.800321621795,0.6874028421561,"ASD-Risk","0","2",-3.101376,NA
"WAC",-4.11907777005805,0.87686224964405,0.226921983022112,"ASD-Risk","0","1",-3.2336922,NA
"PHF21A",-1.30646696991418,0.562777524430733,0.157358226935699,"ASD-Risk","0","1",-3.1057057,NA
"KDM6B",-1.33331342657009,-0.27390004158322,0.27788899147105,"ASD-Risk","0","2",-2.9381416,NA
"DDX3X",-4.84359212459471,0.775094420282626,-0.284958607667045,NA,"0","3",-3.2320383,"both"
"CTNNB1",-4.04539263350041,0.515473634134213,-0.440545900144068,NA,"0","3",-3.212888,"both"
"MED13",-2.07280060326647,0.478597146912391,0.465561850616416,"ASD-Risk","0","2",-3.1567216,NA
"ANKRD11",-3.45311877414441,0.888067259705539,0.347316638644007,"ASD-Risk","0","2",-3.079858,NA
"CTCF",-1.80775388892676,0.452190736091759,0.289543888193772,"ASD-Risk","0","2",-2.896215,NA
"RFX3",-2.31823489272243,0.950760670910787,0.0840507369789977,NA,"0","1",-3.175965,"both"
"ARHGEF9",-0.80862603736869,0.0721927347484202,0.393268267832253,"ASD-Risk","0","2",-3.1522553,NA
"SHANK2",-0.578038447215758,-0.100481032097479,1.05920316901012,"ASD-Risk","0","2",-2.8601959,NA
"DEAF1",-0.3983331757404,-0.265372982144562,0.382055183513981,"ASD-Risk","0","2",-3.0823581,NA
"SMARCC2",-3.6497239008471,0.551740465744857,0.595330194705968,"ASD-Risk","0","2",-3.1312406,NA
"TLK2",-0.513053395471783,0.217291547420475,0.125934351391859,"ASD-Risk","0","1",-3.0176277,NA
"TCF20",-0.517128335141632,0.233278169419521,0.400919811238689,"ASD-Risk","0","2",-3.010964,NA
"CNOT3",0.399335548103443,-0.286168453428975,-0.125220810480736,"ASD-Risk","0","1",-2.8783627,NA
"SYNCRIP",-4.49410848102753,0.930820058941447,-0.105398906807633,NA,"0","1",-3.0139644,"both"
"SETD5",-2.38559115840251,1.09030959277904,-0.0305602481301781,"ASD-Risk","0","1",-3.015155,NA
"NAA15",-1.68936871001393,0.423546081323155,-0.0523419245467674,"ASD-Risk","0","1",-2.963049,NA
"SCN1A",-0.0400080537582542,0.662797898541968,0.374472659656288,NA,"0","2",-3.3419547,"both"
"EHMT1",0.395059710829381,1.1081570310189,0.219688362253543,NA,"0","1",-2.9495964,"both"
"TCF4",-4.98110467932473,0.239137774821554,0.0238647802314893,"ASD-Risk","0","1",-3.0696568,NA
"SRPRA",0.139402246661566,0.0720304696294666,-0.152944964590191,NA,"0","1",-3.449076,"both"
"MARK2",0.16406137979594,-0.284993469944541,0.102647189595411,"ASD-Risk","0","1",-3.043121,NA
"KMT2C",-3.21453992461598,0.590265613351217,0.712452780606175,"ASD-Risk","0","2",-3.0296628,NA
"MBD5",0.554279647682263,-0.0457151316625401,0.0887010223554403,NA,"0","1",-3.607098,"both"
"NRXN1",-3.65015215366749,-0.709548453776005,1.55767446487488,"ASD-Risk","0","2",-3.06976,NA
"IRF2BPL",-1.27696392455856,0.732792731018985,0.782291379742849,"ASD-Risk","0","2",-2.7313864,NA
"PHIP",-4.59648149315769,0.968907624779123,0.3815289163876,"ASD-Risk","0","2",-3.0939193,NA
"NFE2L3",1.17250510130929,0.12066550096984,0.05956301072729,NA,"0","1",-3.562898,"both"
"SKI",-0.0165984169665863,0.0808997670612349,0.238472576305255,NA,"0","1",-3.0326715,"both"
"PSMD12",-0.0693871809140406,-0.18210021993511,-0.275753430913295,NA,"0","3",-3.518813,"both"
"KCNB1",0.981878134288883,0.169844744452517,0.25427926099777,NA,"0","1",-3.363435,"both"
"CSDE1",-6.01213136182076,1.42538286649963,0.234636605904469,NA,"0","1",-3.2837534,"both"
"TSC1",-1.04441078826129,-0.573635329242363,0.526471390278218,NA,"0","2",-3.1917136,"both"
