,0
SCN2A,95.60367
CHD8,77.81769
ADNP,79.43091
SHANK3,70.93661
PTEN,69.69897
SYNGAP1,56.69458
MECP2,51.057594
KDM5B,44.732906
FOXP1,47.487026
ARID1B,35.799507
POGZ,35.057854
ASH1L,31.428967
KMT5B,33.141857
SLC6A1,26.790854
GIGYF1,26.94691
DYRK1A,27.790726
CHD2,23.08689
ASXL3,23.699238
TAOK1,19.577862
DNMT3A,19.340988
GRIN2B,18.288555
BRSK2,16.598072
KMT2A,15.56505
NF1,15.553622
STXBP1,13.937939
CUL3,14.388341
MED13L,12.881878
ANK2,12.16357
MYT1L,12.04208
RORB,12.27798
TBL1XR1,11.351662
TBR1,11.92561
DYNC1H1,9.364464
WAC,10.492735
PHF21A,10.433262
KDM6B,9.310486
DDX3X,8.491306
CTNNB1,8.831439
MED13,8.723839
ANKRD11,8.714249
CTCF,8.457113
RFX3,8.186064
ARHGEF9,8.652897
SHANK2,8.346591
DEAF1,10.85091
SMARCC2,7.348334
TLK2,6.946986
TCF20,7.627074
CNOT3,6.8865895
SYNCRIP,6.928709
SETD5,6.616999
NAA15,6.069174
SCN1A,6.0608664
EHMT1,6.120703
TCF4,6.0907803
SRPRA,4.7553415
MARK2,5.9287453
KMT2C,5.533536
MBD5,5.7477026
NRXN1,5.5200696
IRF2BPL,5.4823236
PHIP,4.925502
NFE2L3,4.7751794
SKI,4.941093
PSMD12,3.405531
KCNB1,4.3599834
CSDE1,4.129623
TSC1,3.9979053
DMWD,4.9402266
CLCN4,3.833695
MEIS2,3.4309697
PBX1,3.534141
HNRNPD,3.9391785
BCL11A,3.9271455
TCF7L2,3.1218867
WDFY3,3.627164
PHF3,4.0358696
SETBP1,3.485896
TGM1,3.625288
EBF3,3.446859
PPP2R5D,3.2514253
TAF4,3.209364
KCNQ2,2.8677511
CAPRIN1,3.0034456
DSCAM,3.1767864
GABBR2,3.3841581
PRKG2,3.6680717
UBN2,3.4479184
MEF2C,2.911726
TRIP12,3.0396051
EP300,2.3754559
NR3C2,3.4521132
ARHGEF18,2.423221
TNPO3,2.2832365
SMAD6,2.3216105
AMOT,1.8439016
AUTS2,2.70474
NCKAP1,1.9756675
DLG4,2.745451
ECPAS,2.2523637
PRKAR1B,1.9869194
FUBP3,1.4200029
GRIA2,1.9165492
CCDC40,2.0914211
GABRA1,1.92452
TSC2,1.9552507
C1orf185,2.957458
METTL23,2.2002788
HNRNPUL2,2.389752
PAX5,2.4835463
ATF4,2.2787018
RERE,1.540802
DHFR2,1.7087955
TMC4,1.8591566
FXYD5,1.870583
EBAG9,1.7664571
ITGB5,1.4587822
INTS2,1.6936069
RAI1,2.134983
FOXG1,2.3125672
PLEKHG6,2.8290725
MAVS,1.5148454
C1QC,1.6183519
TMEM116,1.6479564
SIN3A,1.0624123
ANP32A,0.87252855
PRR14L,1.3909302
CSNK2B,2.0863175
PMM2,0.5568204
PFN2,1.3903251
LMTK3,1.6443348
SPRY2,1.5753922
CMPK2,1.5988812
IQSEC2,1.250936
RIPK1,0.6994839
TPK1,1.5830283
CASZ1,1.8560333
ZBTB45,1.3041716
NUDT17,1.2357163
FANCE,1.049334
ZNF396,0.8466153
NR4A2,0.6857114
TBCEL,1.4546814
ADAM21,1.6788044
TCF3,0.5074301
AAAS,0.32762146
CELF6,0.37846947
INSC,1.7210088
ZMYND8,1.5780697
CLTC,0.8134413
TCHHL1,1.5897331
CTDSPL2,0.35089827
ZNF292,0.69076395
KCNQ3,1.7083168
RALGAPB,1.0519352
SRCAP,0.7065153
RAB11FIP4,0.28785324
ZNF865,0.784318
CASKIN1,0.96696424
RANBP17,-0.3887596
FBN1,0.5805254
ACTB,1.4224439
CNNM2,0.0062508583
TSHZ1,0.67663574
UPF3B,0.5686579
PHF2,0.7793989
FMR1,0.7832389
MIB1,1.0246205
FADS1,0.42959595
FRMD7,1.4841313
LDB1,0.81534624
PCDH19,0.61159515
EIF3G,-1.3220963
MYO1E,0.16007042
ZFAND5,-0.5186629
CFAP410,-0.30603552
BICRA,0.83831453
MYBL2,0.58898926
KIAA1958,0.119614124
GABRG2,0.14649487
SKIDA1,0.015570164
PSMA3,-0.471323
TTC37,0.5171552
PCYT1A,0.7113819
AP1G1,-0.22184706
FEZF2,0.27755308
FGF19,-0.17225695
MSL3,-0.12944508
SON,0.9305959
