,0,1
SCN2A,19.479494,6.321303
CHD8,19.479494,6.321303
ADNP,19.479494,6.321303
SHANK3,19.479494,6.321303
PTEN,19.479494,6.321303
SYNGAP1,19.479494,6.321303
MECP2,19.479494,6.321303
KDM5B,19.479494,6.321303
FOXP1,19.479494,6.321303
ARID1B,19.479494,6.321303
POGZ,19.479494,6.321303
ASH1L,19.479494,6.321303
KMT5B,19.479494,6.321303
SLC6A1,19.479494,6.321303
GIGYF1,19.479494,6.321303
DYRK1A,19.479494,6.321303
CHD2,19.479494,6.321303
ASXL3,19.479494,6.321303
TAOK1,19.479494,6.321303
DNMT3A,19.479494,6.321303
GRIN2B,19.479494,6.321303
BRSK2,19.479494,6.321303
KMT2A,19.479494,6.321303
NF1,19.479494,6.321303
STXBP1,19.479494,6.321303
CUL3,19.479494,6.321303
MED13L,19.479494,6.321303
ANK2,19.479494,6.321303
MYT1L,19.479494,6.321303
RORB,19.479494,6.321303
TBL1XR1,19.479494,6.321303
TBR1,19.479494,6.321303
DYNC1H1,19.479494,6.321303
WAC,19.479494,6.321303
PHF21A,19.479494,6.321303
KDM6B,19.479494,6.321303
DDX3X,19.479494,6.321303
CTNNB1,19.479494,6.321303
MED13,19.479494,6.321303
ANKRD11,19.479494,6.321303
CTCF,19.479494,6.321303
RFX3,19.479494,6.321303
ARHGEF9,19.479494,6.321303
SHANK2,19.479494,6.321303
DEAF1,19.479494,6.321303
SMARCC2,19.479494,6.321303
TLK2,19.479494,6.321303
TCF20,19.479494,6.321303
CNOT3,19.479494,6.321303
SYNCRIP,19.479494,6.321303
SETD5,19.479494,6.321303
NAA15,19.479494,6.321303
SCN1A,19.479494,6.321303
EHMT1,19.479494,6.321303
TCF4,19.479494,6.321303
SRPRA,19.479494,6.321303
MARK2,19.479494,6.321303
KMT2C,19.479494,6.321303
MBD5,19.479494,6.321303
NRXN1,19.479494,6.321303
IRF2BPL,19.479494,6.321303
PHIP,19.479494,6.321303
NFE2L3,19.479494,6.321303
SKI,19.479494,6.321303
PSMD12,19.479494,6.321303
KCNB1,19.479494,6.321303
CSDE1,19.479494,6.321303
TSC1,19.479494,6.321303
DMWD,19.479494,6.321303
CLCN4,19.479494,6.321303
MEIS2,19.479494,6.321303
PBX1,19.479494,6.321303
HNRNPD,19.479494,6.321303
BCL11A,19.479494,6.321303
TCF7L2,19.479494,6.321303
WDFY3,19.479494,6.321303
PHF3,19.479494,6.321303
SETBP1,19.479494,6.321303
TGM1,19.479494,6.321303
EBF3,19.479494,6.321303
PPP2R5D,19.479494,6.321303
TAF4,19.479494,6.321303
KCNQ2,19.479494,6.321303
CAPRIN1,19.479494,6.321303
DSCAM,19.479494,6.321303
GABBR2,19.479494,6.321303
PRKG2,19.479494,6.321303
UBN2,19.479494,6.321303
MEF2C,19.479494,6.321303
TRIP12,19.479494,6.321303
EP300,19.479494,6.321303
NR3C2,19.479494,6.321303
ARHGEF18,19.479494,6.321303
TNPO3,19.479494,6.321303
SMAD6,19.479494,6.321303
AMOT,19.479494,6.321303
AUTS2,19.479494,6.321303
NCKAP1,19.479494,6.321303
DLG4,19.479494,6.321303
ECPAS,19.479494,6.321303
PRKAR1B,19.479494,6.321303
FUBP3,19.479494,6.321303
GRIA2,19.479494,6.321303
CCDC40,19.479494,6.321303
GABRA1,19.479494,6.321303
TSC2,19.479494,6.321303
C1orf185,19.479494,6.321303
METTL23,19.479494,6.321303
HNRNPUL2,19.479494,6.321303
PAX5,19.479494,6.321303
ATF4,19.479494,6.321303
RERE,19.479494,6.321303
DHFR2,19.479494,6.321303
TMC4,19.479494,6.321303
FXYD5,19.479494,6.321303
EBAG9,19.479494,6.321303
ITGB5,19.479494,6.321303
INTS2,19.479494,6.321303
RAI1,19.479494,6.321303
FOXG1,19.479494,6.321303
PLEKHG6,19.479494,6.321303
MAVS,19.479494,6.321303
C1QC,19.479494,6.321303
TMEM116,19.479494,6.321303
SIN3A,19.479494,6.321303
ANP32A,19.479494,6.321303
PRR14L,19.479494,6.321303
CSNK2B,19.479494,6.321303
PMM2,19.479494,6.321303
PFN2,19.479494,6.321303
LMTK3,19.479494,6.321303
SPRY2,19.479494,6.321303
CMPK2,19.479494,6.321303
IQSEC2,19.479494,6.321303
RIPK1,19.479494,6.321303
TPK1,19.479494,6.321303
CASZ1,19.479494,6.321303
ZBTB45,19.479494,6.321303
NUDT17,19.479494,6.321303
FANCE,19.479494,6.321303
ZNF396,19.479494,6.321303
NR4A2,19.479494,6.321303
TBCEL,19.479494,6.321303
ADAM21,19.479494,6.321303
TCF3,19.479494,6.321303
AAAS,19.479494,6.321303
CELF6,19.479494,6.321303
INSC,19.479494,6.321303
ZMYND8,19.479494,6.321303
CLTC,19.479494,6.321303
TCHHL1,19.479494,6.321303
CTDSPL2,19.479494,6.321303
ZNF292,19.479494,6.321303
KCNQ3,19.479494,6.321303
RALGAPB,19.479494,6.321303
SRCAP,19.479494,6.321303
RAB11FIP4,19.479494,6.321303
ZNF865,19.479494,6.321303
CASKIN1,19.479494,6.321303
RANBP17,19.479494,6.321303
FBN1,19.479494,6.321303
ACTB,19.479494,6.321303
CNNM2,19.479494,6.321303
TSHZ1,19.479494,6.321303
UPF3B,19.479494,6.321303
PHF2,19.479494,6.321303
FMR1,19.479494,6.321303
MIB1,19.479494,6.321303
FADS1,19.479494,6.321303
FRMD7,19.479494,6.321303
LDB1,19.479494,6.321303
PCDH19,19.479494,6.321303
EIF3G,19.479494,6.321303
MYO1E,19.479494,6.321303
ZFAND5,19.479494,6.321303
CFAP410,19.479494,6.321303
BICRA,19.479494,6.321303
MYBL2,19.479494,6.321303
KIAA1958,19.479494,6.321303
GABRG2,19.479494,6.321303
SKIDA1,19.479494,6.321303
PSMA3,19.479494,6.321303
TTC37,19.479494,6.321303
PCYT1A,19.479494,6.321303
AP1G1,19.479494,6.321303
FEZF2,19.479494,6.321303
FGF19,19.479494,6.321303
MSL3,19.479494,6.321303
SON,19.479494,6.321303
DNAJC5,19.479494,6.321303
FBXO22,19.479494,6.321303
TNFRSF8,19.479494,6.321303
HDAC11,19.479494,6.321303
SSR2,19.479494,6.321303
ACTG1,19.479494,6.321303
PNN,19.479494,6.321303
RUNX1T1,19.479494,6.321303
APBB1,19.479494,6.321303
CERS4,19.479494,6.321303
CELF4,19.479494,6.321303
ZBTB14,19.479494,6.321303
ATAT1,19.479494,6.321303
RBBP5,19.479494,6.321303
G3BP1,19.479494,6.321303
WNT7B,19.479494,6.321303
BDP1,19.479494,6.321303
RNF217,19.479494,6.321303
CBX4,19.479494,6.321303
NME8,19.479494,6.321303
DCUN1D3,19.479494,6.321303
ENC1,19.479494,6.321303
UBB,19.479494,6.321303
NEO1,19.479494,6.321303
SLC4A10,19.479494,6.321303
BRF2,19.479494,6.321303
PSMD11,19.479494,6.321303
NR2F1,19.479494,6.321303
CASK,19.479494,6.321303
SARM1,19.479494,6.321303
TPST2,19.479494,6.321303
FPGS,19.479494,6.321303
QRICH1,19.479494,6.321303
LRP10,19.479494,6.321303
CD101,19.479494,6.321303
INTS7,19.479494,6.321303
SMAD4,19.479494,6.321303
STARD10,19.479494,6.321303
CNTNAP3,19.479494,6.321303
DHX37,19.479494,6.321303
GABRB3,19.479494,6.321303
NDNF,19.479494,6.321303
FARP2,19.479494,6.321303
SLF1,19.479494,6.321303
HDAC4,19.479494,6.321303
CNGB3,19.479494,6.321303
PCDHGA8,19.479494,6.321303
TSPAN4,19.479494,6.321303
FUK,19.479494,6.321303
SULT1A1,19.479494,6.321303
NTS,19.479494,6.321303
MAN1A1,19.479494,6.321303
FAM57B,19.479494,6.321303
RFX8,19.479494,6.321303
NACC1,19.479494,6.321303
ZSWIM4,19.479494,6.321303
PPCS,19.479494,6.321303
SUSD4,19.479494,6.321303
TMEM165,19.479494,6.321303
RIMBP2,19.479494,6.321303
PSMD6,19.479494,6.321303
ITPKA,19.479494,6.321303
MSL2,19.479494,6.321303
RNF146,19.479494,6.321303
NSD2,19.479494,6.321303
SOX11,19.479494,6.321303
SLC34A1,19.479494,6.321303
ADPGK,19.479494,6.321303
TCERG1,19.479494,6.321303
ZBTB18,19.479494,6.321303
TAF6,19.479494,6.321303
BCL11B,19.479494,6.321303
PPM1M,19.479494,6.321303
PUF60,19.479494,6.321303
CUX2,19.479494,6.321303
GPC5,19.479494,6.321303
SERPINI1,19.479494,6.321303
SATB2,19.479494,6.321303
CRISPLD1,19.479494,6.321303
ZMYM2,19.479494,6.321303
DBF4,19.479494,6.321303
ZMYND11,19.479494,6.321303
TNFAIP8L3,19.479494,6.321303
PCDHGA12,19.479494,6.321303
ARHGEF2,19.479494,6.321303
CFAP70,19.479494,6.321303
HPS6,19.479494,6.321303
JARID2,19.479494,6.321303
SNCA,19.479494,6.321303
KDM6A,19.479494,6.321303
ASB14,19.479494,6.321303
CALU,19.479494,6.321303
HNRNPL,19.479494,6.321303
KLHL25,19.479494,6.321303
AHDC1,19.479494,6.321303
CTR9,19.479494,6.321303
B9D1,19.479494,6.321303
SPAST,19.479494,6.321303
EIF4G2,19.479494,6.321303
LRRFIP1,19.479494,6.321303
TUBB2A,19.479494,6.321303
GGNBP2,19.479494,6.321303
ARHGAP44,19.479494,6.321303
CARD14,19.479494,6.321303
CIC,19.479494,6.321303
DIP2C,19.479494,6.321303
RIPOR3,19.479494,6.321303
CCNT2,19.479494,6.321303
ZC3H14,19.479494,6.321303
PER2,19.479494,6.321303
DCAF7,19.479494,6.321303
MAP2K7,19.479494,6.321303
AMOTL1,19.479494,6.321303
HBD,19.479494,6.321303
PSMC5,19.479494,6.321303
FOXP2,19.479494,6.321303
DACT1,19.479494,6.321303
PAPOLG,19.479494,6.321303
FBXW5,19.479494,6.321303
POTEH,19.479494,6.321303
CTB-186H2.3,19.479494,6.321303
FLJ00273,19.479494,6.321303
CD93,19.479494,6.321303
MFHAS1,19.479494,6.321303
BTRC,19.479494,6.321303
FBH1,19.479494,6.321303
ANO9,19.479494,6.321303
SETD1A,19.479494,6.321303
WNT9B,19.479494,6.321303
LRRC4,19.479494,6.321303
NPIPB5,19.479494,6.321303
ZNF462,19.479494,6.321303
ZMAT5,19.479494,6.321303
TLE3,19.479494,6.321303
CYP17A1,19.479494,6.321303
EFR3A,19.479494,6.321303
ULK1,19.479494,6.321303
S100G,19.479494,6.321303
TRERF1,19.479494,6.321303
IFRD2,19.479494,6.321303
EIF2A,19.479494,6.321303
MOB4,19.479494,6.321303
ANKS4B,19.479494,6.321303
FAM72A,19.479494,6.321303
PARN,19.479494,6.321303
GSTM1,19.479494,6.321303
DNTT,19.479494,6.321303
SNTA1,19.479494,6.321303
KRTAP2-2,19.479494,6.321303
HECTD4,19.479494,6.321303
DEFB128,19.479494,6.321303
TGM6,19.479494,6.321303
NBPF12,19.479494,6.321303
KLHDC10,19.479494,6.321303
HTN1,19.479494,6.321303
SLC28A1,19.479494,6.321303
KATNAL2,19.479494,6.321303
ING1,19.479494,6.321303
MGRN1,19.479494,6.321303
SLC25A46,19.479494,6.321303
CHN2,19.479494,6.321303
C19orf33,19.479494,6.321303
WWC2,19.479494,6.321303
TOP3B,19.479494,6.321303
PRR12,19.479494,6.321303
TTC12,19.479494,6.321303
KCNT1,19.479494,6.321303
MCPH1,19.479494,6.321303
GSS,19.479494,6.321303
MOGS,19.479494,6.321303
PRAMEF10,19.479494,6.321303
HMGN2,19.479494,6.321303
KRTAP5-2,19.479494,6.321303
EIF2AK1,19.479494,6.321303
PPP1R17,19.479494,6.321303
ERI1,19.479494,6.321303
NRG4,19.479494,6.321303
EMSY,19.479494,6.321303
TCEAL1,19.479494,6.321303
MBNL1,19.479494,6.321303
KIAA0232,19.479494,6.321303
DUS1L,19.479494,6.321303
TMEM140,19.479494,6.321303
GRIN1,19.479494,6.321303
SLC16A1,19.479494,6.321303
IFNA5,19.479494,6.321303
