,0,1
SCN2A,0.8529013,0.9434505
CHD8,0.8529013,0.9434505
ADNP,0.8529013,0.9434505
SHANK3,0.8529013,0.9434505
PTEN,0.8529013,0.9434505
SYNGAP1,0.8529013,0.9434505
MECP2,0.8529013,0.9434505
KDM5B,0.8529013,0.9434505
FOXP1,0.8529013,0.9434505
ARID1B,0.8529013,0.9434505
POGZ,0.8529013,0.9434505
ASH1L,0.8529013,0.9434505
KMT5B,0.8529013,0.9434505
SLC6A1,0.8529013,0.9434505
GIGYF1,0.8529013,0.9434505
DYRK1A,0.8529013,0.9434505
CHD2,0.8529013,0.9434505
ASXL3,0.8529013,0.9434505
TAOK1,0.8529013,0.9434505
DNMT3A,0.8529013,0.9434505
GRIN2B,0.8529013,0.9434505
BRSK2,0.8529013,0.9434505
KMT2A,0.8529013,0.9434505
NF1,0.8529013,0.9434505
STXBP1,0.8529013,0.9434505
CUL3,0.8529013,0.9434505
MED13L,0.8529013,0.9434505
ANK2,0.8529013,0.9434505
MYT1L,0.8529013,0.9434505
RORB,0.8529013,0.9434505
TBL1XR1,0.8529013,0.9434505
TBR1,0.8529013,0.9434505
DYNC1H1,0.8529013,0.9434505
WAC,0.8529013,0.9434505
PHF21A,0.8529013,0.9434505
KDM6B,0.8529013,0.9434505
DDX3X,0.8529013,0.9434505
CTNNB1,0.8529013,0.9434505
MED13,0.8529013,0.9434505
ANKRD11,0.8529013,0.9434505
CTCF,0.8529013,0.9434505
RFX3,0.8529013,0.9434505
ARHGEF9,0.8529013,0.9434505
SHANK2,0.8529013,0.9434505
DEAF1,0.8529013,0.9434505
SMARCC2,0.8529013,0.9434505
TLK2,0.8529013,0.9434505
TCF20,0.8529013,0.9434505
CNOT3,0.8529013,0.9434505
SYNCRIP,0.8529013,0.9434505
SETD5,0.8529013,0.9434505
NAA15,0.8529013,0.9434505
SCN1A,0.8529013,0.9434505
EHMT1,0.8529013,0.9434505
TCF4,0.8529013,0.9434505
SRPRA,0.8529013,0.9434505
MARK2,0.8529013,0.9434505
KMT2C,0.8529013,0.9434505
MBD5,0.8529013,0.9434505
NRXN1,0.8529013,0.9434505
IRF2BPL,0.8529013,0.9434505
PHIP,0.8529013,0.9434505
NFE2L3,0.8529013,0.9434505
SKI,0.8529013,0.9434505
PSMD12,0.8529013,0.9434505
KCNB1,0.8529013,0.9434505
CSDE1,0.8529013,0.9434505
TSC1,0.8529013,0.9434505
DMWD,0.8529013,0.9434505
CLCN4,0.8529013,0.9434505
MEIS2,0.8529013,0.9434505
PBX1,0.8529013,0.9434505
HNRNPD,0.8529013,0.9434505
BCL11A,0.8529013,0.9434505
