,0,1
SCN2A,-0.32585177,-1.2798183
CHD8,-0.37412077,-1.1644118
ADNP,-0.23418741,-1.5664433
SHANK3,-0.48575407,-0.9551176
PTEN,-0.10761644,-2.282508
SYNGAP1,-0.40634996,-1.0968449
MECP2,-0.117715426,-2.1977654
KDM5B,-0.15427203,-1.9451822
FOXP1,-0.11036408,-2.2586455
ARID1B,-0.1323034,-2.0880802
POGZ,-0.17490938,-1.8296678
ASH1L,-0.16684492,-1.8729534
KMT5B,-0.141936,-2.022508
SLC6A1,-0.07655105,-2.6078293
GIGYF1,-0.1412297,-2.0271513
DYRK1A,-0.10713836,-2.2867255
CHD2,-0.13788329,-2.0494976
ASXL3,-0.12590903,-2.1344898
TAOK1,-0.0845889,-2.5119483
DNMT3A,-0.07220193,-2.6641724
GRIN2B,-0.22415899,-1.6053865
BRSK2,-0.10006961,-2.3515072
KMT2A,-0.12531133,-2.138955
NF1,-0.11207078,-2.2441368
STXBP1,-0.06746237,-2.7297273
CUL3,-0.12742499,-2.1232634
MED13L,-0.078303054,-2.586065
ANK2,-0.091080286,-2.4412084
MYT1L,-0.072923556,-2.654584
RORB,-0.117825314,-2.1968865
TBL1XR1,-0.057598583,-2.8829193
TBR1,-0.20469545,-1.6868343
DYNC1H1,-0.08149762,-2.5476537
WAC,-0.087301165,-2.4817243
PHF21A,-0.08630141,-2.4927492
KDM6B,-0.09204526,-2.4311445
DDX3X,-0.05365348,-2.9519165
CTNNB1,-0.049643748,-3.0276015
MED13,-0.09276075,-2.423753
ANKRD11,-0.0815297,-2.547275
CTCF,-0.093967326,-2.4114237
RFX3,-0.09074198,-2.4447625
ARHGEF9,-0.09513495,-2.3996494
SHANK2,-0.10496287,-2.3061705
DEAF1,-0.054416493,-2.938173
SMARCC2,-0.066602744,-2.742126
TLK2,-0.07421506,-2.637666
TCF20,-0.11153959,-2.2486274
CNOT3,-0.0782002,-2.5873284
SYNCRIP,-0.06458026,-2.771962
SETD5,-0.0873335,-2.4813707
NAA15,-0.0659126,-2.7522001
SCN1A,-0.061967615,-2.8119671
EHMT1,-0.08452351,-2.5126894
TCF4,-0.10404692,-2.3144858
SRPRA,-0.024370847,-3.7265265
MARK2,-0.09358267,-2.4153368
KMT2C,-0.09420528,-2.4090126
MBD5,-0.074681476,-2.6316314
NRXN1,-0.092457466,-2.4268787
IRF2BPL,-0.09221953,-2.4293382
PHIP,-0.071235925,-2.6771653
NFE2L3,-0.069109105,-2.7064247
SKI,-0.09000281,-2.4525783
PSMD12,-0.027510328,-3.6069164
KCNB1,-0.06996124,-2.6945913
CSDE1,-0.07951243,-2.5713341
TSC1,-0.06692111,-2.737515
DMWD,-0.07930587,-2.5738347
CLCN4,-0.063165344,-2.7934158
MEIS2,-0.053053252,-2.9628677
PBX1,-0.064688765,-2.770337
HNRNPD,-0.049325395,-3.033877
BCL11A,-0.05906915,-2.8584356
TCF7L2,-0.04234298,-3.183049
WDFY3,-0.08312459,-2.5286894
PHF3,-0.08698026,-2.4852495
SETBP1,-0.069217116,-2.7049162
TGM1,-0.084977806,-2.5075533
EBF3,-0.08418834,-2.5164971
PPP2R5D,-0.070727244,-2.6840801
TAF4,-0.05378566,-2.9495199
KCNQ2,-0.04979438,-3.0246468
CAPRIN1,-0.053306904,-2.958225
DSCAM,-0.07381265,-2.6429045
GABBR2,-0.047821783,-3.0640903
PRKG2,-0.09395984,-2.4115005
UBN2,-0.08799375,-2.474164
MEF2C,-0.056123037,-2.908139
TRIP12,-0.06905314,-2.7072062
EP300,-0.045403387,-3.1147842
NR3C2,-0.12062233,-2.174796
ARHGEF18,-0.05766982,-2.8817172
TNPO3,-0.030826218,-3.4947624
SMAD6,-0.054341868,-2.9395075
AMOT,-0.030063145,-3.5194492
AUTS2,-0.07522784,-2.6246111
NCKAP1,-0.054640226,-2.9341817
DLG4,-0.08137553,-2.5490928
ECPAS,-0.06837759,-2.7167034
PRKAR1B,-0.06164162,-2.8170805
FUBP3,-0.043232035,-3.1627104
GRIA2,-0.05702189,-2.8926961
CCDC40,-0.055060808,-2.9267216
GABRA1,-0.027961832,-3.590862
TSC2,-0.054513916,-2.9364324
C1orf185,-0.0996423,-2.3555765
METTL23,-0.046104874,-3.0998
HNRNPUL2,-0.07388772,-2.6419258
PAX5,-0.09943273,-2.3575788
ATF4,-0.049382698,-3.0327444
RERE,-0.04353042,-3.1559806
DHFR2,-0.033471014,-3.4137628
TMC4,-0.082631364,-2.534397
FXYD5,-0.045542017,-3.1118057
EBAG9,-0.046414237,-3.0932667
ITGB5,-0.049711466,-3.026272
INTS2,-0.04876514,-3.0450242
RAI1,-0.08015641,-2.5635853
FOXG1,-0.07792522,-2.590716
PLEKHG6,-0.16337706,-1.8922713
MAVS,-0.051215865,-2.9972045
C1QC,-0.03839217,-3.2790375
TMEM116,-0.059494834,-2.8514664
SIN3A,-0.044662535,-3.1308684
ANP32A,-0.027132876,-3.6205459
PRR14L,-0.05005532,-3.0195506
CSNK2B,-0.07285595,-2.6554775
PMM2,-0.034791313,-3.3757331
PFN2,-0.0317765,-3.4648728
LMTK3,-0.08318493,-2.527993
SPRY2,-0.058671836,-2.8649883
CMPK2,-0.053619698,-2.9525297
IQSEC2,-0.046264917,-3.0964158
RIPK1,-0.039863054,-3.2421713
TPK1,-0.03385046,-3.4026785
CASZ1,-0.07825355,-2.586672
ZBTB45,-0.052717213,-2.9690566
NUDT17,-0.055859387,-2.9127176
FANCE,-0.045828212,-3.105682
ZNF396,-0.038758405,-3.2697232
NR4A2,-0.03938538,-3.2539873
TBCEL,-0.07322374,-2.650624
ADAM21,-0.09401605,-2.4109294
TCF3,-0.0401274,-3.2356927
AAAS,-0.03369591,-3.4071786
CELF6,-0.026712338,-3.6359565
INSC,-0.1029984,-2.3240993
ZMYND8,-0.07433957,-2.636051
CLTC,-0.046886638,-3.0833743
TCHHL1,-0.099207565,-2.3597345
CTDSPL2,-0.026725685,-3.6354625
ZNF292,-0.056777287,-2.8968728
KCNQ3,-0.07148001,-2.6738641
RALGAPB,-0.05255356,-2.9720845
SRCAP,-0.05889608,-2.8612838
RAB11FIP4,-0.031182984,-3.4834325
ZNF865,-0.055309776,-2.9223332
CASKIN1,-0.061132185,-2.8251278
RANBP17,-0.022026775,-3.8264878
FBN1,-0.04710956,-3.078743
ACTB,-0.07800196,-2.5897694
CNNM2,-0.028843842,-3.560245
TSHZ1,-0.048100963,-3.0584068
UPF3B,-0.04442082,-3.1361759
PHF2,-0.0733826,-2.648535
FMR1,-0.054507934,-2.9365394
MIB1,-0.06013252,-2.8411202
FADS1,-0.037260056,-3.3084056
FRMD7,-0.099376924,-2.3581123
LDB1,-0.05081519,-3.0048604
PCDH19,-0.06061026,-2.8334434
EIF3G,-0.016188368,-4.1315436
MYO1E,-0.03059848,-3.5020635
ZFAND5,-0.035640977,-3.3520274
CFAP410,-0.04509713,-3.1213992
BICRA,-0.06803686,-2.7215316
MYBL2,-0.05095613,-3.002161
KIAA1958,-0.033955555,-3.399634
GABRG2,-0.046881177,-3.0834875
SKIDA1,-0.028710408,-3.564816
PSMA3,-0.039117396,-3.260682
TTC37,-0.04506317,-3.1221378
PCYT1A,-0.057440907,-2.8855808
AP1G1,-0.034754697,-3.376766
FEZF2,-0.08500726,-2.5072207
FGF19,-0.054043192,-2.9448707
MSL3,-0.059509434,-2.851227
SON,-0.07874884,-2.5806081
DNAJC5,-0.044813003,-3.12758
FBXO22,-0.033148047,-3.4233015
TNFRSF8,-0.10636942,-2.29355
HDAC11,-0.063183025,-2.7931457
SSR2,-0.02837918,-3.576257
ACTG1,-0.08060676,-2.558206
PNN,-0.030576397,-3.5027773
RUNX1T1,-0.054626346,-2.9344287
APBB1,-0.042350177,-3.1828823
CERS4,-0.04585087,-3.1051981
CELF4,-0.06709034,-2.7350726
ZBTB14,-0.0361654,-3.337681
ATAT1,-0.0757506,-2.617945
RBBP5,-0.020507215,-3.897214
G3BP1,-0.052053392,-2.9813995
WNT7B,-0.11545909,-2.2160134
BDP1,-0.0534163,-2.9562287
RNF217,-0.07061283,-2.6856413
CBX4,-0.041565433,-3.2011964
NME8,-0.0996423,-2.3555765
DCUN1D3,-0.05277986,-2.9678993
ENC1,-0.034187026,-3.3929536
UBB,-0.08502521,-2.5070183
NEO1,-0.04497793,-3.123987
SLC4A10,-0.076288424,-2.6111362
BRF2,-0.02221089,-3.8182552
PSMD11,-0.035471518,-3.3567076
NR2F1,-0.036006838,-3.3419943
CASK,-0.07164836,-2.6715949
SARM1,-0.032820247,-3.433074
TPST2,-0.028535713,-3.5708346
FPGS,-0.060790546,-2.8305626
QRICH1,-0.044568364,-3.1329334
LRP10,-0.03432998,-3.3888514
CD101,-0.073940195,-2.6412404
INTS7,-0.051040526,-3.0005465
SMAD4,-0.032267403,-3.449787
STARD10,-0.034883413,-3.373136
CNTNAP3,-0.082335755,-2.537835
DHX37,-0.055691626,-2.9156425
GABRB3,-0.042707536,-3.1746583
NDNF,-0.04399688,-3.1455538
FARP2,-0.038434044,-3.2779675
SLF1,-0.027491309,-3.6076
HDAC4,-0.031810336,-3.4638271
CNGB3,-0.061202157,-2.824017
PCDHGA8,-0.06950318,-2.7009327
