,0,1,2,3,4,5,6,7
SCN2A,0.0062519573,-0.6199759,0.008800525,0.008128674,-0.0026953556,-0.10023177,0.58357155,-0.43127537
CHD8,0.00647106,-0.70524716,0.009189472,0.0066737216,-0.0024854373,-0.070804104,-0.5019703,-0.2314891
ADNP,0.0076828897,-1.3217173,0.011914283,-0.00679807,-0.0023672152,-0.049798146,-0.25478923,-0.53376853
SHANK3,0.007427439,-0.11705731,0.015019152,0.0041480362,-0.0021742657,-0.1009857,-0.4684474,0.06007752
PTEN,0.013993233,-0.86617863,0.01764144,-0.02348696,0.0005139299,-0.075920254,0.9298091,-0.0010142326
SYNGAP1,0.013013553,-0.17402905,0.014703549,-0.010885937,-0.00259618,-0.05787757,0.2999738,0.5708847
MECP2,0.00017713755,-0.9510404,0.0016853288,-0.0012772512,-0.0012281882,-0.055471614,-0.39073873,-0.34035343
KDM5B,0.0017454028,-1.3914156,0.004116088,-0.009703809,-0.0014513321,-0.0004862547,0.2100761,-0.48331004
FOXP1,0.005268939,-1.0801303,0.008021288,-0.00080245174,-0.0009726407,-0.077858634,-0.76396406,-0.83017194
ARID1B,0.0044018812,-1.1811918,0.0052535124,-0.0051349755,-0.0021856846,-0.027625918,-0.58321905,-0.5053736
POGZ,0.005295884,-1.4808229,0.012047999,-0.02212914,-0.0008595744,-0.037231073,-0.23056942,-0.63397515
ASH1L,0.0076993965,-1.339764,0.009512294,-0.0166987,-0.0027711177,-0.05028619,-0.56315434,-0.7679693
KMT5B,0.0026404075,-1.2010987,0.009478863,-0.009437708,-0.0016889125,-0.022216216,-0.095083356,-0.45965236
SLC6A1,0.012067914,-0.46130118,0.015038818,-0.040993627,7.633865e-05,-0.10778605,0.3748518,-0.20635676
GIGYF1,0.0062660016,-0.7853948,0.011127938,-0.030444138,-0.00030597858,-0.020469427,0.3654415,0.3051071
DYRK1A,0.0033902787,-0.90239775,0.0034743175,0.0047740582,-0.0020708283,-0.029311508,-0.8340093,0.0011676848
CHD2,0.0047278516,-1.4493699,0.0099946,-0.0027324967,-0.0023868755,-0.07828531,-0.5923463,-1.1849778
ASXL3,-0.0073091686,-0.49500978,-0.0038725734,0.0036719805,-0.0023018625,0.067837045,-0.616063,0.51018286
TAOK1,0.007438507,-1.3941965,0.010491326,-0.0063080303,-0.00049355347,-0.0703724,-0.6012349,-0.91505086
DNMT3A,0.0012050271,-0.9136248,0.007949304,-0.008104412,-0.00046554673,-0.03130637,-0.76966727,-0.2925444
GRIN2B,-0.0010616072,0.7191049,-0.0074817687,-0.010409551,-0.002398177,-0.018729657,-0.2437793,0.32531908
BRSK2,-0.0053106844,-0.8003175,-0.0019910783,0.0102198105,-0.0012287768,0.05086994,-1.0185034,0.12928584
KMT2A,0.003921546,-1.6205202,0.010455731,-0.002705289,-0.0007393528,-0.06570283,-0.5337281,-1.2652234
NF1,0.00589687,-1.0577515,0.0078757,0.009899588,-0.0004421575,-0.06590954,-1.0753978,-0.56093615
STXBP1,0.0023984686,-1.0715648,0.0076137707,0.004966666,0.00032390654,-0.020780027,1.8642626,0.15528259
CUL3,0.003960438,-0.985687,0.010590941,0.016140282,-0.0024821376,-0.038369223,-0.6903244,-0.12228617
MED13L,0.00028327852,-0.9612219,0.007432457,-0.026979204,-0.00032280292,-0.010991961,-0.3474496,-0.06247124
ANK2,0.00032269955,-1.434728,0.006760169,-0.0006852504,-0.00058694463,0.032784283,0.41547188,-0.8667929
MYT1L,-0.00092529133,-1.1923116,0.00097141415,0.023430694,-0.001005753,0.043571427,1.7325917,-0.12141308
RORB,0.00060398504,-0.02037599,-0.0077302232,-0.017737519,-0.0007423982,0.024545163,0.34400117,0.9427054
TBL1XR1,0.007177256,-1.5344611,0.011683222,-0.029510092,-3.953837e-05,-0.06826264,-0.20609921,-0.8031857
TBR1,0.012494922,0.4123131,-0.0017934889,0.024895616,-0.0012479508,-0.05340807,1.1855178,1.132206
DYNC1H1,0.0020855963,-1.7415595,0.007822119,-0.0103761535,0.00076890644,-0.04480131,-0.2594753,-1.1932404
WAC,0.009982433,-1.6970654,0.0051302575,0.00870806,-0.0024176566,-0.031144187,-0.6941378,-1.0870583
PHF21A,0.003028702,-0.95920384,0.0075704306,-0.008384002,-0.00047106575,-0.031502947,-1.1452831,-0.45558923
KDM6B,0.0005728714,-0.9749041,0.004361104,0.0039209127,-0.0010891305,0.012895465,0.12941992,0.28278157
DDX3X,0.009597633,-1.7550554,0.008666843,-0.0030545592,-6.0128048e-05,-0.07850048,-0.30793118,-1.273283
CTNNB1,0.010283578,-1.6298254,0.009193249,-0.008919051,-0.0011050561,-0.07491773,-0.21618497,-0.9700483
MED13,0.0043933317,-1.1727308,0.008484028,0.0020876043,-0.0004482884,-0.049624383,-0.7949221,-0.41715944
ANKRD11,0.008590676,-1.4820155,0.010606516,-0.008048685,7.8032725e-05,-0.05612272,-0.83550537,-1.1626725
CTCF,0.0054716095,-1.1696615,0.010494683,0.012986556,-0.0005747853,-0.03524147,-0.8467337,-0.3461004
RFX3,0.0046649836,-1.1475699,0.008317545,-0.001370877,-0.00068980176,-0.0679867,-1.2772868,-0.8995862
ARHGEF9,-0.014274836,-0.86206317,-0.0073307008,0.0048346026,-0.0024695983,0.018201724,-0.38693535,0.03110972
SHANK2,-0.0028404891,-0.61263305,0.0064075254,0.03302248,0.00024883635,0.019720495,-0.045091033,0.33538887
DEAF1,-3.120303e-05,-0.506917,0.0045075975,0.018710302,0.0004965002,-0.0520062,0.24670827,0.27089772
SMARCC2,0.0049704053,-1.5203676,0.007879447,-0.0036712084,-0.00069549493,-0.042893797,-0.42424983,-0.7228036
TLK2,0.004726868,-0.58718765,0.009991288,0.011492766,2.3685396e-05,-0.048603654,-0.87307835,0.29129806
TCF20,-0.0030526966,-0.79926765,-0.010432392,-0.0006528888,-0.0024037613,0.045850992,-0.87595975,0.06423202
CNOT3,-0.0048790835,-0.12230883,-0.010790728,-0.017187811,-0.0013143914,0.035704404,0.31437615,1.0551901
SYNCRIP,0.013722809,-1.7292167,0.015430648,0.009829886,-0.00071155373,-0.087695666,-0.5012858,-1.4105955
SETD5,0.009396391,-1.2266653,0.009954292,0.008613301,-0.001674572,-0.08830334,-1.343091,-1.0983757
NAA15,0.0015713386,-1.1692762,0.0012124255,0.0027178042,-0.00031332858,0.012008578,-0.9982512,-0.38180184
SCN1A,-0.004649941,-0.33135968,-0.00048319995,-0.014679994,0.0014161756,-0.06927167,-1.3753486,-0.9787556
EHMT1,-0.004881341,-0.0150819495,0.011981472,0.004494792,-0.0030986173,-0.042275682,-2.559659,-1.6283523
TCF4,0.010435628,-1.9218457,0.011610199,-0.008900713,-0.000710831,-0.11640973,0.47844106,-1.1723253
SRPRA,-0.0031637326,-0.31364474,-0.011275224,-0.0016379878,-0.0005428493,0.026132375,-0.98639846,0.26226673
MARK2,-0.0042497106,-0.29345375,-0.00046652555,0.0013873586,7.764436e-05,0.0069239885,0.22080967,0.778023
KMT2C,0.0010635294,-1.518885,0.0061855465,-0.025654946,0.0005063666,-0.027858958,-0.47325176,-0.8931198
