,0,1,2,3,4,5,6,7
SCN2A,0.94346833,0.10920717,0.9785329,0.9490875,0.93966126,0.92836255,0.31802303,0.3609384
CHD8,0.9553688,0.09755062,0.9829508,0.95827067,0.95217,0.9434047,0.35440174,0.3722033
ADNP,0.95154417,0.09860985,0.9813658,0.9550073,0.94933605,0.939604,0.30613533,0.26454276
SHANK3,0.946125,0.10561766,0.97944564,0.9505362,0.9416001,0.9300611,0.41375303,0.51651245
PTEN,0.9643436,0.0924728,0.9867524,0.9679405,0.9624178,0.95663524,0.28961405,0.35993832
SYNGAP1,0.94859344,0.10798749,0.980492,0.9552521,0.9440155,0.93785614,0.38608024,0.56225896
MECP2,0.9744579,0.08779299,0.99036825,0.97637695,0.97274303,0.96623635,0.3213793,0.31287083
KDM5B,0.97180367,0.0916472,0.98943615,0.97494185,0.97029924,0.96468127,0.2810594,0.23979507
FOXP1,0.9754263,0.08424386,0.99043584,0.9770069,0.9736159,0.9681225,0.32193264,0.26489037
ARID1B,0.96860754,0.08492158,0.9879868,0.9714439,0.96544605,0.958372,0.32156235,0.28583372
POGZ,0.96757174,0.08944188,0.9877154,0.9706023,0.96459675,0.9569632,0.2953197,0.22996336
ASH1L,0.9654819,0.09004113,0.98668945,0.9688555,0.96316844,0.9575695,0.30909985,0.24095236
KMT5B,0.96233106,0.087204136,0.98560345,0.965771,0.9601754,0.9511646,0.29968917,0.2832695
SLC6A1,0.9726709,0.09571575,0.989915,0.9778352,0.9695959,0.9656295,0.33707082,0.39563748
GIGYF1,0.96268445,0.09125716,0.98570895,0.9661999,0.9601443,0.9515934,0.31936833,0.40783277
DYRK1A,0.9685412,0.0852069,0.9878508,0.9720107,0.96664155,0.9593487,0.35374844,0.374538
CHD2,0.95844674,0.095926926,0.98401177,0.9605626,0.95602417,0.9450476,0.2998552,0.20800269
ASXL3,0.9800337,0.079212666,0.99241877,0.98273903,0.97956306,0.9758557,0.3726493,0.46446705
TAOK1,0.9749832,0.08835273,0.9906069,0.9758632,0.9734475,0.9663099,0.30457655,0.22030199
DNMT3A,0.9794853,0.08633637,0.9924407,0.98101676,0.97780097,0.97235715,0.3470505,0.33062887
GRIN2B,0.97669804,0.12912944,0.9911221,0.9808351,0.9735987,0.97392434,0.49131975,0.6176348
BRSK2,0.9923285,0.07431136,0.99713063,0.9926438,0.9915594,0.98803425,0.35574117,0.38663587
KMT2A,0.9647716,0.095081076,0.986423,0.96620315,0.96306604,0.95209086,0.29019645,0.18138278
NF1,0.97360784,0.08775617,0.9900962,0.9745915,0.97182715,0.9637531,0.34473288,0.29620987
STXBP1,0.9754229,0.08385347,0.991086,0.9786044,0.9742092,0.96763885,0.24535897,0.3181414
CUL3,0.9665898,0.08783444,0.98727554,0.9694259,0.9634589,0.9539332,0.3499885,0.3519644
MED13L,0.9783312,0.08114255,0.99190325,0.9806768,0.97732735,0.9723854,0.3273314,0.3405766
ANK2,0.97698617,0.09186423,0.9915011,0.9796251,0.9755595,0.9726641,0.26684168,0.19920544
MYT1L,0.9740562,0.089123815,0.99039876,0.979234,0.9729897,0.96791035,0.24158786,0.2768949
RORB,0.98973525,0.09291092,0.99632597,0.9924988,0.9879904,0.98991454,0.38520485,0.5604116
TBL1XR1,0.9728514,0.08791973,0.98967636,0.9749187,0.97022486,0.9631107,0.2903497,0.21531594
TBR1,0.98078966,0.12068911,0.9931659,0.9826544,0.97972786,0.9751097,0.4230189,0.6638676
DYNC1H1,0.9796524,0.08658679,0.99237597,0.98029524,0.9791374,0.97068805,0.26823905,0.16444826
WAC,0.97984207,0.084776066,0.99236214,0.98228484,0.97805953,0.9762608,0.28672674,0.18639679
PHF21A,0.98231596,0.08404276,0.9932853,0.98198783,0.9812438,0.97641325,0.35263813,0.3080844
KDM6B,0.97891504,0.07327984,0.9921021,0.9810827,0.97788894,0.97200984,0.30332187,0.37821546
DDX3X,0.98110414,0.08364763,0.99289656,0.98251903,0.9795736,0.9747738,0.2674875,0.1663158
CTNNB1,0.9720989,0.088462375,0.98926264,0.9748955,0.9708254,0.96347654,0.2765935,0.19538242
MED13,0.97034246,0.084421,0.98863477,0.9708409,0.96897185,0.95737576,0.32615504,0.29353315
ANKRD11,0.97797847,0.08415737,0.991539,0.9796154,0.9762027,0.96914935,0.3044827,0.20284015
CTCF,0.96991396,0.09198908,0.9886191,0.9706565,0.96813047,0.9581059,0.34040973,0.29300156
RFX3,0.9831876,0.0817639,0.9936039,0.9838381,0.9815017,0.97569644,0.33887422,0.25434208
ARHGEF9,0.9760622,0.08618703,0.99059284,0.9774341,0.9746156,0.9683999,0.33046496,0.34566694
SHANK2,0.9771898,0.08274671,0.99159503,0.9793824,0.9755872,0.9669601,0.34458172,0.4275662
DEAF1,0.98255545,0.08298752,0.99376374,0.9846817,0.9814831,0.9764438,0.33452204,0.4341394
SMARCC2,0.9754399,0.08504605,0.990627,0.97701824,0.9748608,0.9658798,0.29381508,0.2232064
TLK2,0.9726472,0.08681806,0.98981524,0.9731164,0.97126925,0.9618487,0.3812715,0.45554543
TCF20,0.978784,0.09034026,0.9919119,0.9825876,0.97792965,0.9728316,0.36307314,0.35441095
CNOT3,0.9946911,0.08905239,0.99795854,0.99572307,0.9941982,0.9962801,0.3733492,0.55632025
SYNCRIP,0.96865904,0.093995914,0.9880614,0.97093666,0.96750295,0.9582362,0.28221276,0.16833642
SETD5,0.9773661,0.086778335,0.99132264,0.97775924,0.9762208,0.96896887,0.33846578,0.23575403
NAA15,0.9945898,0.0765525,0.99793816,0.9952043,0.9929019,0.9904361,0.32912543,0.2863007
SCN1A,0.9909185,0.08875548,0.99655044,0.9894837,0.9891995,0.98536026,0.38436076,0.32996866
EHMT1,0.9838286,0.119748585,0.99383914,0.98430204,0.98498535,0.9750006,0.49779427,0.3162912
TCF4,0.9535026,0.1030395,0.9822525,0.95606863,0.9510623,0.93962306,0.24537876,0.15902102
SRPRA,1.0051577,0.07834587,1.0020548,1.0060331,1.006094,1.0085471,0.38835683,0.44132563
MARK2,0.9840779,0.086516105,0.99419665,0.9856498,0.98320884,0.97629136,0.36480364,0.5187698
KMT2C,0.9804501,0.08685011,0.9925604,0.98089445,0.9791595,0.973256,0.2907163,0.19939536
MBD5,1.0009019,0.08313956,1.0003734,1.0009727,1.0001594,1.0023782,0.39783362,0.56855845
NRXN1,0.97143066,0.09300559,0.98935074,0.97558963,0.9702456,0.9648856,0.23332362,0.21055469
IRF2BPL,0.9776235,0.08652847,0.99172485,0.97674274,0.9766499,0.96444595,0.36688226,0.31000167
PHIP,0.9803784,0.087385625,0.9926832,0.980773,0.9789895,0.97176254,0.29051873,0.17865574
NFE2L3,1.0027993,0.12208247,1.0009747,1.0039853,1.0028062,1.0066719,0.4883973,0.595691
SKI,0.97655284,0.09351716,0.9912304,0.97925174,0.97527325,0.969151,0.38392958,0.46575847
PSMD12,1.0065489,0.07680211,1.0025809,1.0078946,1.0062588,1.0108857,0.3562187,0.46204716
KCNB1,0.98498094,0.10864371,0.9946332,0.98744154,0.9828745,0.98302805,0.45239508,0.594564
CSDE1,0.97795486,0.10047387,0.9916508,0.9807677,0.9761872,0.9704542,0.2659979,0.11688258
TSC1,0.9808631,0.07929794,0.99287736,0.9830823,0.9798912,0.97579277,0.30235597,0.4046554
DMWD,0.9679476,0.09245607,0.98789644,0.97181165,0.9653656,0.958367,0.35547924,0.4549123
CLCN4,0.99364877,0.07785605,0.9979361,0.9956954,0.99244326,0.99185777,0.30681914,0.43636006
MEIS2,0.96577156,0.10225575,0.9872203,0.9673007,0.9652953,0.9541266,0.2546558,0.32147992
PBX1,0.9837427,0.09519554,0.9938586,0.98564065,0.982425,0.9779068,0.29049647,0.14291996
HNRNPD,0.97186756,0.0901597,0.98923683,0.97469497,0.97021496,0.9606213,0.2615323,0.1666349
BCL11A,0.97815883,0.08928535,0.99181616,0.98140514,0.97745085,0.9719478,0.22796357,0.23200843
TCF7L2,0.9887988,0.08250806,0.99569786,0.98938215,0.98666656,0.9847536,0.36365503,0.39648142
WDFY3,0.97980505,0.08161807,0.9923384,0.9798932,0.97813505,0.97054887,0.337415,0.3054796
PHF3,0.9843589,0.08160931,0.99413884,0.98735374,0.9825727,0.97870755,0.33499792,0.29743552
SETBP1,0.98049283,0.083111666,0.9927145,0.98143935,0.98037314,0.9738403,0.2929355,0.26551184
TGM1,0.9952638,0.14480199,0.99822843,0.9971259,0.9937203,0.99649763,0.5290612,0.5882295
EBF3,1.0064011,0.11801353,1.0023333,1.0087808,1.0069199,1.0110252,0.44070154,0.22926536
