,0
SCN2A,93.50854
CHD8,75.388214
ADNP,77.65014
SHANK3,68.53984
PTEN,68.829285
SYNGAP1,54.10584
MECP2,50.085327
KDM5B,43.44632
FOXP1,46.393814
ARID1B,34.50695
POGZ,33.48763
ASH1L,29.985954
KMT5B,31.927164
SLC6A1,26.315086
GIGYF1,25.70588
DYRK1A,26.774567
CHD2,21.918663
ASXL3,23.071396
TAOK1,18.91005
DNMT3A,19.097246
GRIN2B,17.260502
BRSK2,15.776676
KMT2A,14.567434
NF1,14.632245
STXBP1,13.43703
CUL3,13.329044
MED13L,12.408547
ANK2,11.467201
MYT1L,11.448819
RORB,11.576124
TBL1XR1,10.954536
TBR1,10.899696
DYNC1H1,8.847144
WAC,9.672355
PHF21A,9.759895
KDM6B,8.760626
DDX3X,8.17597
CTNNB1,8.626347
MED13,7.957813
ANKRD11,8.153172
CTCF,7.9141808
RFX3,7.3917837
ARHGEF9,7.830355
SHANK2,7.741152
DEAF1,10.68865
SMARCC2,6.936115
TLK2,6.5356984
TCF20,6.8037543
CNOT3,6.55794
SYNCRIP,6.6599045
SETD5,6.060208
NAA15,5.8317404
SCN1A,5.5365744
EHMT1,5.6580358
TCF4,5.269092
SRPRA,5.0230865
MARK2,5.2459583
KMT2C,4.95185
MBD5,4.7196517
NRXN1,4.853395
IRF2BPL,5.1403885
PHIP,4.500317
NFE2L3,3.8624458
SKI,4.321985
PSMD12,3.4827862
KCNB1,3.6530905
CSDE1,3.3704443
TSC1,3.5222268
DMWD,4.210313
CLCN4,3.5717096
MEIS2,3.0279956
PBX1,3.087862
HNRNPD,3.7337198
BCL11A,3.732718
TCF7L2,2.8975616
WDFY3,3.2019882
PHF3,3.3031244
SETBP1,2.9294739
TGM1,2.7139392
EBF3,3.5299869
PPP2R5D,2.630959
TAF4,2.797042
KCNQ2,2.6999297
CAPRIN1,2.5789309
DSCAM,2.8696203
GABBR2,3.427362
PRKG2,2.4646144
UBN2,2.8379178
MEF2C,2.636993
TRIP12,2.7632494
EP300,2.2729425
NR3C2,1.8776455
ARHGEF18,1.9625301
TNPO3,2.4777408
SMAD6,1.8466797
AMOT,1.9531884
AUTS2,2.284741
NCKAP1,1.7377357
DLG4,2.4488215
ECPAS,1.6867304
PRKAR1B,1.5555615
FUBP3,0.99405
GRIA2,1.7548542
CCDC40,1.5336328
GABRA1,2.6915812
TSC2,1.5497322
C1orf185,1.824574
METTL23,1.757123
HNRNPUL2,2.0890937
PAX5,2.5758615
ATF4,2.117239
RERE,1.5555558
DHFR2,1.8021455
TMC4,1.0368309
FXYD5,1.4660563
EBAG9,1.4312034
ITGB5,0.95727205
INTS2,1.1839142
RAI1,1.7115822
FOXG1,1.6450963
PLEKHG6,1.2632022
