,0,1
SCN2A,20.272552,6.829083
CHD8,20.272552,6.829083
ADNP,20.272552,6.829083
SHANK3,20.272552,6.829083
PTEN,20.272552,6.829083
SYNGAP1,20.272552,6.829083
MECP2,20.272552,6.829083
KDM5B,20.272552,6.829083
FOXP1,20.272552,6.829083
ARID1B,20.272552,6.829083
POGZ,20.272552,6.829083
ASH1L,20.272552,6.829083
KMT5B,20.272552,6.829083
SLC6A1,20.272552,6.829083
GIGYF1,20.272552,6.829083
DYRK1A,20.272552,6.829083
CHD2,20.272552,6.829083
ASXL3,20.272552,6.829083
TAOK1,20.272552,6.829083
DNMT3A,20.272552,6.829083
GRIN2B,20.272552,6.829083
BRSK2,20.272552,6.829083
KMT2A,20.272552,6.829083
NF1,20.272552,6.829083
STXBP1,20.272552,6.829083
CUL3,20.272552,6.829083
MED13L,20.272552,6.829083
ANK2,20.272552,6.829083
MYT1L,20.272552,6.829083
RORB,20.272552,6.829083
TBL1XR1,20.272552,6.829083
TBR1,20.272552,6.829083
DYNC1H1,20.272552,6.829083
WAC,20.272552,6.829083
PHF21A,20.272552,6.829083
KDM6B,20.272552,6.829083
DDX3X,20.272552,6.829083
CTNNB1,20.272552,6.829083
MED13,20.272552,6.829083
ANKRD11,20.272552,6.829083
CTCF,20.272552,6.829083
RFX3,20.272552,6.829083
ARHGEF9,20.272552,6.829083
SHANK2,20.272552,6.829083
DEAF1,20.272552,6.829083
SMARCC2,20.272552,6.829083
TLK2,20.272552,6.829083
TCF20,20.272552,6.829083
CNOT3,20.272552,6.829083
SYNCRIP,20.272552,6.829083
SETD5,20.272552,6.829083
NAA15,20.272552,6.829083
SCN1A,20.272552,6.829083
EHMT1,20.272552,6.829083
TCF4,20.272552,6.829083
SRPRA,20.272552,6.829083
MARK2,20.272552,6.829083
KMT2C,20.272552,6.829083
MBD5,20.272552,6.829083
NRXN1,20.272552,6.829083
IRF2BPL,20.272552,6.829083
PHIP,20.272552,6.829083
NFE2L3,20.272552,6.829083
SKI,20.272552,6.829083
PSMD12,20.272552,6.829083
KCNB1,20.272552,6.829083
CSDE1,20.272552,6.829083
TSC1,20.272552,6.829083
DMWD,20.272552,6.829083
CLCN4,20.272552,6.829083
MEIS2,20.272552,6.829083
PBX1,20.272552,6.829083
HNRNPD,20.272552,6.829083
BCL11A,20.272552,6.829083
TCF7L2,20.272552,6.829083
WDFY3,20.272552,6.829083
PHF3,20.272552,6.829083
SETBP1,20.272552,6.829083
TGM1,20.272552,6.829083
EBF3,20.272552,6.829083
PPP2R5D,20.272552,6.829083
TAF4,20.272552,6.829083
KCNQ2,20.272552,6.829083
CAPRIN1,20.272552,6.829083
DSCAM,20.272552,6.829083
GABBR2,20.272552,6.829083
PRKG2,20.272552,6.829083
UBN2,20.272552,6.829083
