,0,1
SCN2A,0.8657797,0.9498295
CHD8,0.8657797,0.9498295
ADNP,0.8657797,0.9498295
SHANK3,0.8657797,0.9498295
PTEN,0.8657797,0.9498295
SYNGAP1,0.8657797,0.9498295
MECP2,0.8657797,0.9498295
KDM5B,0.8657797,0.9498295
FOXP1,0.8657797,0.9498295
ARID1B,0.8657797,0.9498295
POGZ,0.8657797,0.9498295
ASH1L,0.8657797,0.9498295
KMT5B,0.8657797,0.9498295
SLC6A1,0.8657797,0.9498295
GIGYF1,0.8657797,0.9498295
DYRK1A,0.8657797,0.9498295
CHD2,0.8657797,0.9498295
ASXL3,0.8657797,0.9498295
TAOK1,0.8657797,0.9498295
DNMT3A,0.8657797,0.9498295
GRIN2B,0.8657797,0.9498295
BRSK2,0.8657797,0.9498295
KMT2A,0.8657797,0.9498295
NF1,0.8657797,0.9498295
STXBP1,0.8657797,0.9498295
CUL3,0.8657797,0.9498295
MED13L,0.8657797,0.9498295
ANK2,0.8657797,0.9498295
MYT1L,0.8657797,0.9498295
RORB,0.8657797,0.9498295
TBL1XR1,0.8657797,0.9498295
TBR1,0.8657797,0.9498295
DYNC1H1,0.8657797,0.9498295
WAC,0.8657797,0.9498295
PHF21A,0.8657797,0.9498295
KDM6B,0.8657797,0.9498295
DDX3X,0.8657797,0.9498295
CTNNB1,0.8657797,0.9498295
MED13,0.8657797,0.9498295
ANKRD11,0.8657797,0.9498295
CTCF,0.8657797,0.9498295
RFX3,0.8657797,0.9498295
ARHGEF9,0.8657797,0.9498295
SHANK2,0.8657797,0.9498295
DEAF1,0.8657797,0.9498295
SMARCC2,0.8657797,0.9498295
TLK2,0.8657797,0.9498295
TCF20,0.8657797,0.9498295
CNOT3,0.8657797,0.9498295
SYNCRIP,0.8657797,0.9498295
SETD5,0.8657797,0.9498295
NAA15,0.8657797,0.9498295
SCN1A,0.8657797,0.9498295
EHMT1,0.8657797,0.9498295
TCF4,0.8657797,0.9498295
SRPRA,0.8657797,0.9498295
MARK2,0.8657797,0.9498295
KMT2C,0.8657797,0.9498295
MBD5,0.8657797,0.9498295
NRXN1,0.8657797,0.9498295
IRF2BPL,0.8657797,0.9498295
PHIP,0.8657797,0.9498295
NFE2L3,0.8657797,0.9498295
SKI,0.8657797,0.9498295
PSMD12,0.8657797,0.9498295
KCNB1,0.8657797,0.9498295
CSDE1,0.8657797,0.9498295
TSC1,0.8657797,0.9498295
DMWD,0.8657797,0.9498295
CLCN4,0.8657797,0.9498295
MEIS2,0.8657797,0.9498295
PBX1,0.8657797,0.9498295
HNRNPD,0.8657797,0.9498295
BCL11A,0.8657797,0.9498295
TCF7L2,0.8657797,0.9498295
WDFY3,0.8657797,0.9498295
PHF3,0.8657797,0.9498295
SETBP1,0.8657797,0.9498295
TGM1,0.8657797,0.9498295
EBF3,0.8657797,0.9498295
PPP2R5D,0.8657797,0.9498295
TAF4,0.8657797,0.9498295
KCNQ2,0.8657797,0.9498295
CAPRIN1,0.8657797,0.9498295
DSCAM,0.8657797,0.9498295
GABBR2,0.8657797,0.9498295
PRKG2,0.8657797,0.9498295
UBN2,0.8657797,0.9498295
MEF2C,0.8657797,0.9498295
TRIP12,0.8657797,0.9498295
EP300,0.8657797,0.9498295
NR3C2,0.8657797,0.9498295
ARHGEF18,0.8657797,0.9498295
TNPO3,0.8657797,0.9498295
SMAD6,0.8657797,0.9498295
AMOT,0.8657797,0.9498295
AUTS2,0.8657797,0.9498295
NCKAP1,0.8657797,0.9498295
DLG4,0.8657797,0.9498295
ECPAS,0.8657797,0.9498295
PRKAR1B,0.8657797,0.9498295
FUBP3,0.8657797,0.9498295
GRIA2,0.8657797,0.9498295
CCDC40,0.8657797,0.9498295
GABRA1,0.8657797,0.9498295
TSC2,0.8657797,0.9498295
C1orf185,0.8657797,0.9498295
METTL23,0.8657797,0.9498295
HNRNPUL2,0.8657797,0.9498295
PAX5,0.8657797,0.9498295
ATF4,0.8657797,0.9498295
RERE,0.8657797,0.9498295
DHFR2,0.8657797,0.9498295
TMC4,0.8657797,0.9498295
FXYD5,0.8657797,0.9498295
EBAG9,0.8657797,0.9498295
ITGB5,0.8657797,0.9498295
INTS2,0.8657797,0.9498295
RAI1,0.8657797,0.9498295
FOXG1,0.8657797,0.9498295
PLEKHG6,0.8657797,0.9498295
MAVS,0.8657797,0.9498295
C1QC,0.8657797,0.9498295
TMEM116,0.8657797,0.9498295
SIN3A,0.8657797,0.9498295
ANP32A,0.8657797,0.9498295
PRR14L,0.8657797,0.9498295
CSNK2B,0.8657797,0.9498295
PMM2,0.8657797,0.9498295
PFN2,0.8657797,0.9498295
LMTK3,0.8657797,0.9498295
SPRY2,0.8657797,0.9498295
CMPK2,0.8657797,0.9498295
IQSEC2,0.8657797,0.9498295
RIPK1,0.8657797,0.9498295
TPK1,0.8657797,0.9498295
CASZ1,0.8657797,0.9498295
ZBTB45,0.8657797,0.9498295
NUDT17,0.8657797,0.9498295
FANCE,0.8657797,0.9498295
ZNF396,0.8657797,0.9498295
NR4A2,0.8657797,0.9498295
TBCEL,0.8657797,0.9498295
ADAM21,0.8657797,0.9498295
TCF3,0.8657797,0.9498295
AAAS,0.8657797,0.9498295
CELF6,0.8657797,0.9498295
INSC,0.8657797,0.9498295
ZMYND8,0.8657797,0.9498295
CLTC,0.8657797,0.9498295
TCHHL1,0.8657797,0.9498295
CTDSPL2,0.8657797,0.9498295
ZNF292,0.8657797,0.9498295
KCNQ3,0.8657797,0.9498295
RALGAPB,0.8657797,0.9498295
SRCAP,0.8657797,0.9498295
RAB11FIP4,0.8657797,0.9498295
ZNF865,0.8657797,0.9498295
CASKIN1,0.8657797,0.9498295
RANBP17,0.8657797,0.9498295
FBN1,0.8657797,0.9498295
ACTB,0.8657797,0.9498295
CNNM2,0.8657797,0.9498295
TSHZ1,0.8657797,0.9498295
UPF3B,0.8657797,0.9498295
PHF2,0.8657797,0.9498295
FMR1,0.8657797,0.9498295
MIB1,0.8657797,0.9498295
FADS1,0.8657797,0.9498295
FRMD7,0.8657797,0.9498295
LDB1,0.8657797,0.9498295
PCDH19,0.8657797,0.9498295
EIF3G,0.8657797,0.9498295
MYO1E,0.8657797,0.9498295
ZFAND5,0.8657797,0.9498295
CFAP410,0.8657797,0.9498295
BICRA,0.8657797,0.9498295
MYBL2,0.8657797,0.9498295
KIAA1958,0.8657797,0.9498295
GABRG2,0.8657797,0.9498295
SKIDA1,0.8657797,0.9498295
PSMA3,0.8657797,0.9498295
TTC37,0.8657797,0.9498295
PCYT1A,0.8657797,0.9498295
AP1G1,0.8657797,0.9498295
FEZF2,0.8657797,0.9498295
FGF19,0.8657797,0.9498295
MSL3,0.8657797,0.9498295
SON,0.8657797,0.9498295
DNAJC5,0.8657797,0.9498295
FBXO22,0.8657797,0.9498295
TNFRSF8,0.8657797,0.9498295
HDAC11,0.8657797,0.9498295
SSR2,0.8657797,0.9498295
ACTG1,0.8657797,0.9498295
PNN,0.8657797,0.9498295
RUNX1T1,0.8657797,0.9498295
APBB1,0.8657797,0.9498295
CERS4,0.8657797,0.9498295
CELF4,0.8657797,0.9498295
ZBTB14,0.8657797,0.9498295
ATAT1,0.8657797,0.9498295
RBBP5,0.8657797,0.9498295
G3BP1,0.8657797,0.9498295
WNT7B,0.8657797,0.9498295
BDP1,0.8657797,0.9498295
RNF217,0.8657797,0.9498295
CBX4,0.8657797,0.9498295
NME8,0.8657797,0.9498295
DCUN1D3,0.8657797,0.9498295
ENC1,0.8657797,0.9498295
UBB,0.8657797,0.9498295
NEO1,0.8657797,0.9498295
SLC4A10,0.8657797,0.9498295
BRF2,0.8657797,0.9498295
PSMD11,0.8657797,0.9498295
NR2F1,0.8657797,0.9498295
CASK,0.8657797,0.9498295
SARM1,0.8657797,0.9498295
TPST2,0.8657797,0.9498295
FPGS,0.8657797,0.9498295
QRICH1,0.8657797,0.9498295
LRP10,0.8657797,0.9498295
CD101,0.8657797,0.9498295
INTS7,0.8657797,0.9498295
SMAD4,0.8657797,0.9498295
STARD10,0.8657797,0.9498295
CNTNAP3,0.8657797,0.9498295
DHX37,0.8657797,0.9498295
GABRB3,0.8657797,0.9498295
NDNF,0.8657797,0.9498295
FARP2,0.8657797,0.9498295
SLF1,0.8657797,0.9498295
HDAC4,0.8657797,0.9498295
CNGB3,0.8657797,0.9498295
PCDHGA8,0.8657797,0.9498295
TSPAN4,0.8657797,0.9498295
FUK,0.8657797,0.9498295
SULT1A1,0.8657797,0.9498295
NTS,0.8657797,0.9498295
MAN1A1,0.8657797,0.9498295
FAM57B,0.8657797,0.9498295
RFX8,0.8657797,0.9498295
NACC1,0.8657797,0.9498295
ZSWIM4,0.8657797,0.9498295
PPCS,0.8657797,0.9498295
SUSD4,0.8657797,0.9498295
TMEM165,0.8657797,0.9498295
RIMBP2,0.8657797,0.9498295
PSMD6,0.8657797,0.9498295
ITPKA,0.8657797,0.9498295
MSL2,0.8657797,0.9498295
RNF146,0.8657797,0.9498295
NSD2,0.8657797,0.9498295
SOX11,0.8657797,0.9498295
SLC34A1,0.8657797,0.9498295
ADPGK,0.8657797,0.9498295
TCERG1,0.8657797,0.9498295
ZBTB18,0.8657797,0.9498295
TAF6,0.8657797,0.9498295
BCL11B,0.8657797,0.9498295
PPM1M,0.8657797,0.9498295
PUF60,0.8657797,0.9498295
CUX2,0.8657797,0.9498295
GPC5,0.8657797,0.9498295
SERPINI1,0.8657797,0.9498295
SATB2,0.8657797,0.9498295
CRISPLD1,0.8657797,0.9498295
ZMYM2,0.8657797,0.9498295
DBF4,0.8657797,0.9498295
ZMYND11,0.8657797,0.9498295
TNFAIP8L3,0.8657797,0.9498295
PCDHGA12,0.8657797,0.9498295
ARHGEF2,0.8657797,0.9498295
CFAP70,0.8657797,0.9498295
HPS6,0.8657797,0.9498295
JARID2,0.8657797,0.9498295
SNCA,0.8657797,0.9498295
KDM6A,0.8657797,0.9498295
ASB14,0.8657797,0.9498295
CALU,0.8657797,0.9498295
HNRNPL,0.8657797,0.9498295
KLHL25,0.8657797,0.9498295
AHDC1,0.8657797,0.9498295
CTR9,0.8657797,0.9498295
B9D1,0.8657797,0.9498295
SPAST,0.8657797,0.9498295
EIF4G2,0.8657797,0.9498295
LRRFIP1,0.8657797,0.9498295
TUBB2A,0.8657797,0.9498295
GGNBP2,0.8657797,0.9498295
ARHGAP44,0.8657797,0.9498295
CARD14,0.8657797,0.9498295
