,0,1
SCN2A,-0.055065095,-2.9266453
CHD8,-0.044639047,-3.131384
ADNP,-0.050243415,-3.0158916
SHANK3,-0.06295448,-2.7966561
PTEN,-0.051995907,-2.9824755
SYNGAP1,-0.041055847,-3.2132785
MECP2,-0.050587542,-3.0092378
KDM5B,-0.04836894,-3.0529833
FOXP1,-0.04205167,-3.1898077
ARID1B,-0.040577825,-3.2247548
POGZ,-0.04146468,-3.2035732
ASH1L,-0.04233932,-3.1831326
KMT5B,-0.047263756,-3.0755503
SLC6A1,-0.0509047,-3.0031447
GIGYF1,-0.04440417,-3.1365416
DYRK1A,-0.04215499,-3.1874058
CHD2,-0.04593934,-3.1033154
ASXL3,-0.07186017,-2.6687477
TAOK1,-0.04572014,-3.1079884
DNMT3A,-0.058802005,-2.8628361
GRIN2B,-0.08876079,-2.465862
BRSK2,-0.04691223,-3.0828424
KMT2A,-0.046343792,-3.0947495
NF1,-0.045326944,-3.1164308
STXBP1,-0.042677153,-3.175355
CUL3,-0.047128778,-3.0783439
MED13L,-0.049424794,-3.031915
ANK2,-0.044909775,-3.1254704
MYT1L,-0.041860428,-3.1942704
RORB,-0.061845925,-2.8138738
TBL1XR1,-0.040172867,-3.2345834
TBR1,-0.08009644,-2.564305
DYNC1H1,-0.046030536,-3.101376
WAC,-0.040209394,-3.2336922
PHF21A,-0.045827072,-3.1057057
KDM6B,-0.0544183,-2.9381416
DDX3X,-0.0402773,-3.2320383
CTNNB1,-0.04107232,-3.212888
MED13,-0.04349755,-3.1567216
ANKRD11,-0.047055766,-3.079858
CTCF,-0.056815695,-2.896215
RFX3,-0.042650536,-3.175965
ARHGEF9,-0.043696582,-3.1522553
SHANK2,-0.058962163,-2.8601959
DEAF1,-0.04693543,-3.0823581
SMARCC2,-0.044645548,-3.1312406
TLK2,-0.05015408,-3.0176277
TCF20,-0.05049801,-3.010964
CNOT3,-0.05786931,-2.8783627
SYNCRIP,-0.050342835,-3.0139644
SETD5,-0.050281394,-3.015155
NAA15,-0.053043418,-2.963049
SCN1A,-0.036008336,-3.3419547
EHMT1,-0.05378148,-2.9495964
TCF4,-0.047549915,-3.0696568
SRPRA,-0.03229072,-3.449076
MARK2,-0.048860278,-3.043121
KMT2C,-0.049538925,-3.0296628
MBD5,-0.027505342,-3.607098
NRXN1,-0.0475448,-3.06976
IRF2BPL,-0.0673467,-2.7313864
PHIP,-0.04638317,-3.0939193
NFE2L3,-0.028766355,-3.562898
SKI,-0.04938644,-3.0326715
PSMD12,-0.03008258,-3.518813
KCNB1,-0.035229526,-3.363435
CSDE1,-0.03820803,-3.2837534
TSC1,-0.04196994,-3.1917136
DMWD,-0.039422624,-3.2530615
CLCN4,-0.049122714,-3.0378947
MEIS2,-0.036161263,-3.3377945
PBX1,-0.04229784,-3.184093
HNRNPD,-0.04066241,-3.222713
BCL11A,-0.049272515,-3.0349236
TCF7L2,-0.03370202,-3.4070027
WDFY3,-0.051853642,-2.9851441
PHF3,-0.042245504,-3.185306
SETBP1,-0.040146068,-3.235237
TGM1,-0.03500981,-3.3695807
EBF3,-0.09183605,-2.4333172
PPP2R5D,-0.03892284,-3.265572
TAF4,-0.036056515,-3.3406413
KCNQ2,-0.041651193,-3.1991773
CAPRIN1,-0.035280738,-3.3620076
DSCAM,-0.053470884,-2.9552343
GABBR2,-0.049594402,-3.0285726
PRKG2,-0.029177811,-3.5489001
UBN2,-0.04883939,-3.0435388
MEF2C,-0.04319459,-3.1635582
TRIP12,-0.051542446,-2.9910092
EP300,-0.039220333,-3.2581062
NR3C2,-0.026028352,-3.661557
ARHGEF18,-0.03678918,-3.3208907
TNPO3,-0.037022863,-3.3146737
SMAD6,-0.034200735,-3.392561
AMOT,-0.033385582,-3.4162786
AUTS2,-0.0498918,-3.0227413
NCKAP1,-0.043190252,-3.163659
DLG4,-0.060802888,-2.830365
ECPAS,-0.038106825,-3.2863555
PRKAR1B,-0.04071712,-3.2213964
FUBP3,-0.028619241,-3.5679526
GRIA2,-0.048586532,-3.0486028
CCDC40,-0.031694505,-3.4674168
GABRA1,-0.059634667,-2.8491874
TSC2,-0.0352278,-3.363482
C1orf185,-0.03358756,-3.4103475
METTL23,-0.030186798,-3.5154047
HNRNPUL2,-0.054840777,-2.930617
PAX5,-0.10902503,-2.270195
ATF4,-0.042644598,-3.1761017
RERE,-0.043493327,-3.1568167
DHFR2,-0.037069388,-3.3134418
TMC4,-0.037274756,-3.3080182
FXYD5,-0.030927934,-3.4915214
EBAG9,-0.03373014,-3.4061818
ITGB5,-0.03022832,-3.5140529
INTS2,-0.029285597,-3.5452666
RAI1,-0.05267311,-2.9698713
FOXG1,-0.040971063,-3.2153037
PLEKHG6,-0.0360188,-3.341669
MAVS,-0.039543293,-3.2500646
C1QC,-0.036027424,-3.341435
TMEM116,-0.03978401,-3.2441173
SIN3A,-0.037079267,-3.3131795
ANP32A,-0.040603578,-3.224131
PRR14L,-0.0386092,-3.2735085
CSNK2B,-0.03746125,-3.303119
PMM2,-0.027287517,-3.6149375
PFN2,-0.036782514,-3.3210669
LMTK3,-0.049979348,-3.021031
SPRY2,-0.045036618,-3.1227136
CMPK2,-0.02992999,-3.5238235
IQSEC2,-0.0652605,-2.7618203
RIPK1,-0.03456505,-3.382146
TPK1,-0.035238273,-3.3631892
CASZ1,-0.042524647,-3.178859
ZBTB45,-0.030342586,-3.510336
NUDT17,-0.026904294,-3.6288917
FANCE,-0.02803115,-3.5884204
ZNF396,-0.024051562,-3.7395568
NR4A2,-0.03763382,-3.29861
TBCEL,-0.026779423,-3.6334822
ADAM21,-0.032508034,-3.4424782
TCF3,-0.044652842,-3.1310806
AAAS,-0.03295002,-3.4291925
CELF6,-0.030846678,-3.4941092
INSC,-0.030845292,-3.4941537
ZMYND8,-0.04365128,-3.153269
CLTC,-0.0417262,-3.1974173
TCHHL1,-0.033973645,-3.399109
CTDSPL2,-0.038815398,-3.2682838
ZNF292,-0.04233612,-3.183209
KCNQ3,-0.052082364,-2.9808567
RALGAPB,-0.043279756,-3.1616316
SRCAP,-0.033573035,-3.4107714
RAB11FIP4,-0.034123432,-3.3947835
ZNF865,-0.039334375,-3.2552595
CASKIN1,-0.03394161,-3.4000368
RANBP17,-0.028455075,-3.5736227
FBN1,-0.038841084,-3.2676356
ACTB,-0.041403033,-3.2050326
CNNM2,-0.030307893,-3.5114632
TSHZ1,-0.041823383,-3.19514
UPF3B,-0.036971398,-3.3160384
PHF2,-0.052472122,-2.9735942
FMR1,-0.03624186,-3.335608
MIB1,-0.047765303,-3.0652442
FADS1,-0.039721,-3.2456698
FRMD7,-0.03377797,-3.4047887
LDB1,-0.037494894,-3.3022401
PCDH19,-0.050501633,-3.010894
EIF3G,-0.032193646,-3.4520402
MYO1E,-0.022166934,-3.8202164
