,0,1,2,3,4,5,6,7
SCN2A,0.028277554,-0.012232348,-0.007046856,-0.00036165118,0.012753271,0.119630985,-1.085418,0.51520663
CHD8,0.015134111,-0.032211762,-0.02224392,0.0063496716,0.0041833967,0.24611574,0.40712738,0.4356516
ADNP,0.007519245,-0.022993788,0.013499342,0.003938332,0.0024402514,0.44919792,0.19535798,1.091535
SHANK3,0.034391396,-0.03320773,-0.02693839,0.007344298,-0.015628211,0.14566872,0.4862371,-0.06894758
PTEN,0.0069084167,-0.00846152,-0.006583091,0.004919745,-0.012497246,1.1208636,-0.44312274,0.6526906
SYNGAP1,0.015547484,-0.010910004,-0.005148355,-0.003129676,0.004961878,0.56033826,0.15161589,-0.10881259
MECP2,-0.0039718896,-0.030744374,-0.008567449,0.019110288,-0.00559368,0.4512474,0.29646027,0.72351503
KDM5B,0.01911354,-0.02684046,-0.0040123537,0.010290403,-0.0069437474,0.4669012,-0.6148412,1.11361
FOXP1,0.0074254125,-0.009104259,0.009681884,-0.0018034689,0.006179899,0.2654066,0.90654737,0.9420974
ARID1B,0.012668043,-0.017428622,0.0026870444,0.005864732,0.002381228,0.18042047,0.012220889,0.85708606
POGZ,0.023295403,-0.0021769926,-0.0053733364,0.010193985,-0.009076335,0.531312,0.16505447,1.3335261
ASH1L,-0.019591287,-0.026896432,0.009479865,0.012724288,0.009237662,0.28902975,0.44123524,1.1498735
KMT5B,-0.007571161,-0.013518468,-0.0066775084,0.0044355504,0.000725396,0.31998473,-0.1455958,1.0611969
SLC6A1,0.00687173,-0.021446332,0.0050701797,0.016074367,-0.024501376,0.750718,0.28134978,0.20459087
GIGYF1,0.010459438,-0.013134852,0.009236887,-0.0007847361,0.0063473135,0.77150494,-0.34733793,0.50428784
DYRK1A,0.00018544495,-0.012864172,0.016070884,0.003794741,-0.0023430511,0.34025696,0.5544106,0.66567016
CHD2,-0.015884206,-0.03422979,0.010567874,0.013977073,0.011142835,0.120219775,0.5150568,1.3852993
ASXL3,-0.012256399,0.0040614903,-0.010374766,-0.008362573,0.0176581,0.15739037,-0.56452453,0.35748178
TAOK1,-0.026492089,-0.015188128,0.009368494,0.005236678,0.0010210872,0.1939845,0.3741551,1.2104319
DNMT3A,0.009486407,0.002202496,0.0030838996,0.004880078,-0.0051030517,0.36613175,0.71014625,0.6760788
GRIN2B,0.011759192,-0.014385939,-0.025492106,0.0016364381,-0.0031981096,-0.25012663,-0.3908877,-0.5123368
BRSK2,0.0014367104,-0.013834417,-0.0039785616,0.0038506053,0.0047277734,0.2008566,0.39293653,0.54233414
KMT2A,-0.013092577,-0.022797205,0.01657076,0.005603589,6.211549e-05,0.0906395,0.045766026,1.4500053
NF1,-0.0013862699,-0.031168502,-0.006833505,0.017724365,-0.010949679,0.1704339,0.98229915,0.888139
STXBP1,0.021299034,0.015816845,0.004127156,-0.010962974,0.006157726,0.84986055,-2.6256254,0.8164663
CUL3,-0.011347964,-0.011734627,-0.008109104,-0.0062850975,0.00083818287,0.31571764,0.42110008,0.7891811
MED13L,0.006254226,0.00037642568,0.011262748,0.003091529,-0.0073702857,0.50317395,0.13711488,0.6022764
ANK2,-0.020273924,-0.011448257,-0.00058169663,-0.002491288,0.0036431327,-0.0020123534,-1.5506806,1.2321435
MYT1L,0.0039501786,0.0029882193,0.0045633055,-0.016082935,0.009405531,0.47733027,-2.75358,0.87925327
RORB,0.014137402,-0.022698116,0.0039016977,0.008856442,-0.014665693,0.4628992,-0.87434864,-0.18503696
TBL1XR1,-0.00010590255,-0.018420216,0.015164927,0.010109406,-0.013670534,0.50174886,0.22045726,1.3089021
TBR1,0.06792452,-0.040790915,0.017651856,0.008981857,-0.0064430013,0.36652398,-0.856532,-0.47277337
DYNC1H1,0.0044607073,-0.018174909,0.003584724,0.012974925,-0.012322493,0.2240394,-0.120837,1.5461221
WAC,-0.01329267,-0.023068476,0.010336027,0.0094736405,-0.0059977993,0.1459897,0.34215719,1.4782594
PHF21A,-0.021162495,-0.021301236,-0.0046777315,0.0004554391,0.014422804,0.20380472,0.6536761,0.77284944
