,0,1,2,3,4,5,6,7
SCN2A,0.96772194,0.9711579,0.974826,0.9612628,0.97313404,0.21687415,0.4775832,0.09668125
CHD8,0.9555546,0.9600757,0.96336424,0.9470356,0.9629869,0.2089928,0.48221463,0.091190085
ADNP,0.97164035,0.9740611,0.97635853,0.96528393,0.9757353,0.22554545,0.4289354,0.066447005
SHANK3,0.9425596,0.9475145,0.95327324,0.9298084,0.95108974,0.19217467,0.548026,0.12476918
PTEN,0.97029316,0.97353417,0.9770252,0.9659481,0.9748919,0.24471222,0.45122504,0.07744818
SYNGAP1,0.9704898,0.97221476,0.97547066,0.962118,0.9738053,0.20112534,0.5433226,0.11083158
MECP2,0.9742352,0.9785807,0.98039806,0.9721939,0.97993284,0.19620882,0.45478305,0.07025886
KDM5B,0.9667409,0.9703462,0.9739052,0.96104294,0.97243184,0.22983609,0.42613155,0.070741825
FOXP1,0.9767877,0.97929955,0.9802797,0.9726044,0.98046947,0.18417047,0.44520843,0.06400096
ARID1B,0.9767244,0.9795481,0.98108673,0.9732681,0.9811212,0.2203427,0.4442862,0.07560301
POGZ,0.97989154,0.98190606,0.9842533,0.975489,0.98254746,0.21885285,0.40968877,0.05458124
ASH1L,0.990101,0.99162847,0.99338794,0.987893,0.9918822,0.19965634,0.4303993,0.05574682
KMT5B,0.9881804,0.9897344,0.99128383,0.9867095,0.9904766,0.21711367,0.42830962,0.061785292
SLC6A1,0.9710516,0.9754376,0.97794354,0.9675931,0.97617096,0.18360747,0.5160172,0.09617983
GIGYF1,0.9772842,0.979197,0.9806397,0.9719713,0.98028266,0.22782022,0.4666908,0.082194455
DYRK1A,0.9753026,0.9777514,0.9799322,0.97003824,0.97908866,0.21679325,0.4634118,0.076467045
CHD2,0.98909384,0.991301,0.9923248,0.98831075,0.99180233,0.20465218,0.4148981,0.053342342
ASXL3,1.0009806,1.0012996,1.0010097,1.0016112,1.0016842,0.20579478,0.4830563,0.079335526
TAOK1,0.9925134,0.99355173,0.9940411,0.9910988,0.99350697,0.1946791,0.42153907,0.05491898
DNMT3A,0.9856504,0.9870544,0.988443,0.9831929,0.98785555,0.20519917,0.46981657,0.07379632
GRIN2B,0.97500694,0.97669977,0.98060817,0.9677934,0.9782318,0.19915624,0.6009908,0.15666677
