,0,1
SCN2A,1.0821496,1.1815735
CHD8,1.0821496,1.1815735
ADNP,1.0821496,1.1815735
SHANK3,1.0821496,1.1815735
PTEN,1.0821496,1.1815735
SYNGAP1,1.0821496,1.1815735
MECP2,1.0821496,1.1815735
KDM5B,1.0821496,1.1815735
FOXP1,1.0821496,1.1815735
ARID1B,1.0821496,1.1815735
POGZ,1.0821496,1.1815735
ASH1L,1.0821496,1.1815735
KMT5B,1.0821496,1.1815735
SLC6A1,1.0821496,1.1815735
GIGYF1,1.0821496,1.1815735
DYRK1A,1.0821496,1.1815735
CHD2,1.0821496,1.1815735
ASXL3,1.0821496,1.1815735
TAOK1,1.0821496,1.1815735
DNMT3A,1.0821496,1.1815735
GRIN2B,1.0821496,1.1815735
BRSK2,1.0821496,1.1815735
KMT2A,1.0821496,1.1815735
NF1,1.0821496,1.1815735
STXBP1,1.0821496,1.1815735
CUL3,1.0821496,1.1815735
MED13L,1.0821496,1.1815735
ANK2,1.0821496,1.1815735
MYT1L,1.0821496,1.1815735
RORB,1.0821496,1.1815735
TBL1XR1,1.0821496,1.1815735
TBR1,1.0821496,1.1815735
DYNC1H1,1.0821496,1.1815735
WAC,1.0821496,1.1815735
PHF21A,1.0821496,1.1815735
KDM6B,1.0821496,1.1815735
DDX3X,1.0821496,1.1815735
CTNNB1,1.0821496,1.1815735
MED13,1.0821496,1.1815735
ANKRD11,1.0821496,1.1815735
CTCF,1.0821496,1.1815735
RFX3,1.0821496,1.1815735
ARHGEF9,1.0821496,1.1815735
SHANK2,1.0821496,1.1815735
DEAF1,1.0821496,1.1815735
SMARCC2,1.0821496,1.1815735
TLK2,1.0821496,1.1815735
TCF20,1.0821496,1.1815735
CNOT3,1.0821496,1.1815735
SYNCRIP,1.0821496,1.1815735
SETD5,1.0821496,1.1815735
NAA15,1.0821496,1.1815735
SCN1A,1.0821496,1.1815735
EHMT1,1.0821496,1.1815735
TCF4,1.0821496,1.1815735
SRPRA,1.0821496,1.1815735
MARK2,1.0821496,1.1815735
KMT2C,1.0821496,1.1815735
MBD5,1.0821496,1.1815735
NRXN1,1.0821496,1.1815735
IRF2BPL,1.0821496,1.1815735
PHIP,1.0821496,1.1815735
NFE2L3,1.0821496,1.1815735
SKI,1.0821496,1.1815735
PSMD12,1.0821496,1.1815735
KCNB1,1.0821496,1.1815735
CSDE1,1.0821496,1.1815735
TSC1,1.0821496,1.1815735
DMWD,1.0821496,1.1815735
CLCN4,1.0821496,1.1815735
MEIS2,1.0821496,1.1815735
PBX1,1.0821496,1.1815735
HNRNPD,1.0821496,1.1815735
BCL11A,1.0821496,1.1815735
TCF7L2,1.0821496,1.1815735
WDFY3,1.0821496,1.1815735
PHF3,1.0821496,1.1815735
SETBP1,1.0821496,1.1815735
TGM1,1.0821496,1.1815735
EBF3,1.0821496,1.1815735
