,0,1
SCN2A,-0.09796299,-2.3717468
CHD8,-0.059986018,-2.8434863
ADNP,-0.06577475,-2.7542255
SHANK3,-0.04379403,-3.1500747
PTEN,-0.07680576,-2.6046329
SYNGAP1,-0.03711545,-3.3122232
MECP2,-0.04584609,-3.1053
KDM5B,-0.07024409,-2.690696
FOXP1,-0.060224112,-2.8396435
ARID1B,-0.06477659,-2.769024
POGZ,-0.062906235,-2.7973986
ASH1L,-0.060924705,-2.8284247
KMT5B,-0.073562264,-2.6461787
SLC6A1,-0.060760148,-2.8310478
GIGYF1,-0.05533933,-2.9218144
DYRK1A,-0.05078528,-3.005435
CHD2,-0.058613602,-2.8659523
ASXL3,-0.083113514,-2.5288174
TAOK1,-0.06473167,-2.769695
DNMT3A,-0.053961534,-2.9463427
GRIN2B,-0.0420903,-3.1889093
BRSK2,-0.054358914,-2.9392023
KMT2A,-0.080193594,-2.5631404
NF1,-0.05355778,-2.953654
STXBP1,-0.06291933,-2.797196
CUL3,-0.056601234,-2.8998916
MED13L,-0.056093734,-2.9086468
ANK2,-0.08587572,-2.4974844
MYT1L,-0.07966854,-2.5694506
RORB,-0.041766334,-3.1964765
TBL1XR1,-0.05761805,-2.8825905
TBR1,-0.03623473,-3.335799
DYNC1H1,-0.07150032,-2.673591
WAC,-0.06761948,-2.727478
PHF21A,-0.052869644,-2.9662442
KDM6B,-0.055086758,-2.9262621
DDX3X,-0.05761569,-2.8826296
CTNNB1,-0.058797173,-2.8629153
MED13,-0.06372967,-2.7848012
ANKRD11,-0.06915193,-2.7058268
CTCF,-0.06638112,-2.7453496
RFX3,-0.057077065,-2.8917565
ARHGEF9,-0.050404612,-3.0127702
SHANK2,-0.072315715,-2.6626542
DEAF1,-0.043974977,-3.146042
SMARCC2,-0.06614448,-2.748804
TLK2,-0.04881078,-3.044109
TCF20,-0.06395558,-2.7813733
CNOT3,-0.038690742,-3.2714374
SYNCRIP,-0.07430958,-2.6364398
SETD5,-0.0546058,-2.9347928
NAA15,-0.05556793,-2.9178038
SCN1A,-0.059780993,-2.8468099
EHMT1,-0.071191296,-2.677769
TCF4,-0.06720482,-2.733425
SRPRA,-0.0420671,-3.189449
MARK2,-0.036535207,-3.3276918
KMT2C,-0.08185301,-2.543477
MBD5,-0.04557835,-3.1110258
NRXN1,-0.076049596,-2.6141534
IRF2BPL,-0.07714716,-2.6003656
PHIP,-0.07116654,-2.6781049
NFE2L3,-0.04316479,-3.1642342
SKI,-0.048021547,-3.0600212
PSMD12,-0.0399989,-3.238837
KCNB1,-0.04199006,-3.1912434
