,0,1,2,3,4,5,6,7
SCN2A,0.9835664,0.9872904,0.98970485,0.98331904,0.9845049,0.98448205,0.99216413,0.9836663
CHD8,0.9958091,0.99671555,0.9972982,0.9956094,0.9958961,0.9957961,0.99788725,0.9953805
ADNP,0.99177295,0.9936677,0.9947771,0.99146616,0.99213886,0.9919815,0.9959894,0.9914299
SHANK3,1.0001209,1.0002749,1.0001228,1.0002077,1.0002108,0.9999218,1.0000963,0.9995103
PTEN,0.9863337,0.98949647,0.9915047,0.98607326,0.9870751,0.9868401,0.9935446,0.9869931
SYNGAP1,1.0021853,1.0016711,1.0014731,1.002418,1.0021079,1.0021279,1.0011158,1.0020261
MECP2,1.0009719,1.0007875,1.0007087,1.0010443,1.0009974,1.0009001,1.0005682,1.0014446
KDM5B,0.99330497,0.9948182,0.995813,0.9930734,0.99365145,0.99357486,0.99680364,0.9936641
FOXP1,0.9936645,0.9952432,0.9960903,0.9935708,0.99411076,0.99392897,0.9970573,0.9937459
ARID1B,0.993489,0.99495935,0.995981,0.9934727,0.99395704,0.99396956,0.996977,0.9936987
POGZ,0.9932972,0.99474704,0.9959777,0.99343467,0.9937731,0.9939592,0.99698937,0.9944555
ASH1L,0.99725217,0.9978521,0.9982164,0.9970667,0.99729526,0.9974643,0.9986526,0.997483
KMT5B,0.99202573,0.9938394,0.9949235,0.99174523,0.9923674,0.99248004,0.9961525,0.9917241
SLC6A1,0.9952811,0.99641764,0.99709433,0.9952389,0.9956201,0.9956641,0.9978864,0.9964731
GIGYF1,0.99954987,0.9996562,0.9996152,0.9993899,0.99940705,0.9992143,0.99962664,0.9990948
DYRK1A,0.9974295,0.9980447,0.9982399,0.9971539,0.99753374,0.99770343,0.99872124,0.9975935
CHD2,0.99781054,0.9983664,0.9987351,0.9978659,0.99807763,0.9978599,0.99904007,0.9978564
ASXL3,0.9880653,0.99062693,0.99198115,0.98711705,0.9882902,0.9881013,0.9937911,0.9877006
TAOK1,0.9938176,0.9951414,0.99598855,0.99347496,0.99398077,0.9940625,0.9969177,0.9940749
DNMT3A,0.9969859,0.9977414,0.99845517,0.9973688,0.9975141,0.99737465,0.9989043,0.99744296
GRIN2B,1.0042559,1.0032824,1.0026263,1.0042579,1.0039697,1.0038724,1.00194,1.0038229
BRSK2,0.9994652,0.9996152,0.999732,0.99962616,0.99971306,0.9996881,0.9998494,0.9987979
KMT2A,0.9908271,0.9929602,0.99399614,0.9902717,0.99113464,0.99076885,0.9953413,0.99036
NF1,0.9967454,0.9974023,0.9979557,0.99673617,0.9968717,0.9970076,0.9984524,0.9969677
STXBP1,0.99526954,0.9962861,0.99699354,0.9950726,0.9954558,0.99554527,0.99770033,0.9956067
CUL3,0.99867505,0.9990842,0.99921376,0.99863315,0.99888796,0.99872106,0.9994389,0.9984778
MED13L,0.99713826,0.9976852,0.99834967,0.9973649,0.9973549,0.99762297,0.99877673,0.9975673
ANK2,0.9895718,0.9917586,0.9933431,0.9891816,0.98990417,0.99026954,0.99490035,0.9898877
MYT1L,0.9902191,0.9924439,0.99380875,0.98989344,0.99077296,0.99089265,0.9952999,0.990065
RORB,1.0038908,1.0027286,1.0019658,1.0033815,1.0030863,1.0032942,1.001329,1.0028746
TBL1XR1,0.99667275,0.997515,0.99788344,0.9965156,0.996909,0.9966637,0.9983839,0.9966861
TBR1,0.9912325,0.99317765,0.9949064,0.99151987,0.99212146,0.9921962,0.9962995,0.99420667
DYNC1H1,0.9926642,0.99428725,0.9951241,0.9921283,0.9928296,0.9927114,0.9962187,0.9925147
WAC,0.9928601,0.9944917,0.99542356,0.9925355,0.9931014,0.9930649,0.99648184,0.99269044
PHF21A,1.000346,1.0003595,1.0003302,1.0004256,1.0003853,1.0005317,1.0003603,1.0012717
KDM6B,0.9953418,0.9964342,0.9971174,0.99527323,0.9957278,0.995698,0.997857,0.9951178
DDX3X,0.9946743,0.9958754,0.9967566,0.99469423,0.9949712,0.9949924,0.9975312,0.9947229
CTNNB1,0.99341536,0.99499923,0.99596775,0.99331796,0.99392885,0.99368495,0.9969723,0.9939178
MED13,0.9939097,0.9953536,0.9962524,0.99391687,0.99445343,0.9941348,0.99716765,0.99364364
ANKRD11,0.9927218,0.99439096,0.9951143,0.9920907,0.9928859,0.9925131,0.99618405,0.9922104
CTCF,0.9944414,0.99571896,0.9963393,0.99397624,0.9945915,0.99427223,0.9971527,0.9945311
RFX3,0.9991937,0.9994496,0.99922264,0.99878836,0.9991374,0.9988751,0.9993843,0.99897575
ARHGEF9,1.0014884,1.0012367,1.0010377,1.001621,1.0015045,1.0014659,1.0008043,1.0008018
SHANK2,0.996024,0.99689937,0.99721193,0.99559045,0.99595284,0.99582684,0.99780726,0.9961797
DEAF1,0.99996555,0.99997425,0.9999237,0.9999566,0.9999641,0.9998479,0.99993,1.0000952
SMARCC2,0.9940727,0.9954291,0.99610406,0.99366856,0.9943106,0.9942231,0.99702907,0.9940945
TLK2,0.999411,0.99969673,0.9995991,0.9993353,0.9994863,0.99918276,0.99970305,0.9990057
TCF20,0.99739236,0.9979404,0.99821067,0.9971327,0.99744964,0.99747145,0.99861205,0.99692106
CNOT3,1.0011941,1.0009828,1.0011687,1.0017622,1.0014746,1.0014309,1.0009673,1.0021008
SYNCRIP,0.9883635,0.9910691,0.9926168,0.98794943,0.98895586,0.9887551,0.99438006,0.98832226
SETD5,0.9994124,0.99954987,0.99946,0.9991361,0.99927795,0.9991337,0.9995364,0.9991578
NAA15,0.9964986,0.9972489,0.99789137,0.9965606,0.9966885,0.9967632,0.998393,0.9965814
SCN1A,0.99948376,0.99993706,1.0001471,0.9999832,0.9998815,0.99948937,1.0001979,1.0000356
EHMT1,0.99436057,0.995474,0.99638295,0.9941994,0.99464226,0.9947504,0.9972477,0.9944647
TCF4,0.99263644,0.9944011,0.9954356,0.99250185,0.9930087,0.9926027,0.9964584,0.9927291
SRPRA,1.001488,1.0010797,1.0009054,1.0014755,1.0013661,1.0012851,1.0006652,1.0017824
MARK2,1.0032752,1.0026098,1.0015405,1.0026488,1.0026842,1.002468,1.0010748,1.001669
KMT2C,0.99102247,0.99300873,0.99411285,0.9904621,0.9912631,0.9910505,0.99542755,0.99105823
MBD5,1.002619,1.0019516,1.0014886,1.0024586,1.0021667,1.0021813,1.0010793,1.0025082
NRXN1,0.99266326,0.9943474,0.9954453,0.9925324,0.9930736,0.9929489,0.99649096,0.99266136
