,0,1,2,3,4,5,6,7
SCN2A,-0.0009915214,-0.0021044016,-0.0019134171,0.000622998,-0.004748963,-0.000498218,0.00097267237,0.000110077905
CHD8,-0.00026310422,-0.0006694831,-0.0005159471,0.00016055163,-0.0004079193,-0.00010472536,0.00026705768,3.0611292e-05
ADNP,-0.0006104633,-0.0012102816,-0.0010455679,0.00031741522,-0.002414748,-0.00022628065,0.0005578594,6.000558e-05
SHANK3,7.422827e-05,-5.5577606e-05,5.4026023e-05,-2.6313588e-05,-0.00046131015,9.0215355e-05,-6.629154e-06,1.0605436e-07
PTEN,-0.0011375528,-0.0019183699,-0.0017092507,0.0005405983,-0.004262224,-0.00048115803,0.0008871099,0.000104490086
SYNGAP1,0.00023920089,0.00032726675,0.00038926862,-9.132922e-05,0.0010307878,8.563232e-05,-0.00024578534,-2.1565822e-05
MECP2,-1.4888123e-05,4.493259e-05,0.000157075,-3.3203512e-05,0.0004563704,-1.42669305e-05,-9.890646e-05,-5.262322e-06
KDM5B,-0.0005940087,-0.0009692516,-0.0007894039,0.00026292074,-0.0020404235,-0.00025565736,0.00038575009,5.034567e-05
FOXP1,-0.000523122,-0.0008932743,-0.0007629059,0.00023519434,-0.0025382414,-0.0001769308,0.00040923618,4.2962725e-05
ARID1B,-0.00034705736,-0.0007777028,-0.0006390214,0.00023153517,-0.0012766868,-0.00019833632,0.00030107703,3.729749e-05
POGZ,-0.00046887808,-0.00090613216,-0.00074094534,0.0002768878,-0.0012258068,-0.00031353254,0.00033496786,4.1980762e-05
ASH1L,-0.00020412356,-0.000534093,-0.00037270784,0.00010783877,-0.0008741617,-8.931942e-05,0.00021262001,1.8083141e-05
KMT5B,-0.00050352886,-0.0011642762,-0.0010267869,0.00031538028,-0.0021721274,-0.000217285,0.000547301,5.3962576e-05
SLC6A1,-0.00029552728,-0.00076446496,-0.0005620122,0.00015645754,-0.0015152767,-0.00015718397,0.00033165608,3.2561715e-05
