,0,1
SCN2A,12.80278,4.8571544
CHD8,12.80278,4.8571544
ADNP,12.80278,4.8571544
SHANK3,12.80278,4.8571544
PTEN,12.80278,4.8571544
SYNGAP1,12.80278,4.8571544
MECP2,12.80278,4.8571544
KDM5B,12.80278,4.8571544
FOXP1,12.80278,4.8571544
ARID1B,12.80278,4.8571544
POGZ,12.80278,4.8571544
ASH1L,12.80278,4.8571544
KMT5B,12.80278,4.8571544
SLC6A1,12.80278,4.8571544
GIGYF1,12.80278,4.8571544
DYRK1A,12.80278,4.8571544
CHD2,12.80278,4.8571544
ASXL3,12.80278,4.8571544
TAOK1,12.80278,4.8571544
DNMT3A,12.80278,4.8571544
GRIN2B,12.80278,4.8571544
BRSK2,12.80278,4.8571544
KMT2A,12.80278,4.8571544
NF1,12.80278,4.8571544
STXBP1,12.80278,4.8571544
CUL3,12.80278,4.8571544
MED13L,12.80278,4.8571544
ANK2,12.80278,4.8571544
MYT1L,12.80278,4.8571544
RORB,12.80278,4.8571544
TBL1XR1,12.80278,4.8571544
TBR1,12.80278,4.8571544
DYNC1H1,12.80278,4.8571544
WAC,12.80278,4.8571544
PHF21A,12.80278,4.8571544
KDM6B,12.80278,4.8571544
DDX3X,12.80278,4.8571544
CTNNB1,12.80278,4.8571544
MED13,12.80278,4.8571544
ANKRD11,12.80278,4.8571544
CTCF,12.80278,4.8571544
RFX3,12.80278,4.8571544
ARHGEF9,12.80278,4.8571544
SHANK2,12.80278,4.8571544
DEAF1,12.80278,4.8571544
SMARCC2,12.80278,4.8571544
TLK2,12.80278,4.8571544
TCF20,12.80278,4.8571544
CNOT3,12.80278,4.8571544
SYNCRIP,12.80278,4.8571544
SETD5,12.80278,4.8571544
NAA15,12.80278,4.8571544
SCN1A,12.80278,4.8571544
EHMT1,12.80278,4.8571544
TCF4,12.80278,4.8571544
SRPRA,12.80278,4.8571544
MARK2,12.80278,4.8571544
KMT2C,12.80278,4.8571544
MBD5,12.80278,4.8571544
NRXN1,12.80278,4.8571544
IRF2BPL,12.80278,4.8571544
PHIP,12.80278,4.8571544
NFE2L3,12.80278,4.8571544
SKI,12.80278,4.8571544
PSMD12,12.80278,4.8571544
KCNB1,12.80278,4.8571544
CSDE1,12.80278,4.8571544
TSC1,12.80278,4.8571544
DMWD,12.80278,4.8571544
CLCN4,12.80278,4.8571544
MEIS2,12.80278,4.8571544
PBX1,12.80278,4.8571544
HNRNPD,12.80278,4.8571544
BCL11A,12.80278,4.8571544
TCF7L2,12.80278,4.8571544
WDFY3,12.80278,4.8571544
PHF3,12.80278,4.8571544
SETBP1,12.80278,4.8571544
TGM1,12.80278,4.8571544
EBF3,12.80278,4.8571544
PPP2R5D,12.80278,4.8571544
TAF4,12.80278,4.8571544
KCNQ2,12.80278,4.8571544
CAPRIN1,12.80278,4.8571544
DSCAM,12.80278,4.8571544
GABBR2,12.80278,4.8571544
PRKG2,12.80278,4.8571544
UBN2,12.80278,4.8571544
MEF2C,12.80278,4.8571544
TRIP12,12.80278,4.8571544
EP300,12.80278,4.8571544
NR3C2,12.80278,4.8571544
ARHGEF18,12.80278,4.8571544
TNPO3,12.80278,4.8571544
SMAD6,12.80278,4.8571544
AMOT,12.80278,4.8571544
AUTS2,12.80278,4.8571544
NCKAP1,12.80278,4.8571544
DLG4,12.80278,4.8571544
ECPAS,12.80278,4.8571544
PRKAR1B,12.80278,4.8571544
FUBP3,12.80278,4.8571544
GRIA2,12.80278,4.8571544
CCDC40,12.80278,4.8571544
GABRA1,12.80278,4.8571544
TSC2,12.80278,4.8571544
C1orf185,12.80278,4.8571544
METTL23,12.80278,4.8571544
HNRNPUL2,12.80278,4.8571544
PAX5,12.80278,4.8571544
ATF4,12.80278,4.8571544
RERE,12.80278,4.8571544
DHFR2,12.80278,4.8571544
TMC4,12.80278,4.8571544
FXYD5,12.80278,4.8571544
EBAG9,12.80278,4.8571544
ITGB5,12.80278,4.8571544
INTS2,12.80278,4.8571544
RAI1,12.80278,4.8571544
FOXG1,12.80278,4.8571544
PLEKHG6,12.80278,4.8571544
MAVS,12.80278,4.8571544
C1QC,12.80278,4.8571544
TMEM116,12.80278,4.8571544
SIN3A,12.80278,4.8571544
ANP32A,12.80278,4.8571544
PRR14L,12.80278,4.8571544
