,0
SCN2A,-7.330329
CHD8,1.4949646
ADNP,-3.6419163
SHANK3,-2.133961
PTEN,-1.9101714
SYNGAP1,-4.9742775
MECP2,-3.728154
KDM5B,-6.3863244
FOXP1,-1.0196295
ARID1B,-5.1798096
POGZ,-4.199855
ASH1L,11.755459
KMT5B,-1.4078047
SLC6A1,-3.9168346
GIGYF1,-5.2481956
DYRK1A,-3.6969087
CHD2,10.636925
ASXL3,2.569072
TAOK1,2.8412323
DNMT3A,-2.0657136
GRIN2B,-4.8705196
BRSK2,-3.574531
KMT2A,-10.158831
NF1,-7.6362953
STXBP1,-4.202201
CUL3,-4.0713925
MED13L,8.360626
ANK2,-8.280235
MYT1L,-3.9849248
RORB,-3.6578243
TBL1XR1,-3.2747896
TBR1,-4.509015
DYNC1H1,-11.0938
WAC,-0.9910958
PHF21A,-3.2912683
KDM6B,-3.060507
DDX3X,-3.357482
CTNNB1,-3.7681296
MED13,-3.4736814
ANKRD11,-5.1506777
CTCF,-3.1474357
RFX3,-3.7957182
ARHGEF9,-3.4812307
SHANK2,-0.88097906
DEAF1,-3.3405695
SMARCC2,4.972186
TLK2,-4.380398
TCF20,1.0494547
CNOT3,-3.4503345
SYNCRIP,4.525521
SETD5,-3.5637631
NAA15,-0.6369324
SCN1A,-8.989729
EHMT1,-5.2455974
TCF4,-3.6890774
SRPRA,-3.3840795
MARK2,-2.1000352
KMT2C,31.825766
MBD5,-3.6977308
NRXN1,-4.4751873
IRF2BPL,-2.9761353
PHIP,-5.6779437
NFE2L3,-2.964651
SKI,-3.8457837
PSMD12,-3.1780763
KCNB1,-3.6535172
CSDE1,6.359518
TSC1,-4.8082213
DMWD,-3.1027997
CLCN4,-2.1413682
MEIS2,-3.2673144
PBX1,-1.0749695
HNRNPD,-3.0335045
BCL11A,-2.773505
TCF7L2,-5.2777863
WDFY3,-5.2572994
PHF3,-2.7143352
SETBP1,-3.4048595
TGM1,-3.595263
EBF3,-3.133344
PPP2R5D,-3.707937
TAF4,-3.3987935
KCNQ2,-6.0026245
CAPRIN1,-3.2462578
DSCAM,-3.6079757
GABBR2,-4.8657265
PRKG2,-3.5705497
UBN2,-3.2774177
MEF2C,-3.450467
TRIP12,0.30588913
EP300,13.283155
NR3C2,-4.7895613
ARHGEF18,-4.113969
TNPO3,-2.6130095
SMAD6,-4.314068
AMOT,-3.7955155
AUTS2,-3.5254383
NCKAP1,-4.0683975
DLG4,4.4212494
ECPAS,-6.7121325
PRKAR1B,-3.697435
FUBP3,-3.3033016
GRIA2,8.555899
CCDC40,-4.0498075
GABRA1,0.068443775
TSC2,-6.52256
C1orf185,-2.4616194
METTL23,-2.5306227
HNRNPUL2,-3.9412475
PAX5,-2.9172227
ATF4,-2.3026571
RERE,-5.040106
DHFR2,-2.6376307
TMC4,-3.5892603
FXYD5,-2.6455095
EBAG9,-2.4731236
ITGB5,-4.816245
INTS2,-4.0900135
RAI1,-3.8921027
FOXG1,-3.5827026
PLEKHG6,-4.288604
MAVS,-2.6412377
C1QC,-2.8371093
TMEM116,-0.8653202
SIN3A,-4.683539
ANP32A,-2.5860517
PRR14L,-4.1783934
CSNK2B,-2.804885
PMM2,-2.0721552
PFN2,-2.7528863
LMTK3,-2.2630959
SPRY2,-2.7838686
CMPK2,-2.8712616
IQSEC2,-4.342785
RIPK1,-3.2481358
TPK1,-2.9097486
CASZ1,-3.4687865
ZBTB45,-2.947184
NUDT17,-2.8645804
FANCE,-2.789703
ZNF396,-2.9113815
NR4A2,1.084557
TBCEL,-1.0203662
ADAM21,-2.981494
TCF3,-3.9189548
AAAS,-4.004379
CELF6,-2.9077346
INSC,-3.0328958
ZMYND8,-3.4737248
CLTC,-4.445346
TCHHL1,-0.99044085
CTDSPL2,-2.941202
ZNF292,4.675972
KCNQ3,-3.8586261
RALGAPB,-3.770739
SRCAP,-9.003603
RAB11FIP4,-2.9132624
ZNF865,-3.0460637
CASKIN1,-2.3745186
RANBP17,-4.148639
FBN1,-12.147314
ACTB,-1.6640043
CNNM2,-4.499699
TSHZ1,-3.078442
UPF3B,-2.9538221
PHF2,-4.0864797
FMR1,-3.0808372
MIB1,9.971177
FADS1,-3.0980842
FRMD7,-3.2889798
LDB1,-3.2333837
PCDH19,-4.173688
EIF3G,-2.607761
MYO1E,-5.8294215
ZFAND5,-1.2377703
CFAP410,-2.6996691
BICRA,-3.1642413
MYBL2,-3.2833574
KIAA1958,1.3524337
GABRG2,-0.6438596
SKIDA1,-3.2808745
PSMA3,-2.6021738
TTC37,-2.822098
PCYT1A,-0.19754171
AP1G1,-4.1962094
FEZF2,-2.7865107
FGF19,-2.6963265
MSL3,-2.6697807
SON,1.9158597
DNAJC5,-2.606351
FBXO22,-2.6880834
TNFRSF8,-3.3352368
HDAC11,-3.5467067
SSR2,-2.6363418
ACTG1,5.280734
PNN,-3.1005783
RUNX1T1,-2.8932025
APBB1,-3.2615333
CERS4,-3.4155903
CELF4,-2.8620892
ZBTB14,-2.744673
ATAT1,-3.3898087
RBBP5,-3.429422
G3BP1,-3.370345
WNT7B,-3.9443402
BDP1,-4.7407694
RNF217,-3.3796103
CBX4,-0.52858686
NME8,-3.4085658
DCUN1D3,-2.9477463
ENC1,-0.47458482
UBB,0.3904109
NEO1,-3.9053962
SLC4A10,6.351551
BRF2,-1.4361587
PSMD11,-3.288846
NR2F1,-2.4688354
CASK,3.1534863
SARM1,-3.889335
TPST2,-2.9048252
FPGS,-3.590576
QRICH1,-3.3591285
LRP10,-4.01845
CD101,-3.5715146
INTS7,-3.4669986
SMAD4,-2.6413465
STARD10,-2.9194944
CNTNAP3,-3.561337
DHX37,-4.689347
GABRB3,-3.6377826
NDNF,-2.987399
FARP2,-3.6225486
SLF1,-3.517696
HDAC4,-4.4920034
CNGB3,-1.9759405
PCDHGA8,-3.652083
TSPAN4,-1.9931586
FUK,-4.632252
SULT1A1,-3.0702128
NTS,-2.5295198
MAN1A1,-3.6784286
FAM57B,-2.9781327
RFX8,-3.0206573
NACC1,-3.1178389
ZSWIM4,-3.458714
PPCS,-3.0699005
SUSD4,-3.110968
TMEM165,-1.8690925
RIMBP2,-3.3665395
PSMD6,-2.9622436
ITPKA,-3.0944705
MSL2,-2.8033502
RNF146,5.953592
NSD2,-5.612531
SOX11,-1.9903498
SLC34A1,-3.5628161
ADPGK,-3.0375404
TCERG1,-0.26821136
ZBTB18,-3.028902
TAF6,-3.7085304
BCL11B,-2.8435717
PPM1M,-3.1057935
PUF60,-1.9583728
CUX2,-4.5076394
GPC5,-3.0601087
SERPINI1,-3.0839443
SATB2,-3.4552653
CRISPLD1,-3.757512
