,0,1
SCN2A,-0.077166036,-2.6001315
CHD8,-0.20957188,-1.6656451
ADNP,-0.057088096,-2.8915677
SHANK3,-0.044268463,-3.1395342
PTEN,-0.05732497,-2.887544
SYNGAP1,-0.03349073,-3.4131835
MECP2,-0.040534325,-3.2258036
KDM5B,-0.060893074,-2.828928
FOXP1,-0.053700816,-2.9510577
ARID1B,-0.07159898,-2.6722612
POGZ,-0.06477123,-2.7691047
ASH1L,-0.12128282,-2.169659
KMT5B,-0.06364265,-2.7861235
SLC6A1,-0.07296877,-2.6539867
GIGYF1,-0.050765563,-3.0058117
DYRK1A,-0.061166834,-2.8245783
CHD2,-0.10826621,-2.2768066
ASXL3,-0.045539964,-3.1118479
TAOK1,-0.108384416,-2.2757738
DNMT3A,-0.0383659,-3.279708
GRIN2B,-0.030284762,-3.512216
BRSK2,-0.03795913,-3.290165
KMT2A,-0.095176786,-2.3992295
NF1,-0.05196184,-2.9831152
STXBP1,-0.053469755,-2.9552555
CUL3,-0.050703924,-3.0069962
MED13L,-0.11464179,-2.222716
ANK2,-0.07078233,-2.683328
MYT1L,-0.07663751,-2.606742
RORB,-0.020541083,-3.8955822
TBL1XR1,-0.06378347,-2.7839837
TBR1,-0.02415804,-3.7351904
DYNC1H1,-0.09350385,-2.416141
WAC,-0.0640229,-2.7803545
PHF21A,-0.052210905,-2.9784546
KDM6B,-0.032026023,-3.4571753
DDX3X,-0.053466704,-2.9553108
CTNNB1,-0.06218194,-2.808621
MED13,-0.090930626,-2.4427788
ANKRD11,-0.0709226,-2.6814177
CTCF,-0.051357653,-2.9945111
RFX3,-0.055529475,-2.9184785
ARHGEF9,-0.02669574,-3.636571
SHANK2,-0.056519333,-2.9012983
DEAF1,-0.031048013,-3.4877026
SMARCC2,-0.07503609,-2.627069
TLK2,-0.050901186,-3.0032108
TCF20,-0.041842364,-3.194693
CNOT3,-0.015500666,-4.174614
SYNCRIP,-0.074911565,-2.6286697
SETD5,-0.06766438,-2.7268362
NAA15,-0.038216062,-3.283545
SCN1A,-0.039979544,-3.2393103
EHMT1,-0.060611606,-2.8334212
TCF4,-0.077142194,-2.6004276
SRPRA,-0.015306273,-4.187133
MARK2,-0.02826527,-3.5802197
KMT2C,-0.17684385,-1.8196073
MBD5,-0.030260589,-3.5130014
NRXN1,-0.054339044,-2.939558
IRF2BPL,-0.09172403,-2.4344828
PHIP,-0.09437397,-2.4073055
NFE2L3,-0.03066669,-3.4998734
SKI,-0.051578674,-2.9903257
PSMD12,-0.014392847,-4.248214
KCNB1,-0.023645675,-3.7563746
CSDE1,-0.08196405,-2.5421762
TSC1,-0.038676407,-3.2718012
DMWD,-0.0452407,-3.118294
CLCN4,-0.038313586,-3.2810457
MEIS2,-0.06123187,-2.8235466
PBX1,-0.106777586,-2.2899208
HNRNPD,-0.049120218,-3.037945
BCL11A,-0.055663325,-2.9161355
TCF7L2,-0.0372109,-3.3097029
WDFY3,-0.06909253,-2.7066553
PHF3,-0.048601978,-3.0482938
SETBP1,-0.04822877,-3.0558176
TGM1,-0.029745556,-3.5299115
EBF3,-0.11400827,-2.2279468
PPP2R5D,-0.020799963,-3.8831847
TAF4,-0.04269977,-3.1748366
KCNQ2,-0.025138624,-3.695892
CAPRIN1,-0.047966894,-3.0611315
DSCAM,-0.036020983,-3.3416088
GABBR2,-0.050884306,-3.0035353
PRKG2,-0.035192356,-3.3644702
UBN2,-0.05040393,-3.0127819
MEF2C,-0.066821985,-2.7389479
TRIP12,-0.11829863,-2.1931095
EP300,-0.103353545,-2.3208318
NR3C2,-0.02234321,-3.8123817
ARHGEF18,-0.0261359,-3.6574864
TNPO3,-0.020677596,-3.8890228
SMAD6,-0.02854452,-3.5705304
AMOT,-0.019930225,-3.9254637
AUTS2,-0.06774515,-2.7256844
NCKAP1,-0.06577832,-2.754174
DLG4,-0.075533636,-2.620706
ECPAS,-0.03829328,-3.281567
PRKAR1B,-0.055009585,-2.9276273
FUBP3,-0.038278364,-3.2819493
GRIA2,-0.07169785,-2.67093
CCDC40,-0.015817529,-4.154537
GABRA1,-0.03150335,-3.4733715
TSC2,-0.035708155,-3.350176
C1orf185,-0.037778925,-3.2948341
METTL23,-0.030414632,-3.5079985
HNRNPUL2,-0.040095106,-3.2364814
PAX5,-0.09477242,-2.4032886
ATF4,-0.05741209,-2.8860688
RERE,-0.054371107,-2.9389856
DHFR2,-0.021160206,-3.8661933
TMC4,-0.04551092,-3.112473
FXYD5,-0.012747117,-4.368813
EBAG9,-0.020983368,-3.8744996
ITGB5,-0.025066778,-3.6987205
INTS2,-0.03247757,-3.4434016
RAI1,-0.052592807,-2.9713576
FOXG1,-0.06511944,-2.7639153
PLEKHG6,-0.028529458,-3.57105
MAVS,-0.03615011,-3.3380969
C1QC,-0.030977285,-3.4899511
TMEM116,-0.017388396,-4.060634
SIN3A,-0.038270105,-3.2821608
ANP32A,-0.0346399,-3.3800192
PRR14L,-0.04431009,-3.1386154
CSNK2B,-0.05894025,-2.8605564
PMM2,-0.014227267,-4.259701
PFN2,-0.047359835,-3.0735683
LMTK3,-0.027166521,-3.6193233
SPRY2,-0.047691654,-3.0667508
CMPK2,-0.027085656,-3.622261
IQSEC2,-0.021419391,-3.8541489
RIPK1,-0.022727486,-3.7955213
TPK1,-0.023252435,-3.7729502
CASZ1,-0.034465548,-3.3849795
ZBTB45,-0.025686475,-3.6746087
NUDT17,-0.02826388,-3.5802684
FANCE,-0.023698647,-3.7541635
ZNF396,-0.029787907,-3.5285113
NR4A2,-0.08441165,-2.5139585
TBCEL,-0.020225596,-3.910903
ADAM21,-0.03660796,-3.3257363
TCF3,-0.030307429,-3.511478
AAAS,-0.031207826,-3.4826481
CELF6,-0.028663263,-3.5664353
INSC,-0.036938194,-3.3169217
ZMYND8,-0.057442483,-2.8855553
CLTC,-0.07031054,-2.6897836
TCHHL1,-0.037693862,-3.2970471
CTDSPL2,-0.02097193,-3.8750398
ZNF292,-0.10834494,-2.2761183
KCNQ3,-0.04324505,-3.1624157
RALGAPB,-0.048471723,-3.0509117
SRCAP,-0.021475982,-3.8515415
RAB11FIP4,-0.04219099,-3.186569
ZNF865,-0.022606637,-3.800792
CASKIN1,-0.031193499,-3.4831035
RANBP17,-0.019694496,-3.937245
FBN1,-0.041103557,-3.212143
ACTB,-0.09973692,-2.3546731
CNNM2,-0.031512707,-3.4730802
TSHZ1,-0.034113176,-3.3950799
UPF3B,-0.041303523,-3.2073874
PHF2,-0.040983077,-3.2150164
FMR1,-0.04008308,-3.2367747
MIB1,-0.071424626,-2.6746128
FADS1,-0.04088238,-3.217427
FRMD7,-0.03772543,-3.296224
LDB1,-0.026943749,-3.6274452
PCDH19,-0.069874644,-2.695787
EIF3G,-0.02323077,-3.7738726
MYO1E,-0.020128628,-3.915662
ZFAND5,-0.077749096,-2.592891
CFAP410,-0.027846018,-3.5949547
BICRA,-0.038008362,-3.2888925
MYBL2,-0.015473082,-4.176379
KIAA1958,-0.02686449,-3.6303523
GABRG2,-0.03466051,-3.3794339
SKIDA1,-0.01751761,-4.0532966
PSMA3,-0.02936617,-3.5425603
TTC37,-0.047346987,-3.0738335
PCYT1A,-0.028368983,-3.5766091
AP1G1,-0.05218058,-2.979021
FEZF2,-0.043319482,-3.1607344
FGF19,-0.031783544,-3.464657
MSL3,-0.04039191,-3.2292538
SON,-0.09611909,-2.389842
DNAJC5,-0.056896895,-2.894828
FBXO22,-0.026754238,-3.634408
TNFRSF8,-0.04525745,-3.1179323
HDAC11,-0.015447845,-4.1780033
SSR2,-0.03670518,-3.323135
ACTG1,-0.10924425,-2.2682943
PNN,-0.05382734,-2.9487658
RUNX1T1,-0.09748849,-2.3763692
APBB1,-0.039870042,-3.241999
CERS4,-0.03213893,-3.4537153
CELF4,-0.09101346,-2.4419088
ZBTB14,-0.019631727,-3.9404066
ATAT1,-0.061144855,-2.8249269
RBBP5,-0.034245316,-3.3912783
G3BP1,-0.028678322,-3.5659175
WNT7B,-0.019100312,-3.9675863
BDP1,-0.068110146,-2.7204907
RNF217,-0.012914118,-4.3558817
CBX4,-0.06408965,-2.7793458
NME8,-0.037778925,-3.2948341
DCUN1D3,-0.022095108,-3.8234239
ENC1,-0.08398877,-2.5187726
UBB,-0.09180082,-2.4336832
NEO1,-0.076802894,-2.6046689
SLC4A10,-0.08321586,-2.5276365
BRF2,-0.010194493,-4.591004
PSMD11,-0.039232023,-3.2578127
NR2F1,-0.05023684,-3.0160196
CASK,-0.0552051,-2.9241753
SARM1,-0.023731476,-3.752796
TPST2,-0.021827932,-3.8354583
FPGS,-0.03149492,-3.4736342
QRICH1,-0.033090502,-3.4250083
LRP10,-0.019181125,-3.9634025
CD101,-0.03311022,-3.4244232
INTS7,-0.015718022,-4.1607966
SMAD4,-0.042628605,-3.176469
STARD10,-0.027699813,-3.6001484
CNTNAP3,-0.033761375,-3.4052725
DHX37,-0.01614661,-4.13411
GABRB3,-0.05295286,-2.964713
NDNF,-0.018792676,-3.9836702
FARP2,-0.028140567,-3.5845795
SLF1,-0.015401713,-4.180968
HDAC4,-0.034963652,-3.3708777
CNGB3,-0.035524096,-3.355253
PCDHGA8,-0.048559166,-3.0491543
TSPAN4,-0.016949557,-4.085975
FUK,-0.037778925,-3.2948341
SULT1A1,-0.017650437,-4.045808
NTS,-0.019919941,-3.9259775
MAN1A1,-0.01931338,-3.9565964
FAM57B,-0.037778925,-3.2948341
RFX8,-0.03437099,-3.3876781
NACC1,-0.01966434,-3.938767
ZSWIM4,-0.031799596,-3.4641595
PPCS,-0.03533885,-3.3603907
SUSD4,-0.023561263,-3.7599065
TMEM165,-0.047047466,-3.0800302
RIMBP2,-0.04416673,-3.1417847
PSMD6,-0.02948169,-3.5386906
ITPKA,-0.026554126,-3.6418176
MSL2,-0.05330487,-2.958262
RNF146,-0.046998445,-3.0810487
NSD2,-0.061780702,-2.8148947
SOX11,-0.10966855,-2.264626
SLC34A1,-0.036895342,-3.3180609
ADPGK,-0.024478106,-3.7221909
TCERG1,-0.058798295,-2.8628983
ZBTB18,-0.032907456,-3.4304647
TAF6,-0.031586748,-3.4707685
BCL11B,-0.057355475,-2.8870273
PPM1M,-0.017881611,-4.0329103
PUF60,-0.029687697,-3.5318282
CUX2,-0.03628635,-3.3344011
GPC5,-0.024090663,-3.7379522
SERPINI1,-0.034320652,-3.389119
SATB2,-0.069903105,-2.6953936
CRISPLD1,-0.04452743,-3.1338308
ZMYM2,-0.06114553,-2.8249161
DBF4,-0.022486005,-3.806084
ZMYND11,-0.06646824,-2.7440803
TNFAIP8L3,-0.03146165,-3.4746768
PCDHGA12,-0.041049324,-3.2134366
ARHGEF2,-0.03808984,-3.2867908
CFAP70,-0.012642124,-4.3770375
HPS6,-0.016639384,-4.104288
JARID2,-0.081729434,-2.544928
SNCA,-0.03428241,-3.3902135
KDM6A,-0.021497333,-3.8505564
ASB14,-0.024498928,-3.7213502
CALU,-0.038728587,-3.2704804
HNRNPL,-0.03731656,-3.306917
KLHL25,-0.025998851,-3.6626763
AHDC1,-0.040283136,-3.231896
CTR9,-0.03442224,-3.3862135
