,0,1,2,3,4,5,6,7
SCN2A,-0.9642386,-0.21298328,-0.27819124,0.6212204,-0.6904609,-0.26803574,-0.6789484,0.62580454
CHD8,-0.5067958,-0.21471769,-0.13218255,0.49238625,-0.7695197,-0.123739205,-0.43456256,0.32929695
ADNP,-0.8660044,-0.15760286,0.0030350536,0.68050236,-0.8843446,-0.30923733,-0.42458862,0.38682717
SHANK3,-0.588133,-0.5001463,-0.07754601,0.7189213,-0.8722794,0.09770294,-0.47130266,0.4518739
PTEN,-0.73195845,-0.029554106,-0.11391399,0.46907383,-0.78942823,-0.31697848,-0.4786459,0.34063944
SYNGAP1,-0.40557298,-0.29709452,-0.101465896,0.6322387,-0.8852074,-0.01042772,-0.448491,0.45246616
MECP2,-0.57267374,-0.14217345,-0.22226673,0.5571095,-0.7100191,-0.20966792,-0.5621857,0.29828298
KDM5B,-0.83603567,-0.041863054,-0.14750671,0.7012578,-0.760869,-0.42445487,-0.5078123,0.21415634
FOXP1,-0.9324596,-0.1659165,-0.023301095,0.74919236,-0.8644092,-0.40285763,-0.45055398,0.4236724
ARID1B,-0.80609936,-0.19773726,-0.07693081,0.5382449,-0.78966117,-0.24588433,-0.6102229,0.40898213
POGZ,-0.8098968,-0.15210766,-0.1096293,0.5671805,-0.85278714,-0.34073976,-0.5488382,0.34642807
ASH1L,-0.80689186,-0.2412813,-0.04087987,0.66542935,-0.87368417,-0.3498775,-0.49017152,0.36920032
KMT5B,-0.8155157,-0.18570653,-0.21085474,0.6305936,-0.69056535,-0.28027666,-0.54015905,0.40048298
SLC6A1,-0.85191005,-0.527003,-0.2358965,0.34467706,-0.6163266,0.18069805,-0.52505064,0.42337617
GIGYF1,-0.74032474,-0.2436417,-0.20463338,0.513793,-0.8097875,-0.04604926,-0.48188305,0.2733158
DYRK1A,-0.8415006,-0.20201641,-0.16034862,0.7097447,-0.8004712,-0.2634775,-0.44057673,0.20754963
CHD2,-0.6981599,-0.30930582,-0.16549629,0.624209,-0.7432358,-0.35550976,-0.6036785,0.503191
ASXL3,-0.5582217,-0.0011264756,-0.23775107,0.4718681,-0.89031434,-0.0011995649,-0.48998463,0.346146
TAOK1,-0.85468966,-0.25258294,-0.09505635,0.57913524,-0.702469,-0.25744686,-0.49085394,0.27501956
DNMT3A,-0.6053405,-0.08142836,-0.25987583,0.6069821,-0.6936606,-0.26251575,-0.5834134,0.42500204
GRIN2B,-0.09041794,-0.25211364,-0.18229374,0.5842444,-0.7138386,0.3308424,-0.43363112,0.3905185
BRSK2,-0.51468307,-0.14633954,-0.24139601,0.7583733,-0.9342165,-0.176044,-0.48514,0.49931803
KMT2A,-0.89185405,-0.22978315,-0.32825845,0.59927076,-0.6723219,-0.4188274,-0.55214876,0.3035348
NF1,-0.6270262,-0.29410666,-0.118013576,0.5390748,-0.845201,-0.15622963,-0.5819506,0.4549739
STXBP1,-0.87056214,-0.115186706,-0.12381415,0.6207527,-0.8919308,-0.25101283,-0.51325405,0.20915462
CUL3,-0.7750459,-0.10990852,-0.17304313,0.6924693,-0.82060385,-0.23594542,-0.41150486,0.45882058
MED13L,-0.7166749,-0.26413336,-0.12970762,0.6999743,-0.7095307,-0.16202661,-0.62201136,0.38789493
ANK2,-0.7645981,-0.2108364,-0.25011095,0.5004771,-0.7328079,-0.28087643,-0.59548527,0.12937772
MYT1L,-0.8155101,-0.10116044,-0.26870775,0.6179013,-0.7276721,-0.3675484,-0.601499,0.22916421
RORB,-0.30277583,-0.21533102,-0.059465468,0.64303994,-0.76541245,0.24446869,-0.3530928,0.16887787
TBL1XR1,-0.7778375,-0.18009159,-0.18795818,0.5948301,-0.7088741,-0.27459428,-0.5304172,0.3341628
TBR1,-0.039625186,0.047919996,0.12309747,0.7317585,-1.0258616,0.09159706,-0.38334084,0.31566396
DYNC1H1,-0.80590034,-0.25513572,-0.19866914,0.57016116,-0.7684709,-0.37845415,-0.52196604,0.25920808
WAC,-0.8145455,-0.27743977,-0.12078588,0.5575735,-0.764271,-0.32029793,-0.5022986,0.32171187
PHF21A,-0.6898166,-0.2593331,-0.1122803,0.65672255,-0.9343089,-0.13008465,-0.4959561,0.3395617
KDM6B,-0.6198317,-0.11747336,-0.1345731,0.6952084,-0.97097385,-0.2670749,-0.43389314,0.43857363
DDX3X,-0.72661424,-0.33210865,-0.106741175,0.5645703,-0.7712374,-0.29113442,-0.50710326,0.38319916
CTNNB1,-0.82063407,-0.20024788,-0.111686274,0.6857151,-0.73775196,-0.352953,-0.462178,0.3384702
MED13,-0.71804065,-0.26773828,-0.32144132,0.59089655,-0.5694779,-0.2312133,-0.5521541,0.3263428
ANKRD11,-0.7667864,-0.25860986,-0.26276827,0.56805396,-0.6044662,-0.35112295,-0.52613384,0.3469629
CTCF,-0.75972855,-0.062209636,-0.11960785,0.44162786,-0.88572395,-0.20851284,-0.46398303,0.27325925
