,0
SCN2A,-9.73157
CHD8,18.205471
ADNP,-2.6677568
SHANK3,-5.365329
PTEN,-0.78330374
SYNGAP1,-6.6564603
MECP2,-3.7987018
KDM5B,-8.360149
FOXP1,-5.16129
ARID1B,-6.6574516
POGZ,-5.4563136
ASH1L,52.669285
KMT5B,-4.594888
SLC6A1,-4.9864726
GIGYF1,-6.8800926
DYRK1A,-4.8031607
CHD2,8.367302
ASXL3,1.5387983
TAOK1,7.9676504
DNMT3A,-5.908906
GRIN2B,-5.417167
BRSK2,-5.145347
KMT2A,-9.236412
NF1,-7.8046417
STXBP1,-5.788482
CUL3,-5.550516
MED13L,17.190792
ANK2,-12.074484
MYT1L,-5.212004
RORB,-5.797088
TBL1XR1,-4.254738
TBR1,-5.2979727
DYNC1H1,-16.556168
WAC,-1.9298484
PHF21A,-4.392216
KDM6B,-5.776808
DDX3X,-4.578032
CTNNB1,-5.005559
MED13,-4.824455
ANKRD11,-5.1490283
CTCF,-4.35415
RFX3,-1.7889562
ARHGEF9,-5.4196806
SHANK2,-5.356345
DEAF1,-4.83818
SMARCC2,2.373807
TLK2,-5.615883
TCF20,-6.165911
CNOT3,-5.884064
SYNCRIP,7.8411684
SETD5,-7.6472263
NAA15,-3.9729056
SCN1A,-11.984499
EHMT1,-5.39596
TCF4,-3.437801
SRPRA,-4.331353
MARK2,-3.5625825
KMT2C,39.017696
MBD5,-3.1011498
NRXN1,-6.473172
IRF2BPL,-3.7831292
PHIP,-7.045498
NFE2L3,-4.526615
SKI,-6.675108
PSMD12,-5.440207
KCNB1,-6.9279227
CSDE1,2.8852806
TSC1,-6.674672
DMWD,-4.1386514
CLCN4,-6.787654
MEIS2,-4.231244
PBX1,4.037328
HNRNPD,-4.241398
BCL11A,-4.055777
TCF7L2,-6.016441
WDFY3,-12.301648
PHF3,-6.3449683
SETBP1,-6.0413914
TGM1,-5.2521996
EBF3,-3.8742585
PPP2R5D,-5.801821
TAF4,-4.581473
KCNQ2,-2.4625745
CAPRIN1,-4.5832844
DSCAM,-6.061573
GABBR2,-4.4662805
PRKG2,-3.6698086
UBN2,-4.617717
MEF2C,-4.3211117
TRIP12,8.735881
EP300,-3.6514835
NR3C2,-6.9545617
ARHGEF18,-0.48526096
TNPO3,-7.004426
SMAD6,-4.7133155
AMOT,-3.5575287
AUTS2,-4.617104
NCKAP1,-5.26486
DLG4,2.7589693
ECPAS,-8.915129
PRKAR1B,-4.893459
FUBP3,-2.4302428
GRIA2,-0.36222982
CCDC40,-4.130972
GABRA1,-1.1493587
TSC2,-10.820219
C1orf185,-3.569816
METTL23,-3.8182583
HNRNPUL2,-5.3901515
PAX5,-3.957338
ATF4,-3.227171
RERE,-6.6982207
DHFR2,-4.216746
TMC4,-5.038589
FXYD5,-4.817424
EBAG9,-2.0513308
ITGB5,-5.6429615
INTS2,-5.810921
RAI1,-5.569074
FOXG1,-4.4574776
PLEKHG6,-6.0757594
MAVS,-3.8878562
C1QC,-2.8516529
TMEM116,-4.7456694
SIN3A,-6.4102488
ANP32A,-1.8145578
PRR14L,-3.4703112
CSNK2B,-3.5480444
PMM2,-5.527426
PFN2,-3.9618952
LMTK3,-5.52714
SPRY2,-3.7866118
CMPK2,-4.351919
IQSEC2,-1.6992426
RIPK1,-3.6357388
TPK1,-4.582932
CASZ1,-6.3394117
ZBTB45,-4.495002
NUDT17,-4.3130383
FANCE,-4.4411144
ZNF396,-4.183536
NR4A2,0.16062641
TBCEL,-4.817009
ADAM21,-4.2251596
TCF3,-5.718963
AAAS,-5.6875033
CELF6,-4.5368576
INSC,-2.9197605
ZMYND8,-4.8509665
CLTC,-7.230628
TCHHL1,-1.8190377
CTDSPL2,-3.5385096
ZNF292,5.66596
KCNQ3,-6.8713837
RALGAPB,-6.5364313
SRCAP,-12.404859
RAB11FIP4,-4.222441
ZNF865,-4.760755
CASKIN1,-6.438916
RANBP17,-6.4357915
FBN1,-14.960405
ACTB,-4.743868
CNNM2,-5.324922
TSHZ1,-4.4585414
UPF3B,-4.46666
PHF2,-4.3381796
FMR1,-2.1873276
MIB1,7.4872904
FADS1,-4.474071
FRMD7,-4.6280484
LDB1,-4.9771256
PCDH19,-5.388897
EIF3G,-4.302168
MYO1E,-5.602193
ZFAND5,-3.11136
CFAP410,-1.8510695
BICRA,-4.322912
MYBL2,-5.4135647
KIAA1958,-2.6958199
GABRG2,-5.265458
SKIDA1,-5.4197373
PSMA3,-4.0924997
TTC37,-4.304638
PCYT1A,-2.8417084
AP1G1,-5.637024
FEZF2,-3.7425086
FGF19,-4.0733757
MSL3,-3.7888541
SON,1.2324333
DNAJC5,-3.4718812
FBXO22,-4.0934095
TNFRSF8,-4.7361174
HDAC11,-5.804227
SSR2,-3.9521692
ACTG1,4.7629466
PNN,-2.1519
RUNX1T1,2.3349838
APBB1,-4.6217394
CERS4,-4.859934
CELF4,-3.9402585
ZBTB14,-4.5697155
ATAT1,-4.142673
RBBP5,-4.8497095
G3BP1,-5.0375123
WNT7B,-6.0870113
BDP1,-6.151321
RNF217,-5.7911296
CBX4,5.750672
NME8,-2.314258
DCUN1D3,-4.611519
ENC1,3.084599
UBB,-2.023939
NEO1,-6.31357
SLC4A10,-2.6775804
BRF2,-6.1123915
PSMD11,-4.722949
NR2F1,-5.071904
CASK,-5.024792
SARM1,-5.8705897
TPST2,-1.2620249
FPGS,-5.043471
QRICH1,-5.00041
LRP10,-6.164269
CD101,-4.9535728
INTS7,-5.657295
SMAD4,-5.2221937
STARD10,-4.4376535
CNTNAP3,-3.6473718
DHX37,-6.0108614
GABRB3,-5.1017637
NDNF,-4.747773
FARP2,-4.248653
SLF1,-3.5024252
