,0,1
SCN2A,1.0918254,1.0367322
CHD8,1.0918254,1.0367322
ADNP,1.0918254,1.0367322
SHANK3,1.0918254,1.0367322
PTEN,1.0918254,1.0367322
SYNGAP1,1.0918254,1.0367322
MECP2,1.0918254,1.0367322
KDM5B,1.0918254,1.0367322
FOXP1,1.0918254,1.0367322
ARID1B,1.0918254,1.0367322
POGZ,1.0918254,1.0367322
ASH1L,1.0918254,1.0367322
KMT5B,1.0918254,1.0367322
SLC6A1,1.0918254,1.0367322
GIGYF1,1.0918254,1.0367322
DYRK1A,1.0918254,1.0367322
CHD2,1.0918254,1.0367322
ASXL3,1.0918254,1.0367322
TAOK1,1.0918254,1.0367322
DNMT3A,1.0918254,1.0367322
GRIN2B,1.0918254,1.0367322
BRSK2,1.0918254,1.0367322
KMT2A,1.0918254,1.0367322
NF1,1.0918254,1.0367322
STXBP1,1.0918254,1.0367322
CUL3,1.0918254,1.0367322
MED13L,1.0918254,1.0367322
ANK2,1.0918254,1.0367322
MYT1L,1.0918254,1.0367322
RORB,1.0918254,1.0367322
TBL1XR1,1.0918254,1.0367322
TBR1,1.0918254,1.0367322
DYNC1H1,1.0918254,1.0367322
WAC,1.0918254,1.0367322
PHF21A,1.0918254,1.0367322
KDM6B,1.0918254,1.0367322
DDX3X,1.0918254,1.0367322
CTNNB1,1.0918254,1.0367322
MED13,1.0918254,1.0367322
ANKRD11,1.0918254,1.0367322
CTCF,1.0918254,1.0367322
RFX3,1.0918254,1.0367322
ARHGEF9,1.0918254,1.0367322
SHANK2,1.0918254,1.0367322
DEAF1,1.0918254,1.0367322
SMARCC2,1.0918254,1.0367322
TLK2,1.0918254,1.0367322
TCF20,1.0918254,1.0367322
CNOT3,1.0918254,1.0367322
SYNCRIP,1.0918254,1.0367322
SETD5,1.0918254,1.0367322
NAA15,1.0918254,1.0367322
SCN1A,1.0918254,1.0367322
EHMT1,1.0918254,1.0367322
TCF4,1.0918254,1.0367322
SRPRA,1.0918254,1.0367322
MARK2,1.0918254,1.0367322
KMT2C,1.0918254,1.0367322
MBD5,1.0918254,1.0367322
NRXN1,1.0918254,1.0367322
IRF2BPL,1.0918254,1.0367322
PHIP,1.0918254,1.0367322
NFE2L3,1.0918254,1.0367322
SKI,1.0918254,1.0367322
PSMD12,1.0918254,1.0367322
KCNB1,1.0918254,1.0367322
CSDE1,1.0918254,1.0367322
TSC1,1.0918254,1.0367322
DMWD,1.0918254,1.0367322
CLCN4,1.0918254,1.0367322
MEIS2,1.0918254,1.0367322
PBX1,1.0918254,1.0367322
HNRNPD,1.0918254,1.0367322
BCL11A,1.0918254,1.0367322
TCF7L2,1.0918254,1.0367322
WDFY3,1.0918254,1.0367322
PHF3,1.0918254,1.0367322
SETBP1,1.0918254,1.0367322
TGM1,1.0918254,1.0367322
EBF3,1.0918254,1.0367322
PPP2R5D,1.0918254,1.0367322
TAF4,1.0918254,1.0367322
KCNQ2,1.0918254,1.0367322
CAPRIN1,1.0918254,1.0367322
DSCAM,1.0918254,1.0367322
GABBR2,1.0918254,1.0367322
PRKG2,1.0918254,1.0367322
UBN2,1.0918254,1.0367322
MEF2C,1.0918254,1.0367322
TRIP12,1.0918254,1.0367322
EP300,1.0918254,1.0367322
NR3C2,1.0918254,1.0367322
ARHGEF18,1.0918254,1.0367322
TNPO3,1.0918254,1.0367322
SMAD6,1.0918254,1.0367322
AMOT,1.0918254,1.0367322
AUTS2,1.0918254,1.0367322
NCKAP1,1.0918254,1.0367322
DLG4,1.0918254,1.0367322
ECPAS,1.0918254,1.0367322
PRKAR1B,1.0918254,1.0367322
FUBP3,1.0918254,1.0367322
GRIA2,1.0918254,1.0367322
CCDC40,1.0918254,1.0367322
GABRA1,1.0918254,1.0367322
TSC2,1.0918254,1.0367322
C1orf185,1.0918254,1.0367322
METTL23,1.0918254,1.0367322
HNRNPUL2,1.0918254,1.0367322
PAX5,1.0918254,1.0367322
ATF4,1.0918254,1.0367322
RERE,1.0918254,1.0367322
DHFR2,1.0918254,1.0367322
TMC4,1.0918254,1.0367322
FXYD5,1.0918254,1.0367322
EBAG9,1.0918254,1.0367322
ITGB5,1.0918254,1.0367322
INTS2,1.0918254,1.0367322
RAI1,1.0918254,1.0367322
FOXG1,1.0918254,1.0367322
PLEKHG6,1.0918254,1.0367322
MAVS,1.0918254,1.0367322
C1QC,1.0918254,1.0367322
TMEM116,1.0918254,1.0367322
SIN3A,1.0918254,1.0367322
ANP32A,1.0918254,1.0367322
PRR14L,1.0918254,1.0367322
CSNK2B,1.0918254,1.0367322
PMM2,1.0918254,1.0367322
PFN2,1.0918254,1.0367322
LMTK3,1.0918254,1.0367322
SPRY2,1.0918254,1.0367322
CMPK2,1.0918254,1.0367322
IQSEC2,1.0918254,1.0367322
RIPK1,1.0918254,1.0367322
