,0,1,2,3,4,5,6,7
SCN2A,0.27769715,0.50701576,1.1694933,0.6682595,0.4941823,0.62140644,0.8211427,0.8402829
CHD8,0.24633946,0.6034437,1.2372966,0.83606243,0.48261678,0.7236901,0.7432979,0.6474285
ADNP,0.25234348,0.58793235,1.1071291,0.7295879,0.4858014,0.70423263,0.7401873,0.8184631
SHANK3,0.32432875,0.6565268,1.4357492,0.85018873,0.43677038,0.72546005,0.73308575,0.6136073
PTEN,0.28734323,0.58821714,1.1360267,0.7366768,0.49878427,0.6758772,0.74486226,0.73884654
SYNGAP1,0.30607483,0.6830054,1.5157845,1.0234606,0.45124096,0.72207314,0.78940916,0.56124806
MECP2,0.2924161,0.6616542,1.4108105,0.8895518,0.44797766,0.71340966,0.6957128,0.6952424
KDM5B,0.30392134,0.5898012,1.1530087,0.72744983,0.50248235,0.7731132,0.7393864,0.79585236
FOXP1,0.23017898,0.5530997,1.1435077,0.7952126,0.44803092,0.73430866,0.7244314,0.7964543
ARID1B,0.25895968,0.5537405,1.2666318,0.7414885,0.49910778,0.709538,0.69186634,0.828442
POGZ,0.26439518,0.5534535,1.1962777,0.73922205,0.47540754,0.69326574,0.7472588,0.7827008
ASH1L,0.26346773,0.6371037,1.1972597,0.7618223,0.4624204,0.75449145,0.6836593,0.78231794
KMT5B,0.23934326,0.55733293,1.1151719,0.7286485,0.44947445,0.6964295,0.68180364,0.7826786
SLC6A1,0.23959474,0.6418494,1.0893669,0.7689694,0.40247434,0.6165932,0.61100477,0.75025547
GIGYF1,0.25355163,0.5590248,1.2453197,0.84752816,0.43099105,0.7454227,0.63634527,0.68872577
DYRK1A,0.25279358,0.5683791,1.2252567,0.7989196,0.41475922,0.7809222,0.65278125,0.7595338
CHD2,0.25741506,0.58830285,1.2784736,0.7726982,0.5054332,0.74051005,0.75006825,0.73655534
ASXL3,0.34158474,0.6032406,1.1085758,0.7292008,0.4949602,0.6793694,0.79814786,0.78761625
TAOK1,0.2508415,0.6234192,1.1114326,0.7837065,0.46191782,0.77039057,0.67170304,0.82891023
DNMT3A,0.26962945,0.5989304,1.3464935,0.8568662,0.51224715,0.68424916,0.83599055,0.7002124
GRIN2B,0.398772,0.7440865,1.5632707,1.0028207,0.48306924,0.6461824,0.8089661,0.5316097
BRSK2,0.28894415,0.50314206,1.3578776,0.75991744,0.4672749,0.6314611,0.87810266,0.6027589
KMT2A,0.26098272,0.5686326,1.0987954,0.6783877,0.5054144,0.75024074,0.7374106,0.7926289
NF1,0.25923666,0.5956076,1.325881,0.81400263,0.48730087,0.73167276,0.73281986,0.7056721
STXBP1,0.28759286,0.6136764,1.1767628,0.7761805,0.4521615,0.78788257,0.6838816,0.77519834
CUL3,0.2644504,0.558342,1.2404127,0.7816036,0.4632213,0.6468503,0.80734974,0.698847
MED13L,0.2597768,0.5358292,1.2921615,0.8272654,0.472345,0.7215253,0.7090602,0.75943136
ANK2,0.27078414,0.543487,1.0230378,0.69003916,0.47560433,0.7917612,0.6272987,0.8152722
MYT1L,0.25651354,0.51761186,1.0848362,0.66012913,0.49183837,0.7389144,0.7285455,0.8359584
RORB,0.33970347,0.6552278,1.3734646,1.0447198,0.45556235,0.75904,0.7662291,0.6078086
TBL1XR1,0.2481862,0.55247056,1.2224176,0.7474858,0.49950564,0.7118836,0.7388674,0.79314107
TBR1,0.4843892,0.88421994,1.6595848,1.0692959,0.53991336,0.67048067,0.8920916,0.6164338
DYNC1H1,0.25104815,0.5968059,1.078499,0.6970407,0.49983013,0.77254534,0.7001215,0.8022009
WAC,0.23674506,0.6172258,1.0860063,0.73375565,0.47474384,0.7720603,0.6926531,0.80362964
PHF21A,0.27029502,0.66973335,1.3161371,0.80546635,0.43959033,0.74257946,0.6119485,0.6531341
KDM6B,0.29400378,0.614156,1.253079,0.7852388,0.46653333,0.70831156,0.8297076,0.70264846
DDX3X,0.24325047,0.576336,1.143631,0.7503606,0.47826052,0.74072766,0.73891145,0.7608881
CTNNB1,0.24096973,0.6317689,1.1356192,0.78655386,0.49413583,0.74259514,0.72852504,0.80612695
MED13,0.2519781,0.5159662,1.1767809,0.75139135,0.51978654,0.68470216,0.7676376,0.7213982
ANKRD11,0.2572922,0.57554746,1.1101129,0.73431695,0.5187318,0.7407555,0.7413336,0.8156454
CTCF,0.26913306,0.6259725,1.156542,0.72993433,0.49642402,0.7165391,0.6913068,0.78549314
RFX3,0.2644752,0.54971266,1.176167,0.7383663,0.44139645,0.7154102,0.7025893,0.73327565
ARHGEF9,0.26811594,0.5926844,1.357584,0.8471186,0.4766569,0.70274365,0.8268411,0.68320334
SHANK2,0.31044266,0.48195598,1.1769024,0.701603,0.43164983,0.67424613,0.7161173,0.75948256
DEAF1,0.30972353,0.5330908,1.4399468,0.8441069,0.4012927,0.62742186,0.7745446,0.60177445
SMARCC2,0.25713372,0.61255586,1.1681815,0.7347969,0.47925508,0.7469389,0.7230177,0.8085375
TLK2,0.25005278,0.63803434,1.365896,0.84569454,0.44466484,0.67211705,0.70101416,0.6359377
TCF20,0.26124656,0.5864887,1.1819761,0.7442967,0.47930723,0.71166533,0.73970807,0.75685763
CNOT3,0.32221246,0.7307959,1.5229273,0.9767238,0.4864195,0.7217681,0.82751435,0.5274498
SYNCRIP,0.24263261,0.60097384,1.0184726,0.717884,0.5333537,0.73036855,0.766112,0.8924039
SETD5,0.2651641,0.70193446,1.2740713,0.8455965,0.44146797,0.7081914,0.7043848,0.74157035
NAA15,0.28820184,0.6547183,1.3474135,0.80122,0.51792413,0.7059299,0.75720507,0.76816094
SCN1A,0.28508174,0.68534344,1.2558415,0.86755085,0.39887643,0.6876315,0.5453596,0.73835677
EHMT1,0.31655267,0.7209069,1.2898326,0.89317256,0.5058885,0.65637946,0.89046884,0.7383022
TCF4,0.25162566,0.61608684,1.133964,0.7093593,0.5064244,0.75588137,0.7093682,0.73950106
SRPRA,0.3143811,0.68830574,1.5830463,0.9543636,0.5371281,0.67548996,0.78704536,0.6076519
MARK2,0.3107001,0.65538305,1.3705579,0.8829384,0.39481,0.71607673,0.7009785,0.5730672
KMT2C,0.27265477,0.5730201,1.0560657,0.6726914,0.4766737,0.7805194,0.6742696,0.7718768
MBD5,0.31708664,0.72941965,1.406939,1.009088,0.44981655,0.8087034,0.64094007,0.6186442
NRXN1,0.26320025,0.60833704,1.1572725,0.732237,0.51449484,0.75063205,0.68276954,0.8116879
IRF2BPL,0.26657635,0.62553895,1.221976,0.79974645,0.47388172,0.7168903,0.67329955,0.7545384
PHIP,0.24485317,0.5138762,1.1567929,0.70145494,0.5375773,0.69146574,0.7423272,0.8256775
NFE2L3,0.36247867,0.8301732,1.5443382,1.069828,0.46870023,0.71436155,0.73059905,0.5724666
SKI,0.27684858,0.6565951,1.3069932,0.86615074,0.4205375,0.65366024,0.7088439,0.6376879
PSMD12,0.31069458,0.71140695,1.4523221,1.0588145,0.46415615,0.70645744,0.83043194,0.61340225
KCNB1,0.31712556,0.73011297,1.4509544,0.95896614,0.45245233,0.64752764,0.8445337,0.59787446
CSDE1,0.25216562,0.57408446,1.1024883,0.6836255,0.5017348,0.7514006,0.74847764,0.80457586
TSC1,0.26402485,0.60553855,1.1817828,0.81917167,0.42687854,0.73069066,0.6860824,0.7205979
DMWD,0.28766805,0.62924683,1.3959525,0.96754456,0.41950727,0.6646458,0.80827755,0.5961074
CLCN4,0.3603861,0.6495578,1.2782925,0.7692102,0.457121,0.67939043,0.850687,0.75855786
MEIS2,0.21204266,0.6915493,1.0403123,0.93506664,0.40340814,0.81882364,0.6443703,0.83556575
PBX1,0.26015455,0.502929,0.9812951,0.63082844,0.493765,0.76515555,0.7393628,0.8095125
HNRNPD,0.23297419,0.55134183,1.1949894,0.75698125,0.52488256,0.7262681,0.7202478,0.77926725
BCL11A,0.2679856,0.54238963,1.0314412,0.6868872,0.55310094,0.77225983,0.8015826,0.8144927
TCF7L2,0.24951077,0.66263646,1.2965606,0.91489166,0.4086742,0.72848666,0.6455359,0.7019322
WDFY3,0.28962097,0.5782573,1.2517799,0.80164564,0.51995146,0.77393764,0.6905045,0.7203262
PHF3,0.27407226,0.5847725,1.2311567,0.74224156,0.4622258,0.74707925,0.71227396,0.71878123
SETBP1,0.25044817,0.5797644,1.1771257,0.7847528,0.49739113,0.74993545,0.75920385,0.7850269
TGM1,0.3864534,0.77198005,1.5484936,1.0434403,0.49618524,0.6658076,0.83523625,0.5319899
EBF3,0.31887338,0.54337347,0.948311,0.66613275,0.5569163,0.829572,0.8949892,0.5983452
PPP2R5D,0.3006764,0.68269,1.4491946,0.8620465,0.46553558,0.68626827,0.8166561,0.62300503
TAF4,0.31854627,0.57323176,1.3373389,0.9466228,0.45893747,0.6327374,0.80300665,0.63791525
KCNQ2,0.26700467,0.6400725,1.4560411,0.96855754,0.5110681,0.72759986,0.6502131,0.67936665
CAPRIN1,0.26021802,0.5608409,1.187668,0.72064734,0.5079403,0.73179996,0.7921873,0.78150725
DSCAM,0.30058724,0.5929035,1.505084,0.85162354,0.48412403,0.6449332,0.7826166,0.6356184
GABBR2,0.259377,0.634004,1.2710077,0.932529,0.45391226,0.7644576,0.6560358,0.761836
PRKG2,0.3560992,0.70814407,1.3107681,0.9738028,0.40395984,0.73281914,0.70470846,0.6556251
UBN2,0.26670578,0.6199765,1.1509253,0.77436817,0.45099533,0.6873024,0.70112324,0.76869243
MEF2C,0.24209742,0.65484023,1.1612699,0.8917043,0.42350987,0.83199453,0.62363976,0.68049777
TRIP12,0.28223997,0.6713629,1.206074,0.81447893,0.44753096,0.7829194,0.72397107,0.6913523
EP300,0.2419372,0.5439682,1.220108,0.80442375,0.50285816,0.7214132,0.7568898,0.74102074
NR3C2,0.36803392,0.7639912,1.5615559,1.0611728,0.48283044,0.6472331,0.8700255,0.530728
