,0,1
SCN2A,15.604277,6.9117093
CHD8,15.604277,6.9117093
ADNP,15.604277,6.9117093
SHANK3,15.604277,6.9117093
PTEN,15.604277,6.9117093
SYNGAP1,15.604277,6.9117093
MECP2,15.604277,6.9117093
KDM5B,15.604277,6.9117093
FOXP1,15.604277,6.9117093
ARID1B,15.604277,6.9117093
POGZ,15.604277,6.9117093
ASH1L,15.604277,6.9117093
KMT5B,15.604277,6.9117093
SLC6A1,15.604277,6.9117093
GIGYF1,15.604277,6.9117093
DYRK1A,15.604277,6.9117093
CHD2,15.604277,6.9117093
ASXL3,15.604277,6.9117093
TAOK1,15.604277,6.9117093
DNMT3A,15.604277,6.9117093
GRIN2B,15.604277,6.9117093
BRSK2,15.604277,6.9117093
KMT2A,15.604277,6.9117093
NF1,15.604277,6.9117093
STXBP1,15.604277,6.9117093
CUL3,15.604277,6.9117093
MED13L,15.604277,6.9117093
ANK2,15.604277,6.9117093
MYT1L,15.604277,6.9117093
RORB,15.604277,6.9117093
TBL1XR1,15.604277,6.9117093
TBR1,15.604277,6.9117093
DYNC1H1,15.604277,6.9117093
WAC,15.604277,6.9117093
PHF21A,15.604277,6.9117093
KDM6B,15.604277,6.9117093
DDX3X,15.604277,6.9117093
CTNNB1,15.604277,6.9117093
MED13,15.604277,6.9117093
ANKRD11,15.604277,6.9117093
CTCF,15.604277,6.9117093
RFX3,15.604277,6.9117093
ARHGEF9,15.604277,6.9117093
SHANK2,15.604277,6.9117093
DEAF1,15.604277,6.9117093
SMARCC2,15.604277,6.9117093
TLK2,15.604277,6.9117093
TCF20,15.604277,6.9117093
CNOT3,15.604277,6.9117093
SYNCRIP,15.604277,6.9117093
SETD5,15.604277,6.9117093
NAA15,15.604277,6.9117093
SCN1A,15.604277,6.9117093
EHMT1,15.604277,6.9117093
TCF4,15.604277,6.9117093
SRPRA,15.604277,6.9117093
MARK2,15.604277,6.9117093
KMT2C,15.604277,6.9117093
MBD5,15.604277,6.9117093
NRXN1,15.604277,6.9117093
IRF2BPL,15.604277,6.9117093
PHIP,15.604277,6.9117093
NFE2L3,15.604277,6.9117093
SKI,15.604277,6.9117093
PSMD12,15.604277,6.9117093
KCNB1,15.604277,6.9117093
CSDE1,15.604277,6.9117093
TSC1,15.604277,6.9117093
DMWD,15.604277,6.9117093
CLCN4,15.604277,6.9117093
MEIS2,15.604277,6.9117093
PBX1,15.604277,6.9117093
HNRNPD,15.604277,6.9117093
BCL11A,15.604277,6.9117093
TCF7L2,15.604277,6.9117093
WDFY3,15.604277,6.9117093
PHF3,15.604277,6.9117093
SETBP1,15.604277,6.9117093
TGM1,15.604277,6.9117093
EBF3,15.604277,6.9117093
PPP2R5D,15.604277,6.9117093
TAF4,15.604277,6.9117093
KCNQ2,15.604277,6.9117093
CAPRIN1,15.604277,6.9117093
DSCAM,15.604277,6.9117093
GABBR2,15.604277,6.9117093
PRKG2,15.604277,6.9117093
UBN2,15.604277,6.9117093
MEF2C,15.604277,6.9117093
TRIP12,15.604277,6.9117093
EP300,15.604277,6.9117093
NR3C2,15.604277,6.9117093
ARHGEF18,15.604277,6.9117093
TNPO3,15.604277,6.9117093
SMAD6,15.604277,6.9117093
AMOT,15.604277,6.9117093
AUTS2,15.604277,6.9117093
NCKAP1,15.604277,6.9117093
DLG4,15.604277,6.9117093
ECPAS,15.604277,6.9117093
PRKAR1B,15.604277,6.9117093
FUBP3,15.604277,6.9117093
GRIA2,15.604277,6.9117093
CCDC40,15.604277,6.9117093
GABRA1,15.604277,6.9117093
TSC2,15.604277,6.9117093
C1orf185,15.604277,6.9117093
METTL23,15.604277,6.9117093
HNRNPUL2,15.604277,6.9117093
PAX5,15.604277,6.9117093
ATF4,15.604277,6.9117093
RERE,15.604277,6.9117093
DHFR2,15.604277,6.9117093
TMC4,15.604277,6.9117093
FXYD5,15.604277,6.9117093
EBAG9,15.604277,6.9117093
ITGB5,15.604277,6.9117093
INTS2,15.604277,6.9117093
RAI1,15.604277,6.9117093
FOXG1,15.604277,6.9117093
PLEKHG6,15.604277,6.9117093
MAVS,15.604277,6.9117093
C1QC,15.604277,6.9117093
TMEM116,15.604277,6.9117093
SIN3A,15.604277,6.9117093
ANP32A,15.604277,6.9117093
PRR14L,15.604277,6.9117093
CSNK2B,15.604277,6.9117093
PMM2,15.604277,6.9117093
PFN2,15.604277,6.9117093
LMTK3,15.604277,6.9117093
SPRY2,15.604277,6.9117093
CMPK2,15.604277,6.9117093
IQSEC2,15.604277,6.9117093
