human.External.Gene.Name	human.Ensembl.Gene.ID	danos_gene	LA_E14.5.norm.	LV_E14.5.norm.	RA_E14.5.norm.	RV_E14.5.norm.	LA_E14.5.reads.	LV_E14.5.reads.	RA_E14.5.reads.	RV_E14.5.reads.	e14.5_mean	e14.5_rank	Brain_E9.5.norm.	Brain_E9.5.reads.	brain_fpkm	brain_rank
ITM2A	ENSG00000078596	Itm2a	158.641837755958	80.7113753878732	162.629050524556	91.9819419793633	2024	990	2157	1170	123.491051411938	93.2871422080872	27.3682287914347	472	16.7697480339673	76.3743752839618
TRAV12-1	ENSG00000211785	X63927	0.0783803546225088	0	0	0	1	0	0	0	0.0195950886556272	10.222626079055	0.0579835355750735	1	0.174649203539378	21.9843253066788
TRAV12-2	ENSG00000211789	X63927	0.0783803546225088	0	0	0	1	0	0	0	0.0195950886556272	10.222626079055	0.0579835355750735	1	0.174649203539378	21.9843253066788
TRAV12-3	ENSG00000211794	X63927	0.0783803546225088	0	0	0	1	0	0	0	0.0195950886556272	10.222626079055	0.0579835355750735	1	0.174649203539378	21.9843253066788
MAPK8	ENSG00000107643	Mapk8	34.7224970977714	37.5837818725349	35.4360935310808	36.0066063474773	443	461	470	458	35.9372447122161	73.3587005906406	63.897856203731	1102	8.15856182376545	60.5577010449796
SERGEF	ENSG00000129158	Sergef	4.3892998588605	5.54381164280341	3.09123369100918	4.08808631019393	56	68	41	52	4.27810787571676	38.2496592457974	7.01600780458389	121	4.8054847976602	50.9768287142208
FAM109A	ENSG00000198324	Fam109a	13.089519221959	14.3486889578441	11.3093915524726	15.01585548552	167	176	150	191	13.4408638044489	51.8173557473876	47.7204497782855	823	20.4370234596512	80.3611994547933
DHX9	ENSG00000135829	Dhx9	331.313758989345	337.112663867531	318.095486399213	298.115832466449	4227	4135	4219	3792	321.159435430635	98.3927760109041	1025.72874432305	17690	157.950222408847	98.7960018173557
FAM71E2	ENSG00000180043	Fam71e2	0.156760709245018	0.0815266418059325	0	0	2	1	0	0	0.0595718377627376	15.1635620172649	0	0	0	0
SSU72	ENSG00000160075	Ssu72	43.0308146877574	58.6991821002714	41.0907893073171	54.9533140543376	549	720	545	699	49.4435250374209	80.241935483871	33.4565000268174	577	12.5540337811698	69.9681962744207
TRAV8-3	ENSG00000211787	X02930	0.0783803546225088	0.0815266418059325	0.0753959436831507	0	1	1	1	0	0.058825735027898	14.9250340754203	0.0579835355750735	1	0.0789966424728522	17.7816901408451
EIF2B2	ENSG00000119718	Eif2b2	52.5148375970809	62.2863543397324	44.8605864914746	60.2992730753604	670	764	595	767	54.9902628759121	82.3659700136302	38.5010676218488	664	24.4762031925294	84.001590186279
MKS1	ENSG00000011143	Mks1	7.0542319160258	3.7502255230729	5.57929983255315	5.89627833201047	90	46	74	75	5.57000890091558	40.5895047705588	18.8446490618989	325	5.07258386592164	51.8855065879146
HEBP2	ENSG00000051620	Hebp2	3.84063737650293	5.13617843377375	3.99598501520698	8.96234306465592	49	63	53	114	5.4837859725349	40.4248069059518	2.14539081627772	37	0.649134891460732	30.4463880054521
VPS28	ENSG00000160948	Vps28	37.2306684456917	37.2576753053112	37.547179954209	40.3305437909516	475	457	498	513	38.0915168740409	74.6365288505225	15.5395875341197	268	15.8083291293181	75.0340754202635
SETD6	ENSG00000103037	Setd6	5.64338553282064	7.58197768795172	4.67454850835534	6.68244877627853	72	93	62	85	6.14559012635156	41.5947296683326	13.0462955043915	225	7.81683373540533	59.8080417991822
GSTM1	ENSG00000134184	Gstm6	61.0582962509344	25.5993655270628	62.578633257015	29.9530939266132	779	314	830	381	44.7973472404064	78.0724670604271	12.2925095419156	212	10.2952341222074	65.5213539300318
GSTM5	ENSG00000134201	Gstm6	61.0582962509344	25.5993655270628	62.578633257015	29.9530939266132	779	314	830	381	44.7973472404064	78.0724670604271	12.2925095419156	212	10.2952341222074	65.5213539300318
PSMA4	ENSG00000041357	Psma4	71.7180244795956	67.0964262062825	70.042831681647	62.7364014525914	915	823	929	798	67.8984209550291	86.0006815084053	29.1077348586869	502	26.5581522433275	85.523625624716
