"","recall","mut.rate","mut.rate.rank","model.name"
"1",0.89,7.3123926126252e-05,0.999247856390714,"extTADA.FDR.0.05"
"2",0.85,6.38926771764928e-05,0.998194855337712,"extTADA.FDR.0.05"
"3",0.76,4.72434160960794e-05,0.994684851827709,"extTADA.FDR.0.05"
"4",0.39,1.52209299539844e-05,0.922729779872637,"extTADA.FDR.0.05"
"5",0.43,1.52046188645994e-05,0.92257935115078,"extTADA.FDR.0.05"
"6",0.75,2.20676547849361e-05,0.966905681191396,"extTADA.FDR.0.05"
"7",0.18,8.18734856423714e-06,0.7573083287369,"extTADA.FDR.0.05"
"8",0.69,2.80107195231236e-05,0.981396981396981,"extTADA.FDR.0.05"
"9",0.3,1.09375911673364e-05,0.848367848367848,"extTADA.FDR.0.05"
"10",0.47,2.04220626019775e-05,0.960788246502532,"extTADA.FDR.0.05"
"11",0.41,1.30105174166337e-05,0.891741463170035,"extTADA.FDR.0.05"
"12",0.59,1.56994141974344e-05,0.927142355713784,"extTADA.FDR.0.05"
"13",0.32,1.29007915136338e-05,0.889685603971318,"extTADA.FDR.0.05"
"14",0.2,1.00853535389488e-05,0.824399538685253,"extTADA.FDR.0.05"
"15",0.76,4.84854206368082e-05,0.995035852178709,"extTADA.FDR.0.05"
"16",0.35,1.09191002429096e-05,0.847866419294991,"extTADA.FDR.0.05"
"17",0.17,4.52270215874495e-06,0.519931805646091,"extTADA.FDR.0.05"
"18",0.67,3.50639495885244e-05,0.989169132026275,"extTADA.FDR.0.05"
"19",0.22,4.97154877460927e-06,0.559444416587274,"extTADA.FDR.0.05"
"20",0.49,2.16850733784282e-05,0.966103394674823,"extTADA.FDR.0.05"
"21",0.18,6.91125650973312e-06,0.695782981497267,"extTADA.FDR.0.05"
"22",0.16,9.63358639684334e-06,0.810660382088954,"extTADA.FDR.0.05"
"23",0.17,7.08545602972627e-06,0.706413277841849,"extTADA.FDR.0.05"
"24",0.22,9.07573523475879e-06,0.791305219876648,"extTADA.FDR.0.05"
"25",0.73,4.36881978378419e-05,0.993080278794565,"extTADA.FDR.0.05"
"26",0.35,1.2330954545493e-05,0.879055307626736,"extTADA.FDR.0.05"
"27",0.18,1.06832177122194e-05,0.841197412625984,"extTADA.FDR.0.05"
"28",0.43,1.52922829438711e-05,0.923431780574638,"extTADA.FDR.0.05"
"29",0.52,2.60308540490898e-05,0.976984405555834,"extTADA.FDR.0.05"
"30",0.61,1.65300830253411e-05,0.935867221581507,"extTADA.FDR.0.05"
"31",0.14,7.99269672084896e-06,0.748683748683749,"extTADA.FDR.0.05"
"32",0.29,1.47286602574519e-05,0.916512059369202,"extTADA.FDR.0.05"
"33",0.29,1.41894045816543e-05,0.909692623978338,"extTADA.FDR.0.05"
"34",0.83,5.50216157697797e-05,0.996790853933711,"extTADA.FDR.0.05"
"35",0.12,3.70896481173088e-06,0.435992578849722,"extTADA.FDR.0.05"
"36",0.17,4.8283820921859e-06,0.547811262096976,"extTADA.FDR.0.05"
"37",0.43,2.00109492827105e-05,0.958481672767387,"extTADA.FDR.0.05"
"38",0.13,7.07086781914819e-06,0.705560848417991,"extTADA.FDR.0.05"
"39",0.21,6.26581345343469e-06,0.656320513463371,"extTADA.FDR.0.05"
"40",0.48,1.82798085640206e-05,0.949405806548664,"extTADA.FDR.0.05"
"41",0.14,8.66413400388886e-06,0.776061776061776,"extTADA.FDR.0.05"
"42",0.12,6.07968996170766e-06,0.644687358973073,"extTADA.FDR.0.05"
"43",0.14,5.6938219670574e-06,0.618161761018904,"extTADA.FDR.0.05"
"44",0.05,3.98706857869615e-06,0.467331895903324,"extTADA.FDR.0.05"
"45",0.06,3.98854858205003e-06,0.467582610439753,"extTADA.FDR.0.05"
"46",0.09,6.87352157829565e-06,0.693125407411122,"extTADA.FDR.0.05"
"47",0.62,2.06346445554987e-05,0.961490247204533,"extTADA.FDR.0.05"
"48",0.34,1.22020854939903e-05,0.876849019706163,"extTADA.FDR.0.05"
"49",0.05,5.66082728158501e-06,0.615554329840044,"extTADA.FDR.0.05"
"50",0.14,7.64143883045064e-06,0.734142305570877,"extTADA.FDR.0.05"
"51",0.31,1.08294298803957e-05,0.845058416486988,"extTADA.FDR.0.05"
"52",0.14,7.33899988018022e-06,0.719199719199719,"extTADA.FDR.0.05"
"53",0.35,1.2879139157115e-05,0.889384746527604,"extTADA.FDR.0.05"
"54",0.68,2.96088308608496e-05,0.983954269668555,"extTADA.FDR.0.05"
"55",0.25,1.14511424262438e-05,0.861455147169433,"extTADA.FDR.0.05"
"56",0.12,8.1346012417531e-06,0.755152183723612,"extTADA.FDR.0.05"
"57",0.34,1.20111518590881e-05,0.873188587474302,"extTADA.FDR.0.05"
"58",0.24,1.1507092327946e-05,0.862758862758863,"extTADA.FDR.0.05"
"59",0.12,7.40580020607611e-06,0.723010580153437,"extTADA.FDR.0.05"
"60",0.67,1.44763792820903e-05,0.913653913653914,"extTADA.FDR.0.05"
"61",0.71,4.68029699096978e-05,0.994484280198566,"extTADA.FDR.0.05"
"62",0.23,8.96546406884692e-06,0.787444216015645,"extTADA.FDR.0.05"
"63",0.16,3.81959815313645e-06,0.448478162763877,"extTADA.FDR.0.05"
"64",0.1,9.13013268170856e-06,0.793210650353507,"extTADA.FDR.0.05"
"65",0.3,1.44554837662149e-05,0.913403199117485,"extTADA.FDR.0.05"
"66",0.15,1.17721641429969e-05,0.868324725467583,"extTADA.FDR.0.05"
"67",0.55,2.70952844739118e-05,0.979792408363837,"extTADA.FDR.0.05"
"68",0.26,1.15048244975032e-05,0.862708719851577,"extTADA.FDR.0.05"
"69",0.45,1.76373653023336e-05,0.944892944892945,"extTADA.FDR.0.05"
"70",0.3,1.32495132438003e-05,0.89605375319661,"extTADA.FDR.0.05"
"71",0.04,8.82531721400461e-07,0.101238529809958,"extTADA.FDR.0.05"
"72",0.05,1.82985548743291e-06,0.21676778819636,"extTADA.FDR.0.05"
"73",0.04,1.48792565908088e-06,0.178358321215464,"extTADA.FDR.0.05"
"74",0.35,1.38394957865192e-05,0.904277189991476,"extTADA.FDR.0.05"
"75",0.59,1.85127014012781e-05,0.950859950859951,"extTADA.FDR.0.05"
"76",0.03,2.20390436318709e-06,0.26044226044226,"extTADA.FDR.0.05"
"77",0.38,1.64440131011643e-05,0.935064935064935,"extTADA.FDR.0.05"
"78",0.09,2.76174677166119e-06,0.325878754450183,"extTADA.FDR.0.05"
"79",0.09,2.74970775756904e-06,0.324524895953467,"extTADA.FDR.0.05"
"80",0.37,1.59912101704284e-05,0.929749786892644,"extTADA.FDR.0.05"
"81",0.13,3.1888638413336e-06,0.376723662437948,"extTADA.FDR.0.05"
"82",0.61,2.03793959775998e-05,0.960637817780675,"extTADA.FDR.0.05"
"83",0.33,1.42618389850417e-05,0.910695482124054,"extTADA.FDR.0.05"
"84",0.1,4.1545187101364e-06,0.484631198916913,"extTADA.FDR.0.05"
"85",0.17,3.12865703408071e-06,0.369402797974227,"extTADA.FDR.0.05"
