"","Gene","dn_LGD","dn_Dmis","mut_LGD","mut_Dmis","PP","FDR","HGNC","covariates_reordered","extTADA.PP","extTADA.FDR"
"1","ENSG00000167548",12,4,1.98310801766742e-05,3.75113803148342e-05,1,0,"KMT2D",0.967565238798621,1,0
"2","ENSG00000171316",11,3,1.26474842516602e-05,2.67916454377839e-05,0.999999999999998,8.32667268468867e-16,"CHD7",0.931560807483998,0.999999999999997,1.55431223447522e-15
"3","ENSG00000179295",0,10,2.81313187081917e-06,1.01058480426072e-05,0.999999999366683,2.11106280604649e-10,"PTPN11",0.939807976366322,0.999999999125258,2.91581684723023e-10
"4","ENSG00000148400",3,3,8.2103633392713e-06,4.56071809676095e-05,0.99996833703831,7.91589875218102e-06,"NOTCH1",0.873338257016248,0.999907435297753,2.31413942479441e-05
"5","ENSG00000165671",3,2,1.04917348681725e-05,1.83770249414158e-05,0.999909052494384,2.45222201249451e-05,"NSD1",0.946085672082718,0.999746828916459,6.91473321065672e-05
"6","ENSG00000141448",3,1,1.85251265708615e-06,1.09168896134716e-05,0.99972619582302,6.60692129340427e-05,"GATA6",0.946454948301329,0.999243568942484,0.000183694619674879
"7","ENSG00000100320",3,0,2.36679528536375e-06,1.87405070616124e-06,0.998178589774213,0.000316832214770175,"RBFOX2",0.978151157065485,0.994757491405676,0.000906382330339081
"8","ENSG00000143442",2,1,6.26019207535164e-06,1.64763610508095e-06,0.995368175531829,0.000856206246445307,"POGZ",0.830686853766617,0.987155943799439,0.00239859156411684
"9","ENSG00000117139",3,0,9.166651089873e-06,1.34925321326392e-05,0.99309204406104,0.00152862287894693,"KDM5B",0.854443623830625,0.978049020568328,0.00629053425768448
"10","ENSG00000075624",1,2,9.26073427173233e-07,1.30047093095676e-05,0.991331358280418,0.00224262476301043,"ACTB",0.998953717380601,0.975547621138326,0.00794161103986532
"11","ENSG00000197616",1,3,6.53367354355326e-06,4.64916657690477e-05,0.990539710815189,0.00289877607408323,"MYH6",0.999630723781389,0.968231086043971,0.0115647790326397
"12","ENSG00000124920",0,3,4.10434212419678e-06,3.98331029462322e-06,0.98796607846265,0.00366003819602213,"MYRF",0.849766125061546,0.968784507970232,0.00988110112235725
"13","ENSG00000150991",0,3,1.44727141107911e-06,1.10354409509828e-05,0.986289850874724,0.00443312365211858,"UBC",0.996061053668144,0.963188319332014,0.0149240185845862
